GO category	GO	Term	Annotated	Significant	Expected	topGO (Fisher)	classic (Fisher)
BP	GO:0031649	heat generation	5	2	0.16	0.00970	0.00970
BP	GO:0032596	protein transport into membrane raft	5	2	0.16	0.00970	0.00970
BP	GO:1901098	positive regulation of autophagosome mat...	5	2	0.16	0.00970	0.00970
BP	GO:0051971	positive regulation of transmission of n...	5	2	0.16	0.00970	0.00970
BP	GO:0071374	cellular response to parathyroid hormone...	5	2	0.16	0.00970	0.00970
BP	GO:0031392	regulation of prostaglandin biosynthetic...	5	2	0.16	0.00970	0.00970
BP	GO:0002483	antigen processing and presentation of e...	5	2	0.16	0.00970	0.00970
BP	GO:0045986	negative regulation of smooth muscle con...	5	2	0.16	0.00970	0.00970
CC	GO:0031090	organelle membrane	1716	43	56.86	2.5e-05	0.98592
CC	GO:0005886	plasma membrane	2738	117	90.72	0.00093	0.00075
CC	GO:0030056	hemidesmosome	8	3	0.27	0.00178	0.00178
CC	GO:0034663	endoplasmic reticulum chaperone complex	9	3	0.3	0.00261	0.00261
CC	GO:0034364	high-density lipoprotein particle	9	3	0.3	0.00261	0.00261
CC	GO:0030018	Z disc	119	10	3.94	0.00606	0.00606
CC	GO:0042611	MHC protein complex	14	3	0.46	0.00626	0.01000
CC	GO:0032982	myosin filament	51	6	1.69	0.00648	0.00648
CC	GO:0070062	extracellular exosome	1091	51	36.15	0.00671	0.00671
CC	GO:0043235	receptor complex	116	10	3.84	0.00688	0.00507
CC	GO:0005578	proteinaceous extracellular matrix	216	14	7.16	0.00853	0.01268
CC	GO:0005615	extracellular space	1438	72	47.65	0.00864	0.00015
MF	GO:0030246	carbohydrate binding	236	23	8.3	4.8e-07	9.4e-06
MF	GO:0008559	xenobiotic transmembrane transporting AT...	11	6	0.39	7.2e-07	7.2e-07
MF	GO:0070330	aromatase activity	70	12	2.46	5.1e-06	5.1e-06
MF	GO:0020037	heme binding	151	18	5.31	5.7e-06	5.7e-06
MF	GO:0005506	iron ion binding	180	18	6.33	6.3e-05	6.3e-05
MF	GO:0005391	sodium:potassium-exchanging ATPase activ...	8	4	0.28	9.4e-05	9.4e-05
MF	GO:0090554	phosphatidylcholine-translocating ATPase...	5	3	0.18	0.00041	0.00041
MF	GO:0090555	phosphatidylethanolamine-translocating A...	5	3	0.18	0.00041	0.00041
MF	GO:0005540	hyaluronic acid binding	20	5	0.7	0.00052	0.00052
MF	GO:0047685	amine sulfotransferase activity	6	3	0.21	0.00080	0.00080
MF	GO:0035620	ceramide transporter activity	6	3	0.21	0.00080	0.00080
MF	GO:0070403	NAD+ binding	35	6	1.23	0.00124	0.00124
MF	GO:0015020	glucuronosyltransferase activity	27	5	0.95	0.00223	0.00223
MF	GO:0008201	heparin binding	99	10	3.48	0.00247	0.00247
MF	GO:0016671	oxidoreductase activity, acting on a sul...	9	3	0.32	0.00309	0.00309
MF	GO:0008253	5'-nucleotidase activity	9	3	0.32	0.00309	0.00309
MF	GO:0004873	asialoglycoprotein receptor activity	10	3	0.35	0.00430	0.00430
MF	GO:0003950	NAD+ ADP-ribosyltransferase activity	45	6	1.58	0.00464	0.00464
MF	GO:0001618	virus receptor activity	20	4	0.7	0.00466	0.00466
MF	GO:0005044	scavenger receptor activity	32	5	1.13	0.00482	0.00482
MF	GO:0004252	serine-type endopeptidase activity	128	11	4.5	0.00540	0.00540
MF	GO:0001972	retinoic acid binding	11	3	0.39	0.00576	0.00576
MF	GO:0008307	structural constituent of muscle	48	6	1.69	0.00640	0.00640
MF	GO:0004867	serine-type endopeptidase inhibitor acti...	80	8	2.81	0.00692	0.00692
MF	GO:0042626	ATPase activity, coupled to transmembran...	94	16	3.3	0.00719	1.5e-07
MF	GO:0016705	oxidoreductase activity, acting on paire...	195	22	6.86	0.00798	1.3e-06
