ID	Am2_314	Am2_315	Am2_316	Am2_318	Am4_314	Am4_317	Am5_311	Am5_312	Am5_313
TRINITY_DN159037_c0_g1_i1	2	3	1	1	3	0	1	3	0
TRINITY_DN79632_c0_g1_i1	1	1	1	0	0	1	1	2	0
TRINITY_DN54804_c0_g1_i1	4	3	5	0	2	2	4	8	4
TRINITY_DN131902_c0_g1_i1	76	52	52	22	27	41	65	94	51
TRINITY_DN107092_c0_g1_i1	10	2	6	1	4	4	3	6	7
TRINITY_DN118386_c0_g1_i6	138	126	56	55	99	75	108	196	118
TRINITY_DN124217_c2_g4_i3	101.042	86.1229	33.0644	31.0433	74.2436	77	43.0957	69.188	113.141
TRINITY_DN122042_c0_g2_i1	4121	3964	2182	2138	3484	2991	3619	4838	3674
TRINITY_DN63974_c0_g2_i1	12	7	7	0	5	6	0	2	0
TRINITY_DN125285_c1_g1_i1	74	89	45	22	31	33	31	36	33
TRINITY_DN112350_c0_g1_i1	20	25	11	19	17	17	35	55	15
TRINITY_DN127027_c5_g2_i1	265	287	143	146	121	141	107	151	206
TRINITY_DN19372_c0_g1_i1	0	2	0	0	0	0	0	1	0
TRINITY_DN116366_c0_g1_i1	51.1621	44.1439	15.3489	18.34	62.7864	27.8038	57.2831	164.953	47.0303
TRINITY_DN131325_c0_g1_i1	389	221	196	174	236	267	230	370	352
TRINITY_DN133109_c3_g5_i1	2.30926	0	0	0	0	0	1.30212	0	0
TRINITY_DN133987_c1_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN125216_c1_g2_i2	7865	6656	3327	3237	5117	4691	4805	6894	6035
TRINITY_DN82182_c0_g1_i1	8.14292	0	1.97858	5.16662	2.66752	1.71127	4.25528	5.33797	6.41487
TRINITY_DN117375_c0_g2_i1	3742	3349	1146	1649	2418	1536	1838	1787	2126
TRINITY_DN135714_c1_g4_i2	205.971	130.823	67.5041	68.2165	154.932	160.258	145.035	184.232	152.159
TRINITY_DN124276_c6_g5_i3	1	0	0	0	0	0	1	1	0
TRINITY_DN133390_c2_g3_i1	347	363	134	117	142	278	171	182	228
TRINITY_DN113925_c0_g10_i1	4.54479	7.22883	5.88965	0	3.40726	4.42128	0	7.5569	4.66417
TRINITY_DN119974_c0_g12_i1	17.7699	16.0103	9.39166	0	21.0036	0	9.12711	33.9981	23.3581
TRINITY_DN125325_c6_g3_i1	19.3907	11.4237	5.79593	4.97846	12.3761	14.0669	0	10.9931	21.5232
TRINITY_DN45382_c0_g3_i1	9	9	8	5	5	12	25	41	5
TRINITY_DN162506_c0_g1_i1	48	31	22.4838	15	44	56	35.651	64.7072	74
TRINITY_DN128284_c0_g1_i3	67	66	37	29	41	48	46	66	40
TRINITY_DN126756_c1_g1_i4	162.727	176.035	67.032	86.0789	108.047	75.4053	96.8833	164.446	107.986
TRINITY_DN171719_c0_g1_i1	4	10	0	2	3	1	3	5	4
TRINITY_DN132202_c2_g3_i6	301	346	267	132	125	130	127	242	170
TRINITY_DN109883_c0_g1_i1	9	8	5	5	1	5	7	9	8
TRINITY_DN118178_c0_g2_i1	9	4	4	9	4	2	13	12	11
TRINITY_DN123745_c1_g1_i5	262	187	92	84	137	113	157	203	113
TRINITY_DN130078_c0_g1_i1	275	148	66	117	128	61	155	284	206
TRINITY_DN127904_c4_g2_i1	6	6	3	3	1	2	25	39	2
TRINITY_DN134877_c3_g1_i4	64	82	61	45	95	72	59	67	70
TRINITY_DN129859_c0_g13_i1	4789	4746	3037	1691	2506	2164	3862	5965	3993
TRINITY_DN111724_c0_g1_i1	4017	1181	1168	897	1050	1398	1266	1586	1851
TRINITY_DN63854_c0_g1_i1	3584	2460	1329	1402	2784	2014	1255	2134	2460
TRINITY_DN103797_c0_g1_i1	460	352	141	205	318	229	239	303	227
TRINITY_DN130793_c4_g3_i1	191	184	105	75	89	107	120	216	153
TRINITY_DN174560_c0_g1_i1	3	0	0	0	0	1	0	0	0
TRINITY_DN114709_c1_g1_i1	4	3	1	1	6	3	4	5	2
TRINITY_DN116588_c0_g2_i1	324	218	97	129	168	130	112	152	105
TRINITY_DN133247_c2_g4_i1	184.594	87.2354	62.6587	61.6201	87.8082	85.8252	107.333	176.116	94.8582
TRINITY_DN182734_c0_g1_i1	2	0	0	2	9	0	1	0	0
TRINITY_DN127213_c6_g1_i1	92	60	27	45	48	43	45	37	47
TRINITY_DN128234_c0_g1_i2	24	44	15	7	17	10	5	6	28
TRINITY_DN113380_c0_g1_i1	395.812	405.775	103.235	135.867	409.717	118.753	287.862	330.362	227.513
TRINITY_DN127121_c0_g1_i2	669	863	397	290	470	317	484	1217	626
TRINITY_DN125105_c0_g1_i1	671	460	292	289.5	445	345	364	368	387
TRINITY_DN132653_c2_g1_i1	672.011	491.584	265.397	250.289	301.704	287.267	289.006	427.216	434.925
TRINITY_DN131211_c1_g2_i1	3	0	0	0	0	0	0	1	0
TRINITY_DN104240_c0_g1_i1	993	821	544.22	415	419	424	354	556	537
TRINITY_DN112460_c0_g1_i3	7	4	0	3	0	0	0	1	0
TRINITY_DN117938_c0_g1_i1	126	92	47	40	35	49	56	48	49
TRINITY_DN212532_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN125591_c0_g1_i1	96	60	67	42	20	52	39	64	90
TRINITY_DN130966_c6_g1_i1	2630.72	3007.74	1665.51	1127	1663	2483	2161	2897	1841
TRINITY_DN135064_c0_g1_i1	127	90	77	50	60	81	79	96	95
TRINITY_DN129316_c0_g1_i4	39.4361	29.4691	14.3465	13.2098	33.5004	30.6093	93.2682	177.976	14.1909
TRINITY_DN121173_c0_g2_i1	6	4	7	0	4	2	0	0	2
TRINITY_DN111267_c0_g1_i3	673	504	315	267	243	293	333	444	379
TRINITY_DN56500_c0_g1_i1	7	3	0	1	1	0	3	2	0
TRINITY_DN97518_c0_g1_i1	4	4	6	4	3	3	7	11	7
TRINITY_DN124361_c5_g1_i1	0	0	0	0	0	0	1.74377	0	0
TRINITY_DN118364_c0_g1_i1	122	98	76	53	52	72	64	93	107
TRINITY_DN115947_c0_g7_i2	80	88	49	45	134	58	56	104	74
TRINITY_DN129702_c4_g2_i1	381	370	248	183	214	180	243	358	253
TRINITY_DN175185_c0_g1_i1	36	29	19	19	3	1	2	2	7
TRINITY_DN132129_c0_g1_i2	5974	4248	2324	2301	3010	2936	2905	4012	3298
TRINITY_DN129278_c0_g1_i1	98.5466	52.0594	25.3044	34.9389	15.6064	33.6255	18.473	35.8703	33.4868
TRINITY_DN131158_c4_g2_i1	54	46	22	18	32	14	45	38	34
TRINITY_DN107137_c0_g1_i1	8	8	3	5	10	4	16	38	6
TRINITY_DN131364_c4_g7_i1	102	76	51	39	59	73	61	85	76
TRINITY_DN129918_c0_g2_i1	326.613	217.714	126.775	98.2041	110.24	126.539	197.074	270.412	261.488
TRINITY_DN145312_c0_g1_i1	164	200	162	113	15	5	140	427	271
TRINITY_DN135847_c3_g2_i1	843	646	482	256	305	550	325	516	523
TRINITY_DN100586_c0_g2_i1	0	0	0	46.5183	109.909	0	87.0894	0	0
TRINITY_DN90833_c0_g2_i1	0	3	3	0	0	4	1	2	0
TRINITY_DN154748_c0_g1_i1	4	3	0	0	0	0	3	3	5
TRINITY_DN43254_c0_g3_i1	33	26	6	8	21	7	21	17	16
TRINITY_DN136212_c1_g3_i1	7110	5973	2400	2643.65	4535	4327	3134	4447	4682
TRINITY_DN126434_c0_g2_i1	22572	18942	11874	8364	10500	10377	10629	15426	13967
TRINITY_DN128955_c3_g3_i1	166	159	80	71	102	85	58	146	115
TRINITY_DN103731_c0_g1_i3	2	1	1	3	1	2	1	2	1
TRINITY_DN117303_c0_g1_i1	1173	1217	283	740	762	600	1898	1538	1960
TRINITY_DN125819_c0_g1_i1	7.6184	8.10774	3.76408	4.18543	4.75164	3	6	9.92759	7
TRINITY_DN124478_c0_g3_i3	173	227	161	72	178	185	233	355	242
TRINITY_DN131492_c6_g1_i2	1418	1695	726	417.993	254	548	439	549	417
TRINITY_DN190189_c0_g1_i1	18	13.2484	9	5	4.25353	5.09567	8	13	15
TRINITY_DN133324_c4_g2_i1	9.87319	20.9024	13.7636	14.9154	12.9952	15.9348	15.5476	11.0079	18.6662
TRINITY_DN135442_c5_g1_i1	136	90	60	67	111	103	118	241	73
TRINITY_DN130536_c0_g2_i1	0	0	0	0	0	1	0	0	0.00117011
TRINITY_DN134987_c1_g1_i1	56	62	36	13	18	35	6.18475	14	37
TRINITY_DN125543_c1_g3_i5	268.489	209.112	108.708	113.003	185.195	116.276	176.212	197.793	180.994
TRINITY_DN122821_c0_g1_i2	27	33	12	14	13	16	26	59	21
TRINITY_DN132299_c0_g1_i2	368	428	112	167	415	171	1915	1023	439
TRINITY_DN31596_c0_g1_i1	4	1	3	0	0	0	4	7	2
TRINITY_DN131438_c2_g10_i3	989	585	460	314	355	521	852	1233	1008
TRINITY_DN130217_c2_g6_i1	11.5892	12.6798	3.63821	3.08338	6.61243	7.03019	6.48901	13.6512	8.79267
TRINITY_DN127935_c3_g3_i3	34	31	10	10	25	34	19	43	28
TRINITY_DN202940_c0_g1_i1	0	3	2	0	1	3	2	3	0
TRINITY_DN17741_c0_g1_i1	0	3	0	0	0	2	0	0	0
TRINITY_DN131118_c1_g3_i1	5	10	7	5	7	6	3	24	8
TRINITY_DN165409_c0_g1_i1	6	2	1	0	1	1	10	5	3
TRINITY_DN131141_c1_g1_i1	7633	2542.89	2562	1614.97	1891	2861	3452	6123.95	3727
TRINITY_DN135037_c4_g1_i1	26	31	7	10	15	7	26	20	18
TRINITY_DN70359_c0_g2_i1	57	54	19	27	43	45	30	98	76
TRINITY_DN121576_c0_g2_i2	27	13	7	11	9	13	10	17	10
TRINITY_DN128578_c3_g3_i1	6	3	2	1	4	2	1	3	1
TRINITY_DN121233_c0_g3_i1	3931	2535	2166	1502	1960	2008	2311	2982	2363
TRINITY_DN125663_c7_g5_i1	1307	944.446	761.717	459.567	347.991	434.724	537.777	890.126	630.85
TRINITY_DN36072_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN132564_c4_g11_i7	511	385	182	198	126	115	62	141	217
TRINITY_DN102740_c0_g2_i1	0	4	0	2	1	5	1	16	6
TRINITY_DN37916_c0_g2_i1	2	8	3	3	1	6	0	2	9
TRINITY_DN115830_c0_g1_i1	16.4375	16.477	11.1371	11.1116	7.27603	12.208	6.40748	26.6784	12.6294
TRINITY_DN108333_c0_g1_i2	12	10	7.09492	4.14159	21	8.08466	11.7982	14	11
TRINITY_DN72984_c0_g1_i1	37	22	17.7565	13	17.9521	28.4637	18.9404	47.6595	32.8449
TRINITY_DN123721_c0_g1_i1	205	175	102	88	85	113	197	265	143
TRINITY_DN135612_c2_g36_i1	714	686	446	332	453	402	451	780	538
TRINITY_DN84870_c0_g3_i1	1	1	1	1	0	1	0	2	0
TRINITY_DN133544_c0_g4_i1	0	5.88617	0	0	0	5.60122	0	2.32813	0
TRINITY_DN113089_c0_g1_i1	504	427	205	225	450	340	172	157	313
TRINITY_DN119754_c2_g6_i1	6	14	24	2	9	3	9	26	23
TRINITY_DN127635_c1_g1_i2	997.869	907.835	529.322	330	539.463	585	570.942	946.102	597.972
TRINITY_DN135082_c3_g1_i1	0	0	0	0	0	1	0	1	0
TRINITY_DN124709_c0_g1_i1	195	135	41	85	128	124	129	136	123
TRINITY_DN134345_c1_g2_i1	25	19	15	9	25	26	6	30	20
TRINITY_DN46741_c0_g1_i1	40	11	16	8	17	20	3	1	5
TRINITY_DN117992_c0_g7_i1	3	0	1	0	0	1	0	10	0
TRINITY_DN70363_c0_g1_i1	1	0	0	0	0	0	0	1.33333	1
TRINITY_DN119141_c0_g1_i1	85	76	31	28	37	40	42	79	59
TRINITY_DN136150_c3_g1_i2	1638.13	1199.11	832.129	671.186	861	756	1175.12	1631	763
TRINITY_DN67307_c0_g1_i1	34.7157	15.6092	13	7.5348	22	13	35	15	36
TRINITY_DN113356_c0_g2_i1	710	836	478	302	382	386	282	515	530
TRINITY_DN128783_c3_g1_i3	474	405	220	118	169	260	290	398	339
TRINITY_DN126131_c0_g2_i1	4	3	1	0	0	0	2	1	2
TRINITY_DN125093_c0_g1_i1	0	2	1	1	1	1	0	3	4
TRINITY_DN72218_c0_g1_i1	0	2	1	0	0	0	0	0	0
TRINITY_DN136425_c0_g6_i1	127	129	67	60	104	99	107	203	113
TRINITY_DN182531_c0_g1_i1	18.0645	24	12	11	11	6	5	12	14
TRINITY_DN106653_c0_g1_i1	602	211.899	268	117.912	375	165.969	180	174.536	218.535
TRINITY_DN53340_c0_g2_i1	62	55	33	19	32	41	25	40	40
TRINITY_DN136098_c4_g2_i1	23	19	21	9	47	53	15	80	14
TRINITY_DN128804_c0_g2_i1	1106.02	717.008	468.482	398.777	486	474	525.712	598	605.372
TRINITY_DN201380_c0_g1_i1	30	5	5	4	0	9	26	50	28
TRINITY_DN53184_c0_g1_i1	48	33	20	16	21	19	23	22	20
TRINITY_DN131194_c3_g2_i1	2137	2555	1285	910	967	849	1018	1180	897
TRINITY_DN119680_c0_g1_i1	296.357	185.309	90.9681	121.875	161	105	114.723	199.865	125.743
TRINITY_DN127106_c0_g1_i1	160	93	51	59	87	54	46	64	67
TRINITY_DN118574_c0_g2_i1	1280	994	812.415	456	406	545	616.555	903.092	809.647
TRINITY_DN135880_c8_g2_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN123892_c1_g1_i2	609	517	365	204	195	316	303	504	392
TRINITY_DN135580_c5_g1_i1	4	1	4	0	1	3	6	17	9
TRINITY_DN127239_c0_g1_i6	7	7	3	6	11	1	7	19	6
TRINITY_DN129938_c0_g1_i3	804	426	359	327	295	388	423	450	493
TRINITY_DN134939_c7_g2_i1	95	84	25	24	49	63	54	55	84
TRINITY_DN130304_c0_g2_i2	41.838	32.6345	11.3044	8.41109	9.19938	7	14.3438	13.2871	9.51446
TRINITY_DN134793_c2_g5_i5	88.9439	53.3074	30.1543	31	52.7223	26.349	62.7479	48.0358	64.7487
TRINITY_DN100194_c1_g1_i1	6	2	1	1	4	2	2	4	3
TRINITY_DN123796_c0_g1_i1	174	167	89	62	58	71	54	118	100
TRINITY_DN106065_c0_g1_i2	830	796	600	332	297	388	445	670	493
TRINITY_DN124531_c6_g1_i1	3	6	1	1	1	4	1	2	2
TRINITY_DN126819_c1_g4_i1	0	0	0	1	1	0	2	9	0
TRINITY_DN131594_c0_g1_i3	2838	2231	1688	1199	1229	1311	1600	2317	1778
TRINITY_DN128159_c1_g1_i2	564.905	532.499	311.372	245.209	370.962	334.032	404.071	677.294	518.928
TRINITY_DN117232_c0_g3_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN129523_c0_g2_i1	347.695	275	143.909	118	131	93.504	128.615	81	105
TRINITY_DN94637_c0_g2_i1	4.3343	7.6	4	3.50186	2	1	4	0	1
TRINITY_DN128225_c2_g1_i3	85.9334	108.943	39.137	20.0948	18.3157	28.8556	70.1557	75.7088	58.4896
TRINITY_DN190631_c0_g1_i1	6	6.74035	0.264062	1	1.39118	0	0	0	0
TRINITY_DN123937_c0_g3_i1	0	11.1492	5.50303	4.35882	6	29	12.5741	35	21
TRINITY_DN120931_c0_g1_i5	22	15	10	11	10	13	12	10	7
TRINITY_DN135989_c3_g6_i1	541.339	504.221	349.635	232.609	244.724	338.794	406.447	660.205	416.66
TRINITY_DN134721_c5_g1_i1	2336.25	1897.06	1215.8	873.421	905	896	989.622	1105	1174
TRINITY_DN181530_c0_g2_i1	0	0	9.60597	0	0	0.000583678	5.88544	0.000172576	0
TRINITY_DN49669_c0_g2_i1	0	0	1.61409	0	0	0	1	0.705939	0
TRINITY_DN151949_c0_g1_i1	0	2	0	0	0	0	0	0	0
TRINITY_DN131294_c5_g2_i10	484	408	284	165	205	263	210	306	386
TRINITY_DN120136_c0_g1_i2	262	189	131	103	127	145	161	202	177
TRINITY_DN90511_c0_g1_i1	278.935	141.515	90.5624	80.0671	227.877	227.765	224.478	293.294	347.009
TRINITY_DN98678_c0_g1_i1	17	7	3	4	13	7	12	12	8
TRINITY_DN130828_c1_g4_i3	44.2804	43.5452	30.254	10.074	47.9046	46.1455	63.8625	47.5676	58.3187
TRINITY_DN116704_c0_g1_i2	2	0	0	0	0	0	3	6	0
TRINITY_DN135638_c9_g1_i1	40	28	16	17	5	14	28	18	23
TRINITY_DN81305_c0_g2_i1	321.073	261.896	152	119.043	169.099	215.051	240.038	387.048	231.046
TRINITY_DN134717_c3_g1_i3	33	43	25	15	13	26	159	239	30
TRINITY_DN134837_c3_g1_i1	492.04	520.058	276.018	229.031	213.026	236.019	292	340.013	313
TRINITY_DN100789_c0_g1_i1	20	16	8	3.02215	7	8	6	8	9
TRINITY_DN122531_c0_g3_i1	763.702	494.7	431.481	311.69	324.608	400.772	350.941	529.419	476.976
TRINITY_DN186123_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN118714_c0_g1_i1	19.1073	19.2674	14	7.10849	20	22.3157	5.05236	24.3905	22.6813
TRINITY_DN168249_c0_g1_i1	1	0	1	0	0	0	0	0	0
TRINITY_DN137656_c0_g1_i1	51	21	14	14	15	26	14	11	28
TRINITY_DN125667_c9_g1_i1	158	171	88	90	115	167	220	254	213
TRINITY_DN130642_c0_g1_i1	17	13	6	7	10	4	20	15	6
TRINITY_DN200257_c0_g1_i1	0	0	0	0	0	0	0	1	0
TRINITY_DN130557_c0_g2_i1	23.1241	10.3237	6.05985	11	12.8154	4.00531	23	11.9067	13.0391
TRINITY_DN111779_c0_g1_i1	4	5	1	0	0	3	3	3	2
TRINITY_DN115752_c0_g1_i1	490	390	254	213	250	242	252	415	332
TRINITY_DN134188_c0_g1_i1	29	22	20	4	37	15	33	57	22
TRINITY_DN129497_c2_g1_i1	394	82	124	76	109	160	189	357	204
TRINITY_DN104786_c0_g2_i1	1.44228	1.82482	0	0	0	0	0	0	1.10438
TRINITY_DN121616_c0_g1_i2	21	9	1	10	16	15	4	17	2
TRINITY_DN128197_c7_g2_i1	11	15	4	6	6	2	15	9	5
TRINITY_DN170030_c0_g1_i1	0	0	0	0	0	0	0	2	2
TRINITY_DN130327_c3_g1_i2	91.5906	43.5177	32.9691	28.5488	34.4694	28.5253	39.4094	63.895	40.7808
TRINITY_DN133790_c10_g2_i2	128.397	70.1229	57.4316	62.3644	87.3179	98.1936	91.2075	168.258	75.4509
TRINITY_DN65749_c0_g1_i1	11	18	9	0	12	13	19	20	13
TRINITY_DN42221_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN197728_c0_g1_i1	2	1	1	0	0	1	2	2	0
TRINITY_DN129427_c0_g4_i1	0	0	0	0	0	0	0	5.07724	0
TRINITY_DN131736_c1_g1_i1	292	221	163	119	159	191	187	307	153
TRINITY_DN39540_c0_g2_i1	0	0	185.096	0	619.571	281.922	530.567	763.566	732.254
TRINITY_DN110249_c0_g1_i1	25	19	14	8	12	5	20	16	13
TRINITY_DN119763_c0_g1_i2	8.35145	1.51925	7.57878	3.52885	27.8704	12.9134	9.94342	5.91461	19.1292
TRINITY_DN128736_c2_g1_i6	577	316	266	190	260	249	291	480	314
TRINITY_DN107625_c0_g2_i1	1	0	0	0	1	0	7	7	3
TRINITY_DN45811_c0_g1_i1	3	0	0	0	0	0	2	0	0
TRINITY_DN119717_c0_g1_i2	15	14	8	0	4	6	17	21	5
TRINITY_DN135640_c2_g11_i1	0	0	0	1.3212e-08	3.01858e-07	0	3.23587	11.5225	0
TRINITY_DN9003_c0_g1_i1	22	9	8	4	7	11	7	13	13
TRINITY_DN135263_c3_g5_i1	22	17	6	5	11	11	9	9	10
TRINITY_DN108703_c0_g7_i1	0	0	5.77701	0	0	0	0	7.63991	0
TRINITY_DN52978_c0_g1_i1	8	3	5	5	6	4	5	0	8
TRINITY_DN127948_c1_g4_i1	7	11	7	5	8	3	9	5	5
TRINITY_DN125663_c8_g1_i4	10	2	7	4	12	2	9	46	3
TRINITY_DN71786_c0_g1_i1	4	2	0	0	0	3	1	1	1
TRINITY_DN135448_c4_g1_i2	102	102	74	48	34	70	63	92	156
TRINITY_DN22895_c0_g1_i1	0	0	0	0	0	0	1	1	0.5
TRINITY_DN97002_c0_g1_i2	0	0	1	1	3	2	4	8	6
TRINITY_DN133045_c9_g10_i1	44.0641	59.3279	15.2699	24	8.79618	9.8377	27	13.8578	23
TRINITY_DN130021_c0_g6_i1	1491	1174.88	670.875	554.785	394.461	626	914	1270	1007
TRINITY_DN127113_c0_g1_i2	2692	2240	1285	974	1159	1481	1820	3436	2119
TRINITY_DN130137_c3_g1_i1	1103	1026	523	379	467	616	726	967	828
TRINITY_DN137275_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN128510_c7_g6_i3	30.6639	19.7386	10.1719	6.61378	21.278	22.3796	26.0267	25.9276	23.4703
TRINITY_DN135201_c2_g1_i2	237	220	54	71	239	111	196	102	172
TRINITY_DN144997_c0_g1_i1	0	0	0	0	0	0	0	0	2
TRINITY_DN111626_c0_g1_i2	16.0928	12.8423	3.63522	6.00464	4.49583	7	8.25451	15.7972	4.84545
TRINITY_DN132818_c0_g2_i3	4852	3807	2242	1574	1615	2487	2539	3994	2890
TRINITY_DN99492_c2_g2_i1	545	357	187	175	334	306	342	405	453
TRINITY_DN129711_c1_g4_i4	3533.28	2415.96	1722.55	1300.19	1346	1836	2169.54	3738.22	2383.64
TRINITY_DN124513_c1_g1_i1	486.797	555	262.839	200	214	209.778	205.765	235.672	283.677
TRINITY_DN100022_c0_g1_i1	98	85	82	39	64	112	54	89	108
TRINITY_DN121935_c3_g1_i3	272	242	205	122	75	57	85	110	83
TRINITY_DN122069_c0_g1_i6	170	110	65	55	2	21	9	12	14
TRINITY_DN133589_c0_g2_i1	45	65	63	17	44	21	18	29	55
TRINITY_DN118709_c0_g1_i3	862	576	296	385	526	319	421	616	381
TRINITY_DN131203_c2_g1_i6	741	705	317	417	492	423	548	891	480
TRINITY_DN168840_c0_g1_i1	1	0	0	0	0	0	0	0	0
TRINITY_DN136357_c1_g5_i1	85.6862	34.7648	24.1221	35.0678	18.4969	20.0513	41.2825	52.7271	46.5505
TRINITY_DN125678_c0_g1_i3	162.151	124	59.4671	80.5079	51.6933	11	37.3398	72	45.3794
TRINITY_DN204951_c0_g1_i1	0	0	1	0	0	0	2	4	0
TRINITY_DN122630_c10_g2_i2	133	170	60	61	132	176	132	203	160
TRINITY_DN204911_c0_g1_i1	4	0	1	0	0	0	0	2	1
TRINITY_DN168080_c0_g1_i1	0	0	1	0	0	0	0	0	0
TRINITY_DN49124_c0_g2_i1	0	0	0	0	0	2	0	0	0
TRINITY_DN91464_c0_g1_i1	32.2558	15.5538	17.6402	10.2438	10	0	20.1306	1.97394	5.40804
TRINITY_DN129661_c1_g7_i2	20	21	11	9	13	10	51	72	21
TRINITY_DN121362_c0_g1_i1	471.132	336.75	212.754	153.149	228.704	343.417	299.463	517.723	426.151
TRINITY_DN120405_c0_g2_i5	50	36	34	15	30	33	241	402	37
TRINITY_DN89568_c0_g2_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN136580_c1_g1_i1	7207	5907	5452	3604	4710	5371	5765	14440	8493
TRINITY_DN131758_c3_g2_i3	1309.94	951.892	524.39	493.087	707.645	849.215	685.861	935.129	1043.42
TRINITY_DN133949_c2_g3_i2	93.9818	68.5836	48.9923	45.1566	60.5292	61.4116	43.6461	62.9756	67.5275
TRINITY_DN126245_c5_g2_i2	13.5796	11.2503	9	2	10	6.19418	6.32913	24.0167	7.34921
TRINITY_DN6718_c0_g2_i1	6	2	1	0	4	2	0	6	4
TRINITY_DN202182_c0_g1_i1	0	0	0	0	1	1	2	4	1
TRINITY_DN111051_c0_g1_i1	8	5	2	3	9	1	1	13	4
TRINITY_DN123280_c0_g1_i1	231	197	107	99	133	178	138	260	194
TRINITY_DN128894_c0_g4_i2	218.57	185.68	121.937	101.055	139.261	133.984	131.161	244.398	175.343
TRINITY_DN210463_c0_g1_i1	55.4955	43.0761	25.2573	10.3605	37.8509	24.5711	18.4888	23.7308	16.4761
TRINITY_DN62191_c0_g1_i1	2	0	0	0	0	0	1	0	1
TRINITY_DN47476_c0_g1_i1	15.1404	21.1162	9	8	5.04446	9.07159	6	10.0531	7
TRINITY_DN122942_c2_g1_i7	451	405	216	184	137	130	184	221	172
TRINITY_DN129036_c0_g1_i1	174.111	148.59	96.4147	54.5924	24.2506	22.6373	50.6139	29.3599	21.8407
TRINITY_DN78438_c0_g3_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN119665_c0_g1_i1	35.9921	32.3154	16.2831	10.3591	33.6861	24.3858	27.3653	40.0637	41.3241
TRINITY_DN134006_c0_g4_i1	25	7	11	4	2	13	19	16	15
