ID	A17MB	A17FB	A16MB	A15MB	A15FB	A12FB	A10MB	A10FB	A8MB
TRINITY_DN31936_c0_g2_i1	0	4	0	0	1	10	1	3	0
TRINITY_DN14454_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN80908_c0_g1_i1	0	52.3217	0	0	5	36.6186	0	8.38253	0
TRINITY_DN65434_c0_g1_i1	0	14	0	0	5	15	0	2	0
TRINITY_DN133488_c1_g1_i1	42	73	48	86	80	67	39	38	40
TRINITY_DN116991_c0_g2_i1	33.0623	6	0	10.7714	15.7345	7.47604	3.91916	27.987	0
TRINITY_DN45651_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN113900_c0_g1_i1	10	9	16	28	9	8	26	13.0709	20.1113
TRINITY_DN115726_c0_g4_i1	187.538	89.8236	72	253	41.5518	28	69	30	72.988
TRINITY_DN209101_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN125983_c0_g2_i1	10	17	11	9	10	14	15	16	10
TRINITY_DN165645_c0_g1_i1	65.2385	125.824	84.5129	115.434	66.2616	97.044	84.9645	92.9337	94.1424
TRINITY_DN196744_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN132807_c1_g1_i7	1238	2047	2642	3353	1139	1347	1765	705	821
TRINITY_DN197088_c0_g1_i1	3	4	2	5	5	9	4	1	2
TRINITY_DN111228_c0_g1_i1	5	16	3	10	11	8	20	6	16
TRINITY_DN70363_c0_g1_i1	0	0	1.625	0	0	2.88889	0	0	0
TRINITY_DN217402_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN133473_c0_g8_i4	68	103	107	141	84	87	107	137	54
TRINITY_DN170631_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN166440_c0_g1_i1	0	10	0	0	3	9	0	2	0
TRINITY_DN34241_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN131426_c0_g2_i1	1	8	1	2	2	1	0	2	0
TRINITY_DN130224_c3_g3_i1	72	94	111	132	98	105	24	179	160
TRINITY_DN131300_c5_g1_i1	166	201	137	288	136	161	170	153	205
TRINITY_DN128838_c1_g1_i1	159.654	165.107	93.2288	177.207	95.1029	93	126.178	105.319	146.071
TRINITY_DN134872_c1_g1_i1	1195	1962.77	1174	3879	1950	1819	1509	1399	2287.8
TRINITY_DN47484_c0_g2_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN97551_c0_g5_i1	6.0154	14.0343	1.00077	12.0088	7.00569	8.01529	5	5.02168	13.0166
TRINITY_DN9019_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN123382_c4_g5_i1	385	331	244	583	257	353	378	287	366
TRINITY_DN119152_c0_g1_i4	403	465	269	259	345	402	144	264	438
TRINITY_DN176750_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN119009_c0_g2_i2	122	102	48	163	87	97	81	92	117
TRINITY_DN126289_c6_g2_i1	32	50	26	86	52	45	38	48	94
TRINITY_DN126410_c3_g6_i1	1	0	1.38042	0	0	0	0	0	2
TRINITY_DN126925_c1_g1_i1	54.2331	44.0787	32.0321	84.2753	45.2835	34.0758	50.2699	71.4013	83.221
TRINITY_DN126784_c0_g4_i1	82.0602	68.9936	65.2398	125.195	64.109	66.9964	71.1006	76.1652	65.531
TRINITY_DN133663_c0_g1_i1	722	311	460	650	412	462	558	370	421
TRINITY_DN125578_c3_g2_i4	60.9323	60	54.7891	116	64.7078	68.1738	57.5415	59	83.1779
TRINITY_DN14121_c0_g1_i1	0	24	0	0	4	30	3	10	0
TRINITY_DN134157_c2_g1_i1	79	88	97	120	99	75	92	73	88
TRINITY_DN166074_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN113959_c0_g1_i1	5	13	1	16	6	7	2	1	6
TRINITY_DN77733_c0_g1_i1	6	4	3	26	4	2	2	0	12
TRINITY_DN127999_c10_g6_i2	34.5312	13.7855	7.29469	56.5208	17.4437	45.7673	29.5457	18.8868	69.6464
TRINITY_DN133961_c2_g7_i1	52.5144	25.5717	27.2235	39.1583	21.3479	37.7783	48.2574	34.6511	45.017
TRINITY_DN131857_c0_g3_i1	6.21369	1.02876	2.10652	5.14766	4.20787	6.22132	5.11143	6.20038	9.09776
TRINITY_DN82615_c0_g1_i1	0	49.0533	0	0	5.34463	51.7556	6	18.5658	1
TRINITY_DN126256_c6_g2_i1	565.584	462.724	452.7	1001.04	447.806	588.484	394.287	507.6	375.518
TRINITY_DN39535_c0_g1_i1	0	26	0	0	6	26	2	6	0
TRINITY_DN77060_c0_g1_i1	2	4	3	3	2	1	4	2	2
TRINITY_DN113272_c0_g1_i1	0	0	0	0	7	11.2	4	0	0
TRINITY_DN131805_c5_g1_i1	52	26	13	49	28	37	35	39	41
TRINITY_DN133214_c1_g4_i1	291.826	217	154.938	394.899	222.872	239	313.811	284.867	308.968
TRINITY_DN123057_c1_g2_i1	73	83	48	109	80	42	49	58	48
TRINITY_DN134963_c2_g9_i1	0	0	24.7013	39.3496	20.2834	0	0	0.00157524	10.9728
TRINITY_DN127250_c1_g4_i1	5.86756	0	3.46007	0	0	0.000121451	3.79909	2.42196	0
TRINITY_DN117152_c0_g1_i1	137	156	106	385	195	145	170	121	139
TRINITY_DN162142_c0_g1_i1	2	1	4	5	1	1	2	0	3
TRINITY_DN113985_c0_g1_i1	473	648	455	942	518	580	439	466	550
TRINITY_DN49255_c0_g1_i1	220.659	365.694	185.305	393.595	118.494	240.704	195.008	180.776	320.652
TRINITY_DN114033_c0_g1_i2	0	0	0	2	0	0	0	0	0
TRINITY_DN128540_c2_g1_i1	147.191	148.285	112.077	195.836	138.725	152.734	99.7833	89.5472	164.364
TRINITY_DN135526_c5_g2_i2	1	0	0	0	2	0	0	0	0
TRINITY_DN185591_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN134913_c0_g3_i1	15.7645	6.08867	14.0612	48.0646	10.2983	15.3992	17.1796	10.675	4.50328
TRINITY_DN88755_c0_g2_i1	0	33	0	0	7	41	1	9	0
TRINITY_DN151907_c0_g1_i1	0	16	0	0	1	11	3	1	0
TRINITY_DN135255_c2_g1_i11	1413	1350	1021	2177	1086	990	1296	1151	1520
TRINITY_DN122166_c0_g1_i3	1513	1154	971	2060	1128	1162	1327	1423	1195
TRINITY_DN118819_c0_g1_i1	1492	1622	1548	2256	1287	1235	1742	2168	1522
TRINITY_DN134766_c0_g2_i4	22	22	31	48	45	25	15	15	72
TRINITY_DN119206_c2_g1_i3	602	803	726	1003	606	622	686	723	670
TRINITY_DN118236_c0_g2_i2	935.59	766.913	665	1121.73	622.561	534.419	945	889.952	663
TRINITY_DN123846_c1_g1_i1	0	0	0	0	0	2	0	0	0
TRINITY_DN123779_c0_g1_i1	7	5.07941	1	2	3	7	6	2	13
TRINITY_DN117216_c0_g2_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN59031_c0_g1_i1	1	0	0	0	0	0	0	0	1
TRINITY_DN134012_c4_g1_i1	5	15	11	6	2	11	9	2	13
TRINITY_DN142102_c0_g1_i1	8	9	4	5	7	3	3	4	3
TRINITY_DN125136_c3_g2_i1	17	10	6	28	22	13	9	5	27
TRINITY_DN128797_c4_g2_i1	5	9	8	9	7	16	18	20	34
TRINITY_DN110193_c0_g1_i1	33.9273	33.1477	18.5614	56.3266	27.36	23.5464	18.2522	34.4281	23.0685
TRINITY_DN129080_c3_g2_i1	2	6	5	12	7	12	14	11	5
TRINITY_DN132705_c7_g1_i2	14	8	4	29	12	18	27	9	14
TRINITY_DN28533_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN165627_c0_g1_i1	2	0	1	7	0	0	3	2	0
TRINITY_DN47794_c0_g1_i1	1	2	2	2	0	5	5	1	1
TRINITY_DN134673_c2_g2_i1	15	75	38	32	45	19	27	24	28
TRINITY_DN131164_c4_g1_i1	0	0	0	0	0	0	0	0	1
TRINITY_DN103744_c0_g1_i2	2932.09	2814.99	2915.08	5102.19	2937.45	2607.75	3162.55	2997.51	3593.47
TRINITY_DN121016_c0_g1_i1	0	1	0	0	1	0	0	0	0
TRINITY_DN100467_c0_g2_i1	0	0	2.12296	5.17644	2.1076	0	1.04565	0	1.04742
TRINITY_DN15146_c0_g1_i1	0	13	0	0	3	11	0	6	0
TRINITY_DN104140_c0_g1_i1	0	4	2	26	0	1	4	0	15
TRINITY_DN124009_c0_g1_i3	806	695	678	1430	748	746	632	667	764
TRINITY_DN208960_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN151771_c0_g1_i1	0	0	1	6	0	0	0	5	1
TRINITY_DN135453_c2_g3_i2	0	28.5476	14.8706	0	22.5043	1.12936	23.5815	0	0
TRINITY_DN122338_c1_g2_i1	1	0	3	0	0	0	0	0	0
TRINITY_DN9289_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN130550_c0_g1_i3	0	0	0	1	1	0	0	8	1
TRINITY_DN42794_c0_g1_i1	0	17	0	0	4	14	4	2	0
TRINITY_DN187665_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN121510_c0_g1_i1	72	71	64	117	61	52	46	52	70
TRINITY_DN131265_c3_g3_i1	14.8821	0	2.53043	13.4936	11.7698	13.6633	0	0.341897	30.9742
TRINITY_DN111407_c0_g1_i1	21.7721	24.2545	17.9472	29.2843	15.416	26.3859	16.7417	12.122	38.2255
TRINITY_DN184581_c0_g1_i1	1	16	0	0	2	15	3	4	0
TRINITY_DN125103_c0_g1_i3	107	99.576	102	216	84.6296	74	133	278	107
TRINITY_DN119168_c0_g1_i2	359	364	199	500	280	303	398	335	259
TRINITY_DN117646_c0_g2_i1	59	27	23	138	13	30	44	15	194
TRINITY_DN133368_c0_g4_i1	0	0	1	0	1	0	0	0	0
TRINITY_DN49068_c0_g2_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN156528_c0_g1_i1	0	17	0	0	1	14	0	11	0
TRINITY_DN40691_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN83187_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN122453_c0_g1_i1	5	9	3	17	5	12	7	6	15
TRINITY_DN207517_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN114622_c0_g1_i3	46	52	46	66	63	38	59	78	56
TRINITY_DN121102_c2_g5_i1	0	2	0	0	0	0	0	0	0
TRINITY_DN131967_c0_g3_i2	0	0	0	0	0	0	0	0	0
TRINITY_DN27210_c0_g1_i1	387	17.1744	0	0	0	0	204.366	231.799	0
TRINITY_DN165786_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN196322_c0_g1_i1	0	2.0381	1.14021	2.46809	3.29728	1.24412	1.36294	2.13392	3.47404
TRINITY_DN170184_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN130634_c6_g2_i1	8.64221	14.0499	6	64.4694	2.87591	8.67059	7	37.8011	75.6
TRINITY_DN131256_c2_g1_i9	388	355	296	621	391	315	314	318	288
TRINITY_DN130546_c0_g1_i1	6	10	9	11	2	11	10	7	8
TRINITY_DN82945_c0_g1_i1	186	224	256	392	259	216	268	247	312
TRINITY_DN184891_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN169403_c0_g1_i1	2	3	1	2	7	1	1	1	0
TRINITY_DN98601_c0_g1_i1	0	6	0	0	0	10	0	3	0
TRINITY_DN153961_c0_g1_i1	3	1	1	3	1	0	0	1	1
TRINITY_DN208549_c0_g1_i1	0	0	0	0	2	2	1	0	0
TRINITY_DN126073_c0_g2_i3	24	47	24	47	23	27	12	27	54
TRINITY_DN61083_c0_g2_i1	1	0	1	1	0	0	0	0	0
TRINITY_DN136517_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN166517_c0_g1_i1	0	0	0	1.8438	0	0	10.6615	7.48238	0
TRINITY_DN120539_c0_g1_i1	281	336	170	397	243	238	197	191	201
TRINITY_DN50181_c0_g2_i1	0	7	0	0	3	9	0	3	0
TRINITY_DN50464_c0_g1_i1	96	70	24	74	36	69	29	38	49
TRINITY_DN131589_c8_g2_i1	329.049	267.391	284.276	526.695	296.86	236.345	346.855	235.689	279.051
TRINITY_DN84296_c0_g3_i1	0	15	0	0	1	9	0	6	0
TRINITY_DN183740_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN95396_c0_g2_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN64956_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN118751_c0_g1_i2	53.5126	22.0689	23.3681	62.89	25.1457	31.3034	39.5661	67.296	59.1489
TRINITY_DN132776_c2_g2_i1	0	2.6306	0	0	0	0	0	1.86215	4.79247
TRINITY_DN174228_c0_g1_i1	0	9	0	0	3	7	0	1	0
TRINITY_DN129285_c0_g1_i3	0	0	17	5	8	8	5	1	2
TRINITY_DN126256_c5_g1_i6	194	175	101	218	145	147	194	205	228
TRINITY_DN210568_c0_g1_i1	0	13	0	0	6	15	3	3	0
TRINITY_DN133977_c8_g3_i1	45	73	27	49	34	52	46	33	54
TRINITY_DN95504_c0_g2_i1	3	6	2	6	6	8	5	11	3
TRINITY_DN49630_c0_g2_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN182480_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN23687_c0_g1_i1	124	106	102	176	111	122	118	92	92
TRINITY_DN111985_c0_g2_i1	15	86	53	89	68	86	33	33	57
TRINITY_DN51310_c0_g1_i1	0	0.788443	0.796621	6.2066	0.780811	0	0.41138	0.38906	4.95985
TRINITY_DN126418_c2_g2_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN208620_c0_g1_i1	2	5	4	1	3	2	5	0	2
TRINITY_DN121407_c0_g1_i1	61	106	110	162	82	102	139	111	89
TRINITY_DN112711_c0_g2_i1	0	30	1.04094	8	0	2	14	1	14
TRINITY_DN125805_c1_g1_i1	278.835	191.659	262.868	336.947	316.872	300.245	230.79	332.135	224.509
TRINITY_DN179160_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN188847_c0_g1_i1	1	7	0	0	1	0	0	0	0
TRINITY_DN114505_c0_g2_i2	0	1.05833	0	4.38786	5.40356	3.21896	0	9.00241	3.34013
TRINITY_DN154867_c0_g1_i1	0	0	1	2	0	1	0	1	0
TRINITY_DN54914_c0_g1_i1	5	5	6	6	2	2	8	4	1
TRINITY_DN143492_c0_g1_i1	1	3	0	1	1	0	2	2	1
TRINITY_DN140679_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN182005_c0_g1_i1	0	3	0	0	0	7	0	0	0
TRINITY_DN108182_c0_g2_i1	0	4918.93	2758.97	8146.42	8.54029	2280.82	0	3882.68	3164.97
TRINITY_DN126133_c2_g1_i1	152	206	116	323	168	178	176	147	193
TRINITY_DN122732_c0_g2_i1	13	13	6	27	12	16	7	11	8
TRINITY_DN181618_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN119906_c0_g1_i1	2	7	1	8	2	5	1	3	6
TRINITY_DN134793_c1_g5_i1	1	0	0	0	0	4	5	1	1
TRINITY_DN198276_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN125304_c0_g1_i1	7	5	6	29	6	3	10	10	20
TRINITY_DN116959_c0_g6_i1	817.607	149.623	1083.89	233.983	0	0	2.51973	4033.2	1973.88
TRINITY_DN132079_c8_g1_i1	22.3589	18	20	49	12	15	24	17	25
TRINITY_DN118707_c0_g1_i1	1193	980	873	2050	939	864	984	870	1371
TRINITY_DN119564_c1_g1_i1	9	6	3	14	9	3	4	6	5
TRINITY_DN107842_c0_g2_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN122996_c0_g2_i1	2	1	0	3	0	0	0	0	0
TRINITY_DN82409_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN168410_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN128905_c8_g2_i1	74.1846	124.795	161.712	140.295	87.7615	114.553	72.9244	58.8843	79.8768
TRINITY_DN25454_c0_g1_i1	0	0	0	0	0	1	1	0	0
TRINITY_DN133167_c0_g1_i1	7.43875	33.9449	16.4169	27.7993	7.49645	8.82204	14.9532	15.3057	21.6936
TRINITY_DN118466_c0_g1_i1	668	561	713	1165	585	642	885	840	632
TRINITY_DN138806_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN115448_c1_g1_i1	96	127	72	256	125	113	69	80	75
TRINITY_DN2377_c0_g1_i1	339	591	609	694	437	413	655	876	468
TRINITY_DN99254_c0_g2_i1	1	2	1	5	2	0	0	1	2
TRINITY_DN131763_c0_g1_i1	46	47	31	67	44	44	52	48	40
TRINITY_DN99547_c0_g1_i3	33	45	28	99	25	23	26	33	49
TRINITY_DN129074_c0_g1_i1	305.017	405.018	264.066	574.669	327.946	336.66	274.925	257.161	273.151
TRINITY_DN105698_c0_g1_i1	46	31	69	91	42	58	28	5	63
TRINITY_DN132348_c3_g3_i1	2	14	6	21	0	9	4	1	6
TRINITY_DN130733_c2_g9_i1	0	2.82811	0	0	0	0	0	0	0
TRINITY_DN78987_c0_g4_i1	1.53082	1.05703	1.23348	7.24372	3.17915	4.4526	4.77071	2.50056	5.19993
TRINITY_DN128891_c1_g2_i1	4.63069	3.12927	0	5.35989	1.68361	3.30043	4.38627	7.95714	2.31324
TRINITY_DN133456_c2_g1_i4	343.051	403	344.447	748	386.104	320.085	333.157	264	266.05
TRINITY_DN106189_c0_g2_i1	96.2747	95.2684	96.9294	108.834	59.9161	68.802	79.4196	72.26	62.554
TRINITY_DN13860_c0_g1_i1	24	36	20	32	18	28	25	18	27
TRINITY_DN135460_c2_g3_i2	0	0	0	0	0	0	0	0	0
TRINITY_DN69156_c0_g1_i1	0	0	0	0	0	1	0	0	0
TRINITY_DN130701_c0_g1_i1	3	0	0	9	3	1	4	0	1
TRINITY_DN117582_c0_g1_i1	0	0	1	0	0	1	0	0	0
TRINITY_DN119236_c0_g1_i1	412	898	730	1019	579	679	665	606	390
TRINITY_DN52977_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN126830_c0_g1_i1	5	1	5	5	0	1	0	6	5
TRINITY_DN118783_c0_g1_i1	109.49	146.609	134.326	159.259	96	65.2328	117.5	118	94
TRINITY_DN136717_c2_g1_i1	39.2203	61.2919	84.2766	50.5751	37.3597	48.1588	73.2355	36.204	58.2858
TRINITY_DN114155_c0_g4_i1	0	1	4	12	0	11	0	2	0
TRINITY_DN136158_c2_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN131635_c0_g1_i2	409.566	365.456	402.916	598.485	504.584	580.277	306.254	305.26	534.099
TRINITY_DN125440_c1_g1_i1	205	237	143	248	160	176	220	193	299
TRINITY_DN217652_c0_g1_i1	2	0	2	2	0	0	0	0	7
TRINITY_DN130485_c2_g8_i2	702	609	758	1294	679	665	706	865	856
TRINITY_DN110191_c0_g2_i1	48.8859	68.9825	29.1955	46.595	192.338	83.2251	27.693	23.2535	51.5155
TRINITY_DN125527_c2_g3_i3	637	621	530	1124	571	611	706	604	678
TRINITY_DN124893_c2_g2_i3	159.349	102.702	65.0275	186.213	27.1253	127.923	32.429	112.978	83.1242
TRINITY_DN130800_c2_g2_i2	346.451	435.647	352.048	687.482	376.383	365.014	338.667	333.05	373.507
