GO category	GO	Term	Annotated	Significant	Expected	topGO (Fisher)	classic (Fisher)
CC	GO:0044452	nucleolar part	80	46	20.07	3.6e-07	6.3e-10
CC	GO:0030686	90S preribosome	15	13	3.76	9.5e-07	9.5e-07
CC	GO:0070652	HAUS complex	10	10	2.51	9.8e-07	9.8e-07
CC	GO:0000922	spindle pole	116	54	29.11	1.1e-06	3.9e-07
CC	GO:0071011	precatalytic spliceosome	21	16	5.27	1.3e-06	1.3e-06
CC	GO:0005681	spliceosomal complex	106	61	26.6	1.3e-06	9.6e-13
CC	GO:0005643	nuclear pore	51	34	12.8	3.0e-06	4.4e-10
CC	GO:0071339	MLL1 complex	22	16	5.52	3.6e-06	3.6e-06
CC	GO:1902555	endoribonuclease complex	9	9	2.26	3.9e-06	3.9e-06
CC	GO:0030687	preribosome, large subunit precursor	18	14	4.52	4.0e-06	4.0e-06
CC	GO:0008023	transcription elongation factor complex	23	16	5.77	9.0e-06	9.0e-06
CC	GO:0000776	kinetochore	71	46	17.82	1.1e-05	1.7e-12
CC	GO:0034719	SMN-Sm protein complex	15	12	3.76	1.3e-05	1.3e-05
CC	GO:0005819	spindle	253	119	63.48	2.2e-05	1.7e-14
CC	GO:0005669	transcription factor TFIID complex	22	15	5.52	2.5e-05	2.5e-05
CC	GO:0001650	fibrillar center	60	30	15.06	2.7e-05	2.7e-05
CC	GO:0034709	methylosome	10	9	2.51	3.0e-05	3.0e-05
CC	GO:0005666	DNA-directed RNA polymerase III complex	10	9	2.51	3.0e-05	3.0e-05
CC	GO:0005732	small nucleolar ribonucleoprotein comple...	10	9	2.51	3.0e-05	3.0e-05
CC	GO:0031965	nuclear membrane	179	74	44.92	7.6e-05	1.1e-06
CC	GO:0046540	U4/U6 x U5 tri-snRNP complex	17	12	4.27	0.00010	0.00010
CC	GO:0000176	nuclear exosome (RNase complex)	11	9	2.76	0.00013	0.00013
CC	GO:0042555	MCM complex	6	6	1.51	0.00025	0.00025
CC	GO:0000780	condensed nuclear chromosome, centromeri...	6	6	1.51	0.00025	0.00025
CC	GO:0000775	chromosome, centromeric region	94	62	23.59	0.00031	6.0e-17
CC	GO:0005686	U2 snRNP	14	10	3.51	0.00035	0.00035
CC	GO:0005689	U12-type spliceosomal complex	14	10	3.51	0.00035	0.00035
CC	GO:0032797	SMN complex	10	8	2.51	0.00042	0.00042
CC	GO:0097504	Gemini of coiled bodies	10	8	2.51	0.00042	0.00042
CC	GO:0016592	mediator complex	10	8	2.51	0.00042	0.00042
CC	GO:0031080	nuclear pore outer ring	10	8	2.51	0.00042	0.00042
CC	GO:0030529	intracellular ribonucleoprotein complex	434	232	108.9	0.00044	< 1e-30
CC	GO:0000790	nuclear chromatin	150	67	37.64	0.00075	1.2e-07
CC	GO:0000151	ubiquitin ligase complex	128	56	32.12	0.00075	2.8e-06
CC	GO:0071546	pi-body	5	5	1.25	0.00099	0.00099
CC	GO:0071547	piP-body	5	5	1.25	0.00099	0.00099
CC	GO:0005663	DNA replication factor C complex	5	5	1.25	0.00099	0.00099
CC	GO:0005688	U6 snRNP	5	5	1.25	0.00099	0.00099
CC	GO:0016442	RISC complex	5	5	1.25	0.00099	0.00099
CC	GO:0000784	nuclear chromosome, telomeric region	44	22	11.04	0.00119	0.00032
CC	GO:0005762	mitochondrial large ribosomal subunit	23	13	5.77	0.00127	0.00127
CC	GO:0005657	replication fork	30	24	7.53	0.00133	4.1e-10
CC	GO:0005687	U4 snRNP	7	6	1.76	0.00137	0.00137
CC	GO:0019908	nuclear cyclin-dependent protein kinase ...	7	6	1.76	0.00137	0.00137
CC	GO:0016605	PML body	60	26	15.06	0.00151	0.00151
CC	GO:0042645	mitochondrial nucleoid	21	12	5.27	0.00173	0.00173
CC	GO:0005637	nuclear inner membrane	38	18	9.54	0.00182	0.00239
CC	GO:0005815	microtubule organizing center	307	95	77.03	0.00303	0.01086
CC	GO:0005876	spindle microtubule	27	15	6.77	0.00314	0.00069
CC	GO:0072686	mitotic spindle	53	24	13.3	0.00322	0.00108
CC	GO:0043601	nuclear replisome	10	7	2.51	0.00357	0.00357
CC	GO:0000974	Prp19 complex	10	7	2.51	0.00357	0.00357
CC	GO:0031011	Ino80 complex	10	7	2.51	0.00357	0.00357
CC	GO:0097526	spliceosomal tri-snRNP complex	21	16	5.27	0.00391	1.3e-06
CC	GO:0043186	P granule	13	13	3.26	0.00391	1.5e-08
CC	GO:0044424	intracellular part	7471	2141	1874.65	0.00395	< 1e-30
CC	GO:0005665	DNA-directed RNA polymerase II, core com...	8	6	2.01	0.00430	0.00430
CC	GO:0043596	nuclear replication fork	16	12	4.01	0.00467	3.9e-05
CC	GO:0030688	preribosome, small subunit precursor	6	5	1.51	0.00471	0.00471
CC	GO:0005675	holo TFIIH complex	6	5	1.51	0.00471	0.00471
CC	GO:0033061	DNA recombinase mediator complex	6	5	1.51	0.00471	0.00471
CC	GO:0044615	nuclear pore nuclear basket	6	5	1.51	0.00471	0.00471
CC	GO:0051233	spindle midzone	26	13	6.52	0.00552	0.00533
CC	GO:0000123	histone acetyltransferase complex	43	22	10.79	0.00748	0.00021
CC	GO:0005682	U5 snRNP	16	9	4.01	0.00762	0.00762
CC	GO:0005685	U1 snRNP	16	9	4.01	0.00762	0.00762
CC	GO:0043234	protein complex	1623	490	407.25	0.00786	1.9e-07
CC	GO:0032993	protein-DNA complex	60	26	15.06	0.00823	0.00151
MF	GO:0003723	RNA binding	1176	511	290.9	< 1e-30	< 1e-30
MF	GO:0003677	DNA binding	1485	534	367.33	< 1e-30	1.6e-25
MF	GO:0003899	DNA-directed 5'-3' RNA polymerase activi...	35	31	8.66	2.4e-15	2.4e-15
MF	GO:0003682	chromatin binding	302	127	74.7	5.0e-11	1.7e-11
MF	GO:0008536	Ran GTPase binding	24	21	5.94	1.6e-10	1.6e-10
MF	GO:0003676	nucleic acid binding	2606	1024	644.63	2.6e-09	< 1e-30
MF	GO:0004004	ATP-dependent RNA helicase activity	54	33	13.36	1.5e-08	1.5e-08
MF	GO:0030515	snoRNA binding	24	19	5.94	3.2e-08	3.2e-08
MF	GO:0046872	metal ion binding	3124	797	772.76	3.8e-07	0.12289
MF	GO:0003697	single-stranded DNA binding	61	34	15.09	5.1e-07	2.1e-07
MF	GO:0003887	DNA-directed DNA polymerase activity	25	18	6.18	8.7e-07	8.7e-07
MF	GO:0000049	tRNA binding	41	25	10.14	8.8e-07	8.8e-07
MF	GO:0043021	ribonucleoprotein complex binding	74	39	18.3	2.1e-06	2.1e-07
MF	GO:0018024	histone-lysine N-methyltransferase activ...	39	22	9.65	2.2e-06	2.3e-05
MF	GO:0042393	histone binding	123	64	30.43	7.6e-06	5.8e-11
MF	GO:0140097	catalytic activity, acting on DNA	144	85	35.62	9.0e-06	1.4e-18
MF	GO:0017056	structural constituent of nuclear pore	15	12	3.71	1.1e-05	1.1e-05
MF	GO:0004003	ATP-dependent DNA helicase activity	22	17	5.44	3.5e-05	3.3e-07
MF	GO:0001104	RNA polymerase II transcription cofactor...	66	27	16.33	4.2e-05	0.00272
MF	GO:0008270	zinc ion binding	557	178	137.78	4.7e-05	4.7e-05
MF	GO:0061630	ubiquitin protein ligase activity	146	61	36.12	4.8e-05	4.0e-06
MF	GO:0004842	ubiquitin-protein transferase activity	246	102	60.85	6.6e-05	4.3e-09
MF	GO:0008565	protein transporter activity	74	32	18.3	7.0e-05	0.00036
MF	GO:0004526	ribonuclease P activity	9	8	2.23	9.8e-05	9.8e-05
MF	GO:0140101	catalytic activity, acting on a tRNA	92	44	22.76	0.00011	1.2e-06
MF	GO:0003678	DNA helicase activity	36	28	8.91	0.00011	3.2e-11
MF	GO:0016891	endoribonuclease activity, producing 5'-...	20	17	4.95	0.00011	2.4e-08
MF	GO:0019789	SUMO transferase activity	13	10	3.22	0.00011	0.00011
MF	GO:0008353	RNA polymerase II carboxy-terminal domai...	11	9	2.72	0.00011	0.00011
MF	GO:0035064	methylated histone binding	40	21	9.89	0.00014	0.00014
MF	GO:0005487	nucleocytoplasmic transporter activity	20	13	4.95	0.00016	0.00016
MF	GO:0008168	methyltransferase activity	178	81	44.03	0.00030	1.0e-09
MF	GO:0000175	3'-5'-exoribonuclease activity	17	11	4.21	0.00038	0.00056
MF	GO:0008327	methyl-CpG binding	10	8	2.47	0.00038	0.00038
MF	GO:0004386	helicase activity	146	86	36.12	0.00052	1.1e-18
MF	GO:0003713	transcription coactivator activity	162	58	40.07	0.00052	0.00102
MF	GO:0003729	mRNA binding	121	46	29.93	0.00063	0.00078
MF	GO:0044212	transcription regulatory region DNA bind...	429	116	106.12	0.00063	0.14242
MF	GO:0016740	transferase activity	1885	567	466.28	0.00086	3.8e-09
MF	GO:0000981	RNA polymerase II transcription factor a...	333	79	82.37	0.00098	0.68847
MF	GO:0004652	polynucleotide adenylyltransferase activ...	11	8	2.72	0.00109	0.00109
MF	GO:0070182	DNA polymerase binding	11	8	2.72	0.00109	0.00109
MF	GO:0032451	demethylase activity	28	15	6.93	0.00125	0.00098
MF	GO:0017070	U6 snRNA binding	7	6	1.73	0.00126	0.00126
MF	GO:0003691	double-stranded telomeric DNA binding	7	6	1.73	0.00126	0.00126
MF	GO:0003689	DNA clamp loader activity	7	6	1.73	0.00126	0.00126
MF	GO:0008139	nuclear localization sequence binding	19	11	4.7	0.00207	0.00207
MF	GO:0036459	thiol-dependent ubiquitinyl hydrolase ac...	68	30	16.82	0.00252	0.00036
MF	GO:0070530	K63-linked polyubiquitin modification-de...	17	10	4.21	0.00283	0.00283
MF	GO:0005524	ATP binding	1302	363	322.07	0.00310	0.00310
MF	GO:0070577	lysine-acetylated histone binding	15	9	3.71	0.00386	0.00386
MF	GO:0044877	macromolecular complex binding	618	132	152.87	0.00388	0.98102
MF	GO:0016742	hydroxymethyl-, formyl- and related tran...	8	6	1.98	0.00398	0.00398
MF	GO:0043140	ATP-dependent 3'-5' DNA helicase activit...	8	6	1.98	0.00398	0.00398
MF	GO:0008649	rRNA methyltransferase activity	11	7	2.72	0.00440	0.00708
MF	GO:0003747	translation release factor activity	6	5	1.48	0.00440	0.00440
MF	GO:0008312	7S RNA binding	6	5	1.48	0.00440	0.00440
MF	GO:0003688	DNA replication origin binding	6	5	1.48	0.00440	0.00440
MF	GO:0016929	SUMO-specific protease activity	6	5	1.48	0.00440	0.00440
MF	GO:0043139	5'-3' DNA helicase activity	6	5	1.48	0.00440	0.00440
MF	GO:0003690	double-stranded DNA binding	391	114	96.72	0.00536	0.02402
MF	GO:0016874	ligase activity	115	44	28.45	0.00730	0.00086
MF	GO:0001046	core promoter sequence-specific DNA bind...	61	23	15.09	0.00730	0.01655
MF	GO:0043022	ribosome binding	36	16	8.91	0.00762	0.00762
MF	GO:0016887	ATPase activity	345	110	85.34	0.00809	0.00139
MF	GO:0008173	RNA methyltransferase activity	41	25	10.14	0.00923	8.8e-07
MF	GO:0000400	four-way junction DNA binding	9	6	2.23	0.00943	0.00943
MF	GO:0010485	H4 histone acetyltransferase activity	9	6	2.23	0.00943	0.00943
