"gid"	"Log2RPKM"	"sex"	"bias"
"40"	"TRINITY_DN103622_c0_g3_i3"	1.22937827910064	"meanmale"	"female"
"41"	"TRINITY_DN103637_c0_g1_i1"	-0.360059200308301	"meanmale"	"female"
"42"	"TRINITY_DN103637_c0_g2_i1"	-13.2877123795494	"meanmale"	"female"
"43"	"TRINITY_DN103653_c0_g1_i1"	-0.512454801144777	"meanmale"	"female"
"44"	"TRINITY_DN103741_c0_g1_i2"	-0.306351873186015	"meanmale"	"female"
"45"	"TRINITY_DN103744_c0_g1_i2"	7.14300680083179	"meanmale"	"female"
"46"	"TRINITY_DN103783_c0_g1_i1"	2.5089938576703	"meanmale"	"female"
"47"	"TRINITY_DN103798_c0_g1_i1"	-6.16175923283715	"meanmale"	"female"
"48"	"TRINITY_DN103812_c0_g1_i2"	3.45634268237311	"meanmale"	"female"
"49"	"TRINITY_DN103834_c0_g12_i1"	-0.045692385113389	"meanmale"	"female"
"50"	"TRINITY_DN103834_c0_g3_i1"	1.05958525745738	"meanmale"	"female"
"51"	"TRINITY_DN103834_c0_g4_i1"	0.257617359768073	"meanmale"	"female"
"52"	"TRINITY_DN103834_c0_g9_i1"	3.42472640098451	"meanmale"	"female"
"53"	"TRINITY_DN103838_c0_g1_i1"	0.459601024806615	"meanmale"	"female"
"54"	"TRINITY_DN103860_c0_g1_i1"	1.1013344817301	"meanmale"	"female"
"55"	"TRINITY_DN103897_c0_g2_i1"	-4.32039232696596	"meanmale"	"female"
"56"	"TRINITY_DN103912_c0_g1_i1"	3.02744832820962	"meanmale"	"female"
"57"	"TRINITY_DN103989_c0_g1_i1"	3.98581559499153	"meanmale"	"female"
"58"	"TRINITY_DN104090_c1_g2_i1"	2.96511116087865	"meanmale"	"female"
"59"	"TRINITY_DN104207_c0_g1_i1"	-2.63651065170133	"meanmale"	"female"
"60"	"TRINITY_DN104240_c0_g1_i1"	4.01611835572286	"meanmale"	"female"
"61"	"TRINITY_DN104337_c0_g1_i1"	3.05924915924752	"meanmale"	"female"
"62"	"TRINITY_DN104365_c0_g3_i1"	2.0460315209475	"meanmale"	"female"
"63"	"TRINITY_DN104383_c0_g4_i1"	-2.06891572776753	"meanmale"	"female"
"64"	"TRINITY_DN104463_c0_g1_i1"	-1.3000341874957	"meanmale"	"female"
"65"	"TRINITY_DN104496_c0_g2_i1"	-1.75614601084704	"meanmale"	"female"
"66"	"TRINITY_DN104550_c0_g2_i1"	2.09752241705041	"meanmale"	"female"
"67"	"TRINITY_DN104654_c0_g1_i1"	-0.692692775099768	"meanmale"	"female"
"68"	"TRINITY_DN104751_c0_g1_i2"	2.95684170716893	"meanmale"	"female"
"69"	"TRINITY_DN104812_c0_g1_i2"	1.97321629891818	"meanmale"	"female"
"70"	"TRINITY_DN104835_c0_g1_i2"	4.8520646990337	"meanmale"	"female"
"71"	"TRINITY_DN104838_c0_g1_i1"	-2.20496829376798	"meanmale"	"female"
"72"	"TRINITY_DN104942_c0_g1_i2"	3.42372428367135	"meanmale"	"female"
"73"	"TRINITY_DN105140_c0_g1_i1"	2.69553969108057	"meanmale"	"female"
"74"	"TRINITY_DN105215_c0_g1_i1"	2.76606572292978	"meanmale"	"female"
"75"	"TRINITY_DN105386_c0_g2_i1"	1.16958572987456	"meanmale"	"female"
"76"	"TRINITY_DN105440_c0_g1_i1"	-0.541265753159518	"meanmale"	"female"
"77"	"TRINITY_DN105453_c0_g1_i1"	5.18213424159071	"meanmale"	"female"
"78"	"TRINITY_DN105455_c0_g3_i1"	-0.766088916592144	"meanmale"	"female"
"79"	"TRINITY_DN105472_c0_g3_i2"	2.77528100328522	"meanmale"	"female"
"80"	"TRINITY_DN105525_c0_g1_i1"	-3.62298646161462	"meanmale"	"female"
"81"	"TRINITY_DN105560_c0_g1_i2"	3.49720657809031	"meanmale"	"female"
"82"	"TRINITY_DN105578_c0_g1_i1"	-3.09577036758124	"meanmale"	"female"
"83"	"TRINITY_DN105601_c0_g1_i1"	1.30115790295536	"meanmale"	"female"
"84"	"TRINITY_DN105624_c0_g1_i1"	-6.9117899878023	"meanmale"	"female"
"85"	"TRINITY_DN105647_c0_g2_i1"	-3.93410614133686	"meanmale"	"female"
"86"	"TRINITY_DN105682_c0_g3_i1"	1.92831440039053	"meanmale"	"female"
"87"	"TRINITY_DN105941_c0_g1_i1"	2.37000427660175	"meanmale"	"female"
"88"	"TRINITY_DN106065_c0_g1_i2"	2.43161769611752	"meanmale"	"female"
"89"	"TRINITY_DN106219_c0_g3_i1"	4.4560139440873	"meanmale"	"female"
"90"	"TRINITY_DN106464_c0_g2_i1"	-1.96078994161657	"meanmale"	"female"
"91"	"TRINITY_DN106700_c0_g2_i1"	2.76939632005558	"meanmale"	"female"
"92"	"TRINITY_DN106700_c0_g5_i1"	0.98738260104039	"meanmale"	"female"
"93"	"TRINITY_DN106815_c0_g2_i2"	5.41645710164258	"meanmale"	"female"
"94"	"TRINITY_DN106850_c0_g1_i1"	3.3969091887584	"meanmale"	"female"
"95"	"TRINITY_DN106873_c0_g1_i2"	0.120246781273975	"meanmale"	"female"
"96"	"TRINITY_DN106942_c0_g1_i1"	0.57688557067035	"meanmale"	"female"
"97"	"TRINITY_DN106948_c0_g1_i1"	3.33641641511682	"meanmale"	"female"
"98"	"TRINITY_DN107012_c1_g2_i1"	1.6720169120762	"meanmale"	"female"
"99"	"TRINITY_DN107308_c0_g1_i1"	1.33858919295308	"meanmale"	"female"
"100"	"TRINITY_DN107311_c0_g1_i1"	1.1625607151329	"meanmale"	"female"
"101"	"TRINITY_DN107450_c0_g3_i2"	-0.085521190699916	"meanmale"	"female"
"102"	"TRINITY_DN107487_c0_g1_i1"	3.45216270304704	"meanmale"	"female"
"103"	"TRINITY_DN107530_c1_g1_i1"	5.31153463048334	"meanmale"	"female"
"104"	"TRINITY_DN107602_c0_g3_i1"	2.57705127107723	"meanmale"	"female"
"105"	"TRINITY_DN107645_c0_g1_i1"	3.66765064297231	"meanmale"	"female"
"106"	"TRINITY_DN107694_c0_g1_i2"	1.05799557103795	"meanmale"	"female"
"107"	"TRINITY_DN107696_c0_g1_i4"	2.06984989830088	"meanmale"	"female"
"108"	"TRINITY_DN107702_c1_g1_i2"	3.32316194123022	"meanmale"	"female"
"109"	"TRINITY_DN107704_c0_g1_i1"	2.0505219983536	"meanmale"	"female"
"110"	"TRINITY_DN107727_c0_g1_i1"	3.65353108142393	"meanmale"	"female"
"111"	"TRINITY_DN107740_c0_g1_i1"	0.939096619222588	"meanmale"	"female"
"112"	"TRINITY_DN107751_c0_g1_i1"	2.22150281022278	"meanmale"	"female"
"113"	"TRINITY_DN107774_c0_g1_i2"	6.02768203717213	"meanmale"	"female"
"114"	"TRINITY_DN107898_c0_g1_i1"	3.32939995473322	"meanmale"	"female"
"115"	"TRINITY_DN107936_c0_g1_i2"	4.86592943171297	"meanmale"	"female"
"116"	"TRINITY_DN107978_c0_g1_i1"	-1.74847818119243	"meanmale"	"female"
"117"	"TRINITY_DN108208_c0_g1_i3"	-0.427584325300208	"meanmale"	"female"
"118"	"TRINITY_DN108227_c0_g1_i1"	3.30029076135972	"meanmale"	"female"
"119"	"TRINITY_DN108316_c0_g1_i1"	3.15924480922972	"meanmale"	"female"
"120"	"TRINITY_DN108427_c0_g3_i5"	3.43787793280504	"meanmale"	"female"
"121"	"TRINITY_DN108436_c0_g1_i2"	3.07186199398173	"meanmale"	"female"
"122"	"TRINITY_DN108450_c0_g1_i2"	2.56217443163305	"meanmale"	"female"
"123"	"TRINITY_DN108450_c0_g4_i1"	3.41719859918886	"meanmale"	"female"
"124"	"TRINITY_DN108455_c0_g1_i3"	4.75572547383408	"meanmale"	"female"
"125"	"TRINITY_DN108480_c0_g1_i1"	5.03371081581682	"meanmale"	"female"
"126"	"TRINITY_DN108566_c0_g3_i1"	3.68355831662281	"meanmale"	"female"
"127"	"TRINITY_DN108613_c0_g1_i1"	-0.690681521756621	"meanmale"	"female"
"128"	"TRINITY_DN108653_c0_g1_i2"	1.98506475174525	"meanmale"	"female"
"129"	"TRINITY_DN108668_c0_g1_i1"	-2.52941502453057	"meanmale"	"female"
"130"	"TRINITY_DN108700_c0_g1_i1"	1.5702520232266	"meanmale"	"female"
"131"	"TRINITY_DN108703_c0_g8_i1"	0.364645828402791	"meanmale"	"female"
"132"	"TRINITY_DN108709_c0_g1_i2"	-0.0876272209783438	"meanmale"	"female"
"133"	"TRINITY_DN108732_c0_g1_i1"	3.85492015001026	"meanmale"	"female"
"134"	"TRINITY_DN108746_c0_g3_i1"	-13.2877123795494	"meanmale"	"female"
"135"	"TRINITY_DN108791_c0_g1_i1"	0.841135190422149	"meanmale"	"female"
"136"	"TRINITY_DN108791_c0_g2_i1"	0.377607088094182	"meanmale"	"female"
"137"	"TRINITY_DN108927_c0_g4_i1"	3.19464976372806	"meanmale"	"female"
"138"	"TRINITY_DN108930_c0_g1_i3"	-0.0398022310502479	"meanmale"	"female"
"139"	"TRINITY_DN108932_c0_g1_i1"	3.19129529550708	"meanmale"	"female"
"140"	"TRINITY_DN109050_c0_g1_i1"	-3.91194738699844	"meanmale"	"female"
"141"	"TRINITY_DN109077_c0_g1_i1"	-1.56339364735908	"meanmale"	"female"
"142"	"TRINITY_DN109099_c0_g2_i2"	-5.91750784061238	"meanmale"	"female"
"143"	"TRINITY_DN109101_c0_g2_i1"	2.16756095575695	"meanmale"	"female"
"144"	"TRINITY_DN109193_c0_g1_i1"	0.835210933763326	"meanmale"	"female"
"145"	"TRINITY_DN109252_c0_g1_i2"	0.716254111046795	"meanmale"	"female"
"146"	"TRINITY_DN109253_c0_g1_i1"	-5.13896057181744	"meanmale"	"female"
"147"	"TRINITY_DN109275_c0_g1_i1"	2.61563553783927	"meanmale"	"female"
"148"	"TRINITY_DN109288_c0_g1_i1"	-2.74908823708014	"meanmale"	"female"
"149"	"TRINITY_DN109308_c0_g1_i1"	0.340430219785708	"meanmale"	"female"
"150"	"TRINITY_DN109332_c0_g1_i1"	2.87787071648365	"meanmale"	"female"
"151"	"TRINITY_DN109362_c0_g2_i1"	4.47577657003709	"meanmale"	"female"
"152"	"TRINITY_DN109430_c0_g5_i1"	1.44355176684698	"meanmale"	"female"
"153"	"TRINITY_DN109440_c0_g1_i1"	0.803876678890745	"meanmale"	"female"
"154"	"TRINITY_DN109454_c0_g1_i2"	4.48099826069104	"meanmale"	"female"
"155"	"TRINITY_DN109491_c0_g2_i1"	4.55418227260207	"meanmale"	"female"
"156"	"TRINITY_DN109541_c0_g2_i1"	1.84743373134134	"meanmale"	"female"
"157"	"TRINITY_DN109555_c0_g1_i2"	-1.40202893994265	"meanmale"	"female"
"158"	"TRINITY_DN109560_c0_g1_i1"	1.92400004198673	"meanmale"	"female"
"159"	"TRINITY_DN109596_c0_g1_i1"	-1.92998882134753	"meanmale"	"female"
"160"	"TRINITY_DN109625_c0_g1_i3"	3.84678992269515	"meanmale"	"female"
"161"	"TRINITY_DN109646_c1_g1_i3"	1.44535181645288	"meanmale"	"female"
"162"	"TRINITY_DN109666_c0_g1_i1"	-2.99783056826645	"meanmale"	"female"
"163"	"TRINITY_DN109667_c0_g1_i2"	4.20778638181506	"meanmale"	"female"
"164"	"TRINITY_DN109669_c1_g2_i1"	2.08520177177416	"meanmale"	"female"
"165"	"TRINITY_DN109678_c0_g1_i4"	2.90257862395015	"meanmale"	"female"
"166"	"TRINITY_DN109704_c0_g1_i1"	-2.87274325492828	"meanmale"	"female"
"167"	"TRINITY_DN109790_c0_g1_i1"	4.33066896225944	"meanmale"	"female"
"168"	"TRINITY_DN109791_c0_g1_i2"	0.50057747406279	"meanmale"	"female"
"169"	"TRINITY_DN109791_c0_g2_i1"	-2.64348536863038	"meanmale"	"female"
"170"	"TRINITY_DN109823_c0_g1_i2"	-1.73916348217418	"meanmale"	"female"
"171"	"TRINITY_DN109844_c0_g2_i1"	2.42018932276054	"meanmale"	"female"
"172"	"TRINITY_DN109880_c0_g1_i1"	2.88459997807442	"meanmale"	"female"
"173"	"TRINITY_DN109883_c0_g1_i1"	-2.99517946990411	"meanmale"	"female"
"174"	"TRINITY_DN109913_c0_g1_i1"	-6.86305673541663	"meanmale"	"female"
"175"	"TRINITY_DN109913_c0_g2_i1"	-13.2877123795494	"meanmale"	"female"
"176"	"TRINITY_DN109929_c0_g1_i1"	-4.49505432480018	"meanmale"	"female"
"177"	"TRINITY_DN109936_c0_g2_i1"	3.62396157597959	"meanmale"	"female"
"178"	"TRINITY_DN109944_c0_g1_i1"	1.69666199810891	"meanmale"	"female"
"179"	"TRINITY_DN109983_c0_g1_i2"	2.93614785143022	"meanmale"	"female"
"180"	"TRINITY_DN110022_c0_g1_i1"	2.65803766506754	"meanmale"	"female"
"181"	"TRINITY_DN110037_c0_g1_i1"	-2.31102323991364	"meanmale"	"female"
"182"	"TRINITY_DN110068_c0_g2_i4"	0.750327873296477	"meanmale"	"female"
"183"	"TRINITY_DN110103_c0_g1_i1"	-3.64738889270927	"meanmale"	"female"
"184"	"TRINITY_DN110132_c0_g2_i1"	5.28659264251066	"meanmale"	"female"
"185"	"TRINITY_DN110153_c0_g1_i1"	2.91170827134495	"meanmale"	"female"
"186"	"TRINITY_DN110156_c0_g1_i1"	4.36279815534873	"meanmale"	"female"
"187"	"TRINITY_DN110201_c0_g1_i1"	2.27977556414436	"meanmale"	"female"
"188"	"TRINITY_DN110230_c0_g1_i1"	1.36728624405676	"meanmale"	"female"
"189"	"TRINITY_DN110252_c0_g2_i2"	3.82927081822962	"meanmale"	"female"
"190"	"TRINITY_DN110258_c0_g1_i1"	3.80662152645629	"meanmale"	"female"
"191"	"TRINITY_DN110265_c0_g1_i1"	3.31832960420013	"meanmale"	"female"
"192"	"TRINITY_DN110298_c0_g2_i1"	4.70877312184589	"meanmale"	"female"
"193"	"TRINITY_DN110298_c0_g3_i1"	4.1599501621368	"meanmale"	"female"
"194"	"TRINITY_DN110314_c0_g1_i3"	1.51853116036116	"meanmale"	"female"
"195"	"TRINITY_DN110346_c0_g1_i2"	3.77079413802708	"meanmale"	"female"
"196"	"TRINITY_DN110356_c0_g1_i1"	5.08706743983294	"meanmale"	"female"
"197"	"TRINITY_DN110384_c0_g1_i1"	0.654939214402638	"meanmale"	"female"
"198"	"TRINITY_DN110412_c0_g1_i1"	1.69221148149701	"meanmale"	"female"
"199"	"TRINITY_DN110513_c0_g1_i1"	-1.3658401621118	"meanmale"	"female"
"200"	"TRINITY_DN110523_c0_g1_i2"	1.37858037287787	"meanmale"	"female"
"201"	"TRINITY_DN110567_c1_g1_i1"	2.36127964753775	"meanmale"	"female"
"202"	"TRINITY_DN110622_c0_g1_i1"	3.16913423442298	"meanmale"	"female"
"203"	"TRINITY_DN110622_c0_g2_i1"	3.17079049345635	"meanmale"	"female"
"204"	"TRINITY_DN110622_c0_g3_i4"	2.74452003141153	"meanmale"	"female"
"205"	"TRINITY_DN110633_c0_g1_i4"	3.53302738131632	"meanmale"	"female"
"206"	"TRINITY_DN110644_c0_g1_i1"	-4.12894601870117	"meanmale"	"female"
"207"	"TRINITY_DN110644_c0_g2_i1"	-2.92054184048737	"meanmale"	"female"
"208"	"TRINITY_DN110644_c0_g3_i1"	-3.41699714512335	"meanmale"	"female"
"209"	"TRINITY_DN110673_c0_g1_i1"	2.71569116775542	"meanmale"	"female"
"210"	"TRINITY_DN110679_c0_g1_i1"	-6.22957197393131	"meanmale"	"female"
"211"	"TRINITY_DN110734_c0_g1_i1"	-4.57716487373608	"meanmale"	"female"
"212"	"TRINITY_DN110778_c0_g1_i1"	2.36695799983657	"meanmale"	"female"
"213"	"TRINITY_DN110780_c0_g1_i2"	-0.539714043387177	"meanmale"	"female"
"214"	"TRINITY_DN110795_c0_g1_i1"	-2.67742853735083	"meanmale"	"female"
"215"	"TRINITY_DN110801_c0_g2_i1"	1.37949111772514	"meanmale"	"female"
"216"	"TRINITY_DN110842_c0_g1_i2"	2.64597595526923	"meanmale"	"female"
"217"	"TRINITY_DN110844_c0_g1_i1"	3.27940742721582	"meanmale"	"female"
"218"	"TRINITY_DN110864_c0_g1_i2"	-1.85885792244427	"meanmale"	"female"
"219"	"TRINITY_DN110877_c0_g1_i3"	2.2578875944996	"meanmale"	"female"
"220"	"TRINITY_DN110879_c0_g1_i2"	1.57265592545392	"meanmale"	"female"
"221"	"TRINITY_DN110880_c0_g1_i1"	5.15498584325884	"meanmale"	"female"
"222"	"TRINITY_DN110885_c0_g1_i1"	1.69123040975669	"meanmale"	"female"
"223"	"TRINITY_DN110915_c0_g1_i1"	-13.2877123795494	"meanmale"	"female"
"224"	"TRINITY_DN110915_c0_g2_i1"	-3.38771140308223	"meanmale"	"female"
"225"	"TRINITY_DN110920_c0_g1_i2"	3.03925675305328	"meanmale"	"female"
"226"	"TRINITY_DN110967_c0_g1_i1"	0.67111673351868	"meanmale"	"female"
"227"	"TRINITY_DN110982_c0_g1_i1"	4.08955352003485	"meanmale"	"female"
"228"	"TRINITY_DN110993_c0_g1_i2"	2.53542025211898	"meanmale"	"female"
"229"	"TRINITY_DN110996_c0_g1_i1"	1.61163425626672	"meanmale"	"female"
"230"	"TRINITY_DN110999_c0_g1_i1"	1.51803556579199	"meanmale"	"female"
"231"	"TRINITY_DN111014_c0_g1_i2"	3.02008797932661	"meanmale"	"female"
"232"	"TRINITY_DN111028_c0_g1_i1"	-6.30685816401607	"meanmale"	"female"
"233"	"TRINITY_DN111065_c0_g1_i5"	1.38268090466064	"meanmale"	"female"
"234"	"TRINITY_DN111065_c0_g2_i1"	-0.259486024633504	"meanmale"	"female"
"235"	"TRINITY_DN111065_c0_g3_i1"	-0.262192709013923	"meanmale"	"female"
"236"	"TRINITY_DN111151_c0_g1_i1"	1.24384491597117	"meanmale"	"female"
"237"	"TRINITY_DN111155_c0_g2_i2"	5.10287798088803	"meanmale"	"female"
"238"	"TRINITY_DN111223_c0_g1_i1"	4.03932104561395	"meanmale"	"female"
"239"	"TRINITY_DN111232_c0_g2_i1"	-2.12945530906525	"meanmale"	"female"
"240"	"TRINITY_DN111232_c1_g1_i1"	-2.29130200451429	"meanmale"	"female"
"241"	"TRINITY_DN111236_c0_g1_i1"	0.415787467864266	"meanmale"	"female"
"242"	"TRINITY_DN111318_c0_g1_i3"	0.110123409065506	"meanmale"	"female"
"243"	"TRINITY_DN111323_c0_g3_i1"	1.98558426314513	"meanmale"	"female"
"244"	"TRINITY_DN111329_c0_g1_i2"	-1.95642033189841	"meanmale"	"female"
"245"	"TRINITY_DN111332_c0_g2_i5"	2.44679739235272	"meanmale"	"female"
"246"	"TRINITY_DN111377_c0_g1_i1"	-1.8999859055167	"meanmale"	"female"
"247"	"TRINITY_DN111511_c0_g1_i1"	0.0138019366512174	"meanmale"	"female"
"248"	"TRINITY_DN111515_c0_g1_i2"	2.89020314539562	"meanmale"	"female"
"249"	"TRINITY_DN111552_c0_g1_i1"	4.3472908935748	"meanmale"	"female"
"250"	"TRINITY_DN111588_c1_g2_i1"	-2.47178703273805	"meanmale"	"female"
"251"	"TRINITY_DN111590_c0_g1_i1"	3.84392324020687	"meanmale"	"female"
"252"	"TRINITY_DN111594_c0_g1_i2"	-0.01709273722669	"meanmale"	"female"
"253"	"TRINITY_DN111615_c0_g1_i2"	1.6643568155245	"meanmale"	"female"
"254"	"TRINITY_DN111713_c0_g2_i1"	1.92660772718367	"meanmale"	"female"
"255"	"TRINITY_DN111713_c0_g3_i1"	1.46245767468628	"meanmale"	"female"
"256"	"TRINITY_DN111724_c0_g1_i1"	-0.0771730778244831	"meanmale"	"female"
"257"	"TRINITY_DN111752_c0_g1_i1"	4.79852184761885	"meanmale"	"female"
"258"	"TRINITY_DN111797_c0_g1_i1"	3.94970536950888	"meanmale"	"female"
"259"	"TRINITY_DN111859_c0_g1_i1"	1.16457334157648	"meanmale"	"female"
"260"	"TRINITY_DN111860_c0_g1_i1"	2.34901574577946	"meanmale"	"female"
"261"	"TRINITY_DN111861_c0_g1_i1"	0.73838236837406	"meanmale"	"female"
"262"	"TRINITY_DN111882_c0_g2_i2"	4.4907945598848	"meanmale"	"female"
"263"	"TRINITY_DN111968_c1_g1_i1"	2.7199740462109	"meanmale"	"female"
"264"	"TRINITY_DN112022_c0_g2_i2"	4.21097969924412	"meanmale"	"female"
"265"	"TRINITY_DN112046_c0_g1_i2"	1.99103828689161	"meanmale"	"female"
"266"	"TRINITY_DN112081_c0_g3_i7"	2.70730454502694	"meanmale"	"female"
"267"	"TRINITY_DN112096_c1_g2_i2"	4.36834408339455	"meanmale"	"female"
"268"	"TRINITY_DN112103_c0_g1_i1"	5.29937550394101	"meanmale"	"female"
"269"	"TRINITY_DN112117_c1_g1_i4"	-0.292144241171371	"meanmale"	"female"
"270"	"TRINITY_DN112124_c0_g2_i1"	-5.27885461720154	"meanmale"	"female"
"271"	"TRINITY_DN112166_c0_g2_i1"	2.57587682007184	"meanmale"	"female"
"272"	"TRINITY_DN112193_c0_g1_i1"	0.991381474524085	"meanmale"	"female"
"273"	"TRINITY_DN112226_c0_g2_i2"	0.19431962927009	"meanmale"	"female"
"274"	"TRINITY_DN112243_c0_g1_i1"	-1.58734214335559	"meanmale"	"female"
"275"	"TRINITY_DN112243_c1_g1_i1"	0.0862932511282404	"meanmale"	"female"
"276"	"TRINITY_DN112246_c1_g5_i1"	2.21322401415861	"meanmale"	"female"
"277"	"TRINITY_DN112272_c0_g1_i1"	-4.51141886372216	"meanmale"	"female"
"278"	"TRINITY_DN112287_c0_g1_i1"	-0.733119423934641	"meanmale"	"female"
"279"	"TRINITY_DN112341_c0_g1_i1"	2.65485506991194	"meanmale"	"female"
"280"	"TRINITY_DN112343_c0_g1_i1"	-1.58443933731194	"meanmale"	"female"
"281"	"TRINITY_DN112397_c0_g1_i1"	-1.00629921293104	"meanmale"	"female"
"282"	"TRINITY_DN112430_c0_g2_i1"	3.3567164979934	"meanmale"	"female"
"283"	"TRINITY_DN112453_c0_g3_i1"	1.40416393334148	"meanmale"	"female"
"284"	"TRINITY_DN112465_c0_g1_i1"	2.55454162816048	"meanmale"	"female"
"285"	"TRINITY_DN112473_c1_g1_i1"	-2.30522517227403	"meanmale"	"female"
"286"	"TRINITY_DN112473_c1_g2_i2"	1.71095978326517	"meanmale"	"female"
"287"	"TRINITY_DN112501_c0_g1_i7"	0.85229081516871	"meanmale"	"female"
"288"	"TRINITY_DN112525_c0_g1_i1"	2.2290140007941	"meanmale"	"female"
"289"	"TRINITY_DN112529_c0_g1_i1"	1.97738572202003	"meanmale"	"female"
"290"	"TRINITY_DN112551_c0_g1_i2"	-0.0582079923042524	"meanmale"	"female"
"291"	"TRINITY_DN112598_c0_g2_i1"	2.54208053650095	"meanmale"	"female"
"292"	"TRINITY_DN112693_c0_g2_i1"	-1.17114244844605	"meanmale"	"female"
"293"	"TRINITY_DN112749_c0_g3_i7"	2.86930978121573	"meanmale"	"female"
"294"	"TRINITY_DN112755_c0_g2_i1"	-2.03358812689332	"meanmale"	"female"
"295"	"TRINITY_DN112756_c0_g1_i1"	-0.283049920874514	"meanmale"	"female"
"296"	"TRINITY_DN112768_c1_g1_i2"	1.55691009473477	"meanmale"	"female"
"297"	"TRINITY_DN112790_c0_g1_i1"	1.33442084742962	"meanmale"	"female"
"298"	"TRINITY_DN1127_c0_g2_i1"	0.48507081954421	"meanmale"	"female"
"299"	"TRINITY_DN112800_c0_g1_i2"	1.91290959253183	"meanmale"	"female"
"300"	"TRINITY_DN112822_c0_g1_i1"	-0.710322840625343	"meanmale"	"female"
"301"	"TRINITY_DN112841_c0_g1_i1"	-1.40759826887599	"meanmale"	"female"
"302"	"TRINITY_DN112849_c0_g1_i1"	-0.427164190613261	"meanmale"	"female"
"303"	"TRINITY_DN112907_c0_g2_i1"	2.94946629694976	"meanmale"	"female"
"304"	"TRINITY_DN112933_c0_g2_i1"	0.717385131246952	"meanmale"	"female"
"305"	"TRINITY_DN112935_c0_g1_i1"	3.96695353031702	"meanmale"	"female"
"306"	"TRINITY_DN112943_c0_g1_i2"	3.60694737314718	"meanmale"	"female"
"307"	"TRINITY_DN112953_c0_g1_i2"	1.90184911401378	"meanmale"	"female"
