log2PRKM	Sex	Bias
1.1403729566	"meanmale"	"male"
2.8953908898	"meanmale"	"male"
0.3161633758	"meanmale"	"male"
1.0068996768	"meanmale"	"male"
0.808729167	"meanmale"	"male"
2.0399240616	"meanmale"	"male"
0.4258347638	"meanmale"	"male"
2.444744163	"meanmale"	"male"
0.761233922	"meanmale"	"male"
0.1755173958	"meanmale"	"male"
0.6318139146	"meanmale"	"male"
0.935995571	"meanmale"	"male"
0.556484384	"meanmale"	"male"
0.771542688	"meanmale"	"male"
NA	"meanmale"	"male"
0.9657920712	"meanmale"	"male"
0.5417056014	"meanmale"	"male"
1.1682769694	"meanmale"	"male"
1.5069611144	"meanmale"	"male"
1.556395992	"meanmale"	"male"
0.580891506	"meanmale"	"male"
0.4821918058	"meanmale"	"male"
-0.1873750012	"meanmale"	"male"
0.534737606	"meanmale"	"male"
0.0656755572	"meanmale"	"male"
0.6580005228	"meanmale"	"male"
0.9413678448	"meanmale"	"male"
-0.3994968836	"meanmale"	"male"
0.5619446346	"meanmale"	"male"
1.501442485	"meanmale"	"male"
0.5805191494	"meanmale"	"male"
0.2679505066	"meanmale"	"male"
0.8137027002	"meanmale"	"male"
0.1434717678	"meanmale"	"male"
0.2561971428	"meanmale"	"male"
0.1541255188	"meanmale"	"male"
1.1769260306	"meanmale"	"male"
1.1704875998	"meanmale"	"male"
1.1403406248	"meanmale"	"male"
0.6728127388	"meanmale"	"male"
1.3703244638	"meanmale"	"male"
1.397619282	"meanmale"	"male"
NA	"meanmale"	"male"
0.9586501908	"meanmale"	"male"
0.9719323844	"meanmale"	"male"
0.8033024198	"meanmale"	"male"
0.8788055164	"meanmale"	"male"
0.597908451	"meanmale"	"male"
1.307402375	"meanmale"	"male"
0.508608129	"meanmale"	"male"
1.1455943558	"meanmale"	"male"
0.1522283998	"meanmale"	"male"
1.596961146	"meanmale"	"male"
0.608016117	"meanmale"	"male"
0.8873356274	"meanmale"	"male"
0.6883561248	"meanmale"	"male"
1.7441913486	"meanmale"	"male"
1.91418983	"meanmale"	"male"
1.6217364764	"meanmale"	"male"
0.390464837	"meanmale"	"male"
1.4810627526	"meanmale"	"male"
1.3896760778	"meanmale"	"male"
0.5875270704	"meanmale"	"male"
0.7466908822	"meanmale"	"male"
0.7445716498	"meanmale"	"male"
0.4410217236	"meanmale"	"male"
1.1802156998	"meanmale"	"male"
1.295490487	"meanmale"	"male"
0.375096209	"meanmale"	"male"
0.9116862908	"meanmale"	"male"
2.2279960982	"meanmale"	"male"
1.8504831412	"meanmale"	"male"
1.8845200882	"meanmale"	"male"
1.10556644	"meanmale"	"male"
2.1441155546	"meanmale"	"male"
0.387966102	"meanmale"	"male"
0.242881068	"meanmale"	"male"
2.0557281756	"meanmale"	"male"
1.5110135522	"meanmale"	"male"
0.407894344	"meanmale"	"male"
1.239260311	"meanmale"	"male"
NA	"meanmale"	"male"
1.6750082138	"meanmale"	"male"
-0.0537687812	"meanmale"	"male"
NA	"meanmale"	"male"
0.1282446842	"meanmale"	"male"
0.8132266458	"meanmale"	"male"
-0.226150463	"meanmale"	"male"
1.6999197852	"meanmale"	"male"
2.1355298686	"meanmale"	"male"
0.5469819566	"meanmale"	"male"
0.5254715722	"meanmale"	"male"
0.804640876	"meanmale"	"male"
0.6973633346	"meanmale"	"male"
0.901695145	"meanmale"	"male"
-0.146842392	"meanmale"	"male"
0.182451532	"meanmale"	"male"
0.7451487078	"meanmale"	"male"
0.6940361264	"meanmale"	"male"
0.9073549036	"meanmale"	"male"
0.6393652224	"meanmale"	"male"
0.76010232	"meanmale"	"male"
NA	"meanmale"	"male"
2.935949543	"meanmale"	"male"
1.9422907394	"meanmale"	"male"
1.366990888	"meanmale"	"male"
0.3608293046	"meanmale"	"male"
1.825121557	"meanmale"	"male"
0.7832003944	"meanmale"	"male"
0.9395353076	"meanmale"	"male"
0.9945903518	"meanmale"	"male"
0.5190407926	"meanmale"	"male"
0.5547626542	"meanmale"	"male"
1.2064215804	"meanmale"	"male"
0.00143454599999999	"meanmale"	"male"
1.0069069668	"meanmale"	"male"
0.2513579434	"meanmale"	"male"
0.855702401	"meanmale"	"male"
1.8474329682	"meanmale"	"male"
1.2012906194	"meanmale"	"male"
0.75385311	"meanmale"	"male"
1.0320906632	"meanmale"	"male"
0.6602397392	"meanmale"	"male"
0.6281979576	"meanmale"	"male"
1.3317489268	"meanmale"	"male"
1.9129208072	"meanmale"	"male"
1.1596182588	"meanmale"	"male"
0.283011956	"meanmale"	"male"
1.9283001286	"meanmale"	"male"
1.5241699006	"meanmale"	"male"
0.593742362	"meanmale"	"male"
-0.107538683	"meanmale"	"male"
0.2553452266	"meanmale"	"male"
NA	"meanmale"	"male"
1.481838214	"meanmale"	"male"
1.1740960442	"meanmale"	"male"
0.8324686182	"meanmale"	"male"
1.995492101	"meanmale"	"male"
0.4702757604	"meanmale"	"male"
0.707719923	"meanmale"	"male"
0.1652173348	"meanmale"	"male"
0.1273605514	"meanmale"	"male"
0.2593706462	"meanmale"	"male"
0.1837452646	"meanmale"	"male"
1.0738397852	"meanmale"	"male"
0.0824422496	"meanmale"	"male"
0.2805498032	"meanmale"	"male"
0.0572604494	"meanmale"	"male"
0.9336076904	"meanmale"	"male"
0.2491086514	"meanmale"	"male"
1.7969667268	"meanmale"	"male"
1.3111219692	"meanmale"	"male"
0.8428237454	"meanmale"	"male"
1.0204948662	"meanmale"	"male"
1.552529618	"meanmale"	"male"
0.3178620574	"meanmale"	"male"
1.9142997628	"meanmale"	"male"
1.3318515438	"meanmale"	"male"
0.933212773	"meanmale"	"male"
0.7770176852	"meanmale"	"male"
0.6015282632	"meanmale"	"male"
1.190920258	"meanmale"	"male"
1.1230582672	"meanmale"	"male"
2.9200046272	"meanmale"	"male"
1.299906748	"meanmale"	"male"
0.5963019028	"meanmale"	"male"
0.9382335228	"meanmale"	"male"
0.698949919	"meanmale"	"male"
-0.0911108008	"meanmale"	"male"
-0.0644645346	"meanmale"	"male"
0.8465354432	"meanmale"	"male"
0.6067302066	"meanmale"	"male"
0.239887956	"meanmale"	"male"
1.507555374	"meanmale"	"male"
1.353992874	"meanmale"	"male"
0.6732072944	"meanmale"	"male"
1.112786617	"meanmale"	"male"
-0.1198829004	"meanmale"	"male"
0.6049339574	"meanmale"	"male"
0.2879364492	"meanmale"	"male"
0.8001339088	"meanmale"	"male"
0.2063177838	"meanmale"	"male"
2.2360721522	"meanmale"	"male"
1.4371914232	"meanmale"	"male"
0.9482779196	"meanmale"	"male"
1.6002685096	"meanmale"	"male"
1.7119259286	"meanmale"	"male"
1.3068470044	"meanmale"	"male"
0.4124148088	"meanmale"	"male"
1.125789539	"meanmale"	"male"
1.2968809534	"meanmale"	"male"
1.3902087086	"meanmale"	"male"
1.100425052	"meanmale"	"male"
0.5862602052	"meanmale"	"male"
0.9284338962	"meanmale"	"male"
NA	"meanmale"	"male"
0.433757611	"meanmale"	"male"
1.6309391558	"meanmale"	"male"
1.2147851234	"meanmale"	"male"
-0.2160990232	"meanmale"	"male"
1.2528416386	"meanmale"	"male"
0.8283179216	"meanmale"	"male"
0.4936820488	"meanmale"	"male"
0.7560175086	"meanmale"	"male"
1.2400697326	"meanmale"	"male"
1.3725958944	"meanmale"	"male"
1.4232967092	"meanmale"	"male"
0.4861981552	"meanmale"	"male"
0.6470950974	"meanmale"	"male"
0.5094588092	"meanmale"	"male"
1.0052127546	"meanmale"	"male"
1.6883764912	"meanmale"	"male"
0.5408941696	"meanmale"	"male"
0.4961096918	"meanmale"	"male"
0.6178463	"meanmale"	"male"
1.496274909	"meanmale"	"male"
-0.0099222892	"meanmale"	"male"
0.3548266026	"meanmale"	"male"
2.0829046038	"meanmale"	"male"
1.6714089224	"meanmale"	"male"
-0.1567432218	"meanmale"	"male"
0.5281647868	"meanmale"	"male"
0.8377126894	"meanmale"	"male"
0.4116354074	"meanmale"	"male"
1.443973236	"meanmale"	"male"
0.2635834762	"meanmale"	"male"
1.1711159976	"meanmale"	"male"
0.8256206882	"meanmale"	"male"
1.5105108242	"meanmale"	"male"
0.4420994414	"meanmale"	"male"
-0.1031997564	"meanmale"	"male"
0.7957497456	"meanmale"	"male"
1.417208706	"meanmale"	"male"
1.4036107892	"meanmale"	"male"
1.0532316506	"meanmale"	"male"
1.2072797804	"meanmale"	"male"
0.6101898306	"meanmale"	"male"
0.9263472528	"meanmale"	"male"
1.345795375	"meanmale"	"male"
1.3255268758	"meanmale"	"male"
0.6799770794	"meanmale"	"male"
0.4509656332	"meanmale"	"male"
0.480038821	"meanmale"	"male"
0.3080983834	"meanmale"	"male"
0.2816534934	"meanmale"	"male"
0.446768332	"meanmale"	"male"
0.7405629672	"meanmale"	"male"
0.8326224806	"meanmale"	"male"
0.5875552322	"meanmale"	"male"
0.6930462648	"meanmale"	"male"
0.3109806838	"meanmale"	"male"
0.3514951154	"meanmale"	"male"
0.663521841	"meanmale"	"male"
1.88088072	"meanmale"	"male"
-0.0375258248	"meanmale"	"male"
1.876933236	"meanmale"	"male"
-0.4274653106	"meanmale"	"male"
1.4635981434	"meanmale"	"male"
0.8037205868	"meanmale"	"male"
0.8786871854	"meanmale"	"male"
-0.0522551812	"meanmale"	"male"
0.8261024216	"meanmale"	"male"
-0.0710922946	"meanmale"	"male"
0.4590302632	"meanmale"	"male"
0.2103850728	"meanmale"	"male"
0.4265125834	"meanmale"	"male"
1.0302219422	"meanmale"	"male"
0.922198755	"meanmale"	"male"
0.6827507586	"meanmale"	"male"
0.741415375	"meanmale"	"male"
0.9339743736	"meanmale"	"male"
0.3875397692	"meanmale"	"male"
1.498848067	"meanmale"	"male"
0.8510598446	"meanmale"	"male"
0.3585509196	"meanmale"	"male"
0.816506174	"meanmale"	"male"
0.3813913888	"meanmale"	"male"
0.5979936212	"meanmale"	"male"
0.9596332314	"meanmale"	"male"
0.0176926044	"meanmale"	"male"
0.4863445816	"meanmale"	"male"
0.00811588059999998	"meanmale"	"male"
0.4338855338	"meanmale"	"male"
0.928175085	"meanmale"	"male"
0.0286467074	"meanmale"	"male"
0.5516141068	"meanmale"	"male"
-0.0903142302	"meanmale"	"male"
1.1342230716	"meanmale"	"male"
1.4036445682	"meanmale"	"male"
0.701411296	"meanmale"	"male"
2.0017734824	"meanmale"	"male"
0.144202509	"meanmale"	"male"
0.6892301946	"meanmale"	"male"
1.0581414824	"meanmale"	"male"
1.284438419	"meanmale"	"male"
0.3179994442	"meanmale"	"male"
2.0235018628	"meanmale"	"male"
1.9530293376	"meanmale"	"male"
1.7318645446	"meanmale"	"male"
0.1640332984	"meanmale"	"male"
0.468634161	"meanmale"	"male"
-0.1625937062	"meanmale"	"male"
0.393641397	"meanmale"	"male"
0.3237413778	"meanmale"	"male"
0.8172489162	"meanmale"	"male"
-0.0891334222	"meanmale"	"male"
0.805425341	"meanmale"	"male"
0.3747550052	"meanmale"	"male"
1.154559783	"meanmale"	"male"
0.6240450402	"meanmale"	"male"
0.0331541262	"meanmale"	"male"
0.7957636872	"meanmale"	"male"
0.6482763278	"meanmale"	"male"
0.334980973	"meanmale"	"male"
1.1097542152	"meanmale"	"male"
2.4358963674	"meanmale"	"male"
-0.0573653744	"meanmale"	"male"
0.8875435604	"meanmale"	"male"
1.1175445982	"meanmale"	"male"
1.3400816726	"meanmale"	"male"
3.3280822156	"meanmale"	"male"
-0.0601397188	"meanmale"	"male"
-0.2386895458	"meanmale"	"male"
-0.1206214188	"meanmale"	"male"
0.5823738808	"meanmale"	"male"
0.269265382	"meanmale"	"male"
0.602937181	"meanmale"	"male"
2.276986489	"meanmale"	"male"
1.911048085	"meanmale"	"male"
0.574216525	"meanmale"	"male"
0.9177724892	"meanmale"	"male"
0.796332042	"meanmale"	"male"
0.0806174092	"meanmale"	"male"
1.7445030096	"meanmale"	"male"
0.7461830656	"meanmale"	"male"
-0.4113939214	"meanmale"	"male"
0.6065568274	"meanmale"	"male"
1.0803566768	"meanmale"	"male"
1.3326718128	"meanmale"	"male"
1.743550327	"meanmale"	"male"
0.7425219882	"meanmale"	"male"
0.1729733388	"meanmale"	"male"
0.382023854	"meanmale"	"male"
-0.3870428526	"meanmale"	"male"
0.6634102674	"meanmale"	"male"
0.2859991942	"meanmale"	"male"
0.134206454	"meanmale"	"male"
0.4468162246	"meanmale"	"male"
0.4505625922	"meanmale"	"male"
0.9175268418	"meanmale"	"male"
0.0549937472	"meanmale"	"male"
0.7769358082	"meanmale"	"male"
1.2154807002	"meanmale"	"male"
NA	"meanmale"	"male"
0.6240918598	"meanmale"	"male"
2.3483059316	"meanmale"	"male"
0.7577087488	"meanmale"	"male"
1.5242824324	"meanmale"	"male"
0.8621597288	"meanmale"	"male"
3.5141876028	"meanmale"	"male"
0.5666380644	"meanmale"	"male"
0.7957670508	"meanmale"	"male"
0.6801996148	"meanmale"	"male"
-0.0230537516	"meanmale"	"male"
-0.0653997386	"meanmale"	"male"
0.618978207	"meanmale"	"male"
1.9043844944	"meanmale"	"male"
1.8186019688	"meanmale"	"male"
-0.0526669844	"meanmale"	"male"
0.6929013952	"meanmale"	"male"
1.9134244066	"meanmale"	"male"
0.328532913	"meanmale"	"male"
1.2664500118	"meanmale"	"male"
0.8617487694	"meanmale"	"male"
1.0878648254	"meanmale"	"male"
1.012626842	"meanmale"	"male"
1.3587892678	"meanmale"	"male"
1.085444877	"meanmale"	"male"
1.295856301	"meanmale"	"male"
1.4729509872	"meanmale"	"male"
0.6778592012	"meanmale"	"male"
-0.4741485584	"meanmale"	"male"
0.497563933	"meanmale"	"male"
0.1776570954	"meanmale"	"male"
0.1402459594	"meanmale"	"male"
0.8587474932	"meanmale"	"male"
2.6305603748	"meanmale"	"male"
0.5392071408	"meanmale"	"male"
0.6772294182	"meanmale"	"male"
0.975082753	"meanmale"	"male"
1.0651729774	"meanmale"	"male"
0.2856560436	"meanmale"	"male"
0.0921961714	"meanmale"	"male"
0.088124531	"meanmale"	"male"
-0.1002075434	"meanmale"	"male"
0.4983289312	"meanmale"	"male"
0.935076619	"meanmale"	"male"
1.8880759622	"meanmale"	"male"
0.701327327	"meanmale"	"male"
0.9715702464	"meanmale"	"male"
0.5529767068	"meanmale"	"male"
-0.1987493422	"meanmale"	"male"
1.0968681604	"meanmale"	"male"
1.5031023354	"meanmale"	"male"
1.7769972296	"meanmale"	"male"
0.0491965014	"meanmale"	"male"
1.2318109666	"meanmale"	"male"
0.4550108936	"meanmale"	"male"
0.8782389804	"meanmale"	"male"
2.1860826758	"meanmale"	"male"
-0.3755503378	"meanmale"	"male"
0.1784941788	"meanmale"	"male"
0.325454542	"meanmale"	"male"
-0.0734216136	"meanmale"	"male"
1.5358913426	"meanmale"	"male"
1.084134337	"meanmale"	"male"
1.0474365952	"meanmale"	"male"
1.8938871122	"meanmale"	"male"
0.1747519248	"meanmale"	"male"
-0.122949196	"meanmale"	"male"
0.7065865222	"meanmale"	"male"
0.9263933148	"meanmale"	"male"
0.5078969236	"meanmale"	"male"
-0.0405777674	"meanmale"	"male"
0.085883249	"meanmale"	"male"
0.065462534	"meanmale"	"male"
1.362247406	"meanmale"	"male"
1.803401805	"meanmale"	"male"
0.8847975712	"meanmale"	"male"
1.76342273	"meanmale"	"male"
0.7807654532	"meanmale"	"male"
0.7487802846	"meanmale"	"male"
0.778942645	"meanmale"	"male"
1.0338372254	"meanmale"	"male"
0.9214646766	"meanmale"	"male"
0.6504402704	"meanmale"	"male"
0.8849719044	"meanmale"	"male"
1.1981373158	"meanmale"	"male"
1.1079586068	"meanmale"	"male"
0.619753032	"meanmale"	"male"
0.4191293356	"meanmale"	"male"
2.2527591864	"meanmale"	"male"
0.819127243	"meanmale"	"male"
0.2406496816	"meanmale"	"male"
2.8195001458	"meanmale"	"male"
0.4933763452	"meanmale"	"male"
0.4223559568	"meanmale"	"male"
0.1623464492	"meanmale"	"male"
1.0890818094	"meanmale"	"male"
1.628905408	"meanmale"	"male"
0.27895659	"meanmale"	"male"
1.2722038838	"meanmale"	"male"
1.0946948138	"meanmale"	"male"
0.3137062724	"meanmale"	"male"
0.7752031224	"meanmale"	"male"
-0.0356517074	"meanmale"	"male"
1.3807684206	"meanmale"	"male"
1.4863680838	"meanmale"	"male"
0.1210459936	"meanmale"	"male"
0.215107763	"meanmale"	"male"
0.5660871372	"meanmale"	"male"
0.3267568216	"meanmale"	"male"
0.7206289718	"meanmale"	"male"
0.1374877062	"meanmale"	"male"
0.528125196	"meanmale"	"male"
1.487535957	"meanmale"	"male"
0.8445981176	"meanmale"	"male"
-0.00479920260000001	"meanmale"	"male"
0.4826990706	"meanmale"	"male"
0.3753172084	"meanmale"	"male"
2.3336583262	"meanmale"	"male"
0.2400089504	"meanmale"	"male"
0.6358157868	"meanmale"	"male"
-0.1036163844	"meanmale"	"male"
1.919672949	"meanmale"	"male"
1.6730028758	"meanmale"	"male"
2.0102547256	"meanmale"	"male"
0.589410383	"meanmale"	"male"
1.5283492326	"meanmale"	"male"
1.1133386764	"meanmale"	"male"
0.699655312	"meanmale"	"male"
1.052960333	"meanmale"	"male"
0.7798095014	"meanmale"	"male"
0.0316625782	"meanmale"	"male"
1.1797256722	"meanmale"	"male"
1.494495011	"meanmale"	"male"
0.5747250242	"meanmale"	"male"
0.612855861	"meanmale"	"male"
NA	"meanmale"	"male"
0.5252088422	"meanmale"	"male"
-0.0644510472	"meanmale"	"male"
1.0059518066	"meanmale"	"male"
0.7479217092	"meanmale"	"male"
0.8830303414	"meanmale"	"male"
0.365641256	"meanmale"	"male"
0.2585671002	"meanmale"	"male"
0.7174171094	"meanmale"	"male"
0.8150146426	"meanmale"	"male"
1.4794463688	"meanmale"	"male"
0.585841531	"meanmale"	"male"
1.1144426464	"meanmale"	"male"
2.0151660206	"meanmale"	"male"
0.7335105444	"meanmale"	"male"
0.7950620334	"meanmale"	"male"
1.256278519	"meanmale"	"male"
1.2044924968	"meanmale"	"male"
1.5221333672	"meanmale"	"male"
1.0492566722	"meanmale"	"male"
-0.00965021359999998	"meanmale"	"male"
1.5422733272	"meanmale"	"male"
0.644572357	"meanmale"	"male"
0.347981272	"meanmale"	"male"
0.4585695564	"meanmale"	"male"
0.0500835146	"meanmale"	"male"
1.5829111528	"meanmale"	"male"
0.5008905942	"meanmale"	"male"
2.270646091	"meanmale"	"male"
0.5147934072	"meanmale"	"male"
0.7896170714	"meanmale"	"male"
1.30766408	"meanmale"	"male"
NA	"meanmale"	"male"
0.0431936812	"meanmale"	"male"
0.2973965996	"meanmale"	"male"
0.401758992	"meanmale"	"male"
0.468891785	"meanmale"	"male"
1.009635633	"meanmale"	"male"
0.5148300316	"meanmale"	"male"
1.5059657642	"meanmale"	"male"
-0.0257715052	"meanmale"	"male"
0.728988902	"meanmale"	"male"
0.9415157028	"meanmale"	"male"
1.2999205632	"meanmale"	"male"
0.4945645672	"meanmale"	"male"
0.0607213126	"meanmale"	"male"
0.3751264256	"meanmale"	"male"
NA	"meanmale"	"male"
1.528482204	"meanmale"	"male"
0.7617616322	"meanmale"	"male"
1.0418397774	"meanmale"	"male"
0.563636535	"meanmale"	"male"
0.9105931914	"meanmale"	"male"
0.638557145	"meanmale"	"male"
1.5855865	"meanmale"	"male"
1.205342488	"meanmale"	"male"
1.4028599164	"meanmale"	"male"
0.5259735148	"meanmale"	"male"
0.2214820418	"meanmale"	"male"
0.2504302584	"meanmale"	"male"
1.1015320042	"meanmale"	"male"
0.5721693806	"meanmale"	"male"
-0.0475010428	"meanmale"	"male"
1.4413511022	"meanmale"	"male"
-0.0458232008	"meanmale"	"male"
-0.6234828558	"meanmale"	"male"
0.0968054916	"meanmale"	"male"
0.0649404942	"meanmale"	"male"
0.4912420396	"meanmale"	"male"
0.3278369734	"meanmale"	"male"
1.066257955	"meanmale"	"male"
0.8577144686	"meanmale"	"male"
1.447514168	"meanmale"	"male"
0.1478784314	"meanmale"	"male"
0.8180204354	"meanmale"	"male"
1.1849000512	"meanmale"	"male"
1.7893266348	"meanmale"	"male"
0.7908652054	"meanmale"	"male"
0.1761597862	"meanmale"	"male"
0.558938903	"meanmale"	"male"
2.319105906	"meanmale"	"male"
0.4376699844	"meanmale"	"male"
0.4610239878	"meanmale"	"male"
0.1976440046	"meanmale"	"male"
0.6100626622	"meanmale"	"male"
0.6718247294	"meanmale"	"male"
0.6462649862	"meanmale"	"male"
0.4563148292	"meanmale"	"male"
0.124146767	"meanmale"	"male"
1.763081147	"meanmale"	"male"
1.009312292	"meanmale"	"male"
1.2045282644	"meanmale"	"male"
0.7573969594	"meanmale"	"male"
1.433109788	"meanmale"	"male"
1.5590782866	"meanmale"	"male"
0.6550724672	"meanmale"	"male"
0.9731924236	"meanmale"	"male"
NA	"meanmale"	"male"
-0.0810483236	"meanmale"	"male"
0.4132076366	"meanmale"	"male"
0.9145525522	"meanmale"	"male"
-0.1021230544	"meanmale"	"male"
0.5354904636	"meanmale"	"male"
1.2480147946	"meanmale"	"male"
0.0533870018	"meanmale"	"male"
-0.1724461048	"meanmale"	"male"
0.6626288456	"meanmale"	"male"
1.24402287	"meanmale"	"male"
1.2121199582	"meanmale"	"male"
1.1720560258	"meanmale"	"male"
-0.1316216312	"meanmale"	"male"
0.303555866	"meanmale"	"male"
0.160577422	"meanmale"	"male"
0.6574101166	"meanmale"	"male"
-0.078123563	"meanmale"	"male"
1.1178057992	"meanmale"	"male"
0.6020363516	"meanmale"	"male"
0.289863679	"meanmale"	"male"
0.420232598	"meanmale"	"male"
-0.090984349	"meanmale"	"male"
1.9673047676	"meanmale"	"male"
0.1081212442	"meanmale"	"male"
0.0661309334	"meanmale"	"male"
2.0464644124	"meanmale"	"male"
2.6355984932	"meanmale"	"male"
0.172187016	"meanmale"	"male"
1.2265292912	"meanmale"	"male"
0.5367102124	"meanmale"	"male"
0.7024817584	"meanmale"	"male"
0.7630121978	"meanmale"	"male"
0.4505494432	"meanmale"	"male"
0.3539802864	"meanmale"	"male"
-0.0336649878	"meanmale"	"male"
1.4852077628	"meanmale"	"male"
0.4732759418	"meanmale"	"male"
0.0871114106	"meanmale"	"male"
0.4640007366	"meanmale"	"male"
-0.0317994404	"meanmale"	"male"
1.1597076648	"meanmale"	"male"
-0.1904141706	"meanmale"	"male"
1.6570441388	"meanmale"	"male"
0.9350347076	"meanmale"	"male"
0.3026400008	"meanmale"	"male"
0.3788989398	"meanmale"	"male"
0.0091080774	"meanmale"	"male"
0.7970442518	"meanmale"	"male"
0.623324057	"meanmale"	"male"
0.6319462174	"meanmale"	"male"
0.4908402906	"meanmale"	"male"
0.6221027168	"meanmale"	"male"
0.7272568884	"meanmale"	"male"
0.3009178806	"meanmale"	"male"
2.5299791384	"meanmale"	"male"
0.2841401884	"meanmale"	"male"
2.7088938016	"meanmale"	"male"
1.3116075872	"meanmale"	"male"
0.9903927156	"meanmale"	"male"
0.2987067614	"meanmale"	"male"
0.2335617	"meanmale"	"male"
1.231911184	"meanmale"	"male"
1.4162311834	"meanmale"	"male"
0.8706760648	"meanmale"	"male"
0.566949618	"meanmale"	"male"
2.9201927632	"meanmale"	"male"
0.859805747	"meanmale"	"male"
0.8789509656	"meanmale"	"male"
1.6960983922	"meanmale"	"male"
1.059406333	"meanmale"	"male"
0.4439617724	"meanmale"	"male"
0.7328693168	"meanmale"	"male"
1.6241361706	"meanmale"	"male"
1.3217071716	"meanmale"	"male"
0.0314244096	"meanmale"	"male"
0.3953744896	"meanmale"	"male"
1.3720429272	"meanmale"	"male"
1.1005879296	"meanmale"	"male"
1.1936465014	"meanmale"	"male"
0.8668398694	"meanmale"	"male"
0.8062841574	"meanmale"	"male"
0.7470617666	"meanmale"	"male"
0.1951470164	"meanmale"	"male"
1.004788935	"meanmale"	"male"
1.5987836106	"meanmale"	"male"
-0.4222361076	"meanmale"	"male"
0.3110818248	"meanmale"	"male"
0.7587247024	"meanmale"	"male"
0.6733958768	"meanmale"	"male"
0.5496123066	"meanmale"	"male"
0.9095727856	"meanmale"	"male"
0.3369323354	"meanmale"	"male"
1.7083896546	"meanmale"	"male"
0.7717006494	"meanmale"	"male"
0.1334962332	"meanmale"	"male"
0.2298796662	"meanmale"	"male"
0.684261691	"meanmale"	"male"
0.5829172946	"meanmale"	"male"
0.188601951	"meanmale"	"male"
-0.0699181986	"meanmale"	"male"
1.5657131056	"meanmale"	"male"
1.2136015958	"meanmale"	"male"
2.2151048762	"meanmale"	"male"
0.4762438004	"meanmale"	"male"
0.8128231548	"meanmale"	"male"
0.5985138168	"meanmale"	"male"
0.3021302544	"meanmale"	"male"
2.1106419886	"meanmale"	"male"
0.3131082736	"meanmale"	"male"
0.9902330288	"meanmale"	"male"
1.6247953196	"meanmale"	"male"
0.2210785536	"meanmale"	"male"
0.6799006068	"meanmale"	"male"
0.3928756512	"meanmale"	"male"
1.5210096036	"meanmale"	"male"
0.488091103	"meanmale"	"male"
NA	"meanmale"	"male"
2.2938705412	"meanmale"	"male"
0.421158421	"meanmale"	"male"
0.03271605	"meanmale"	"male"
0.1926019454	"meanmale"	"male"
1.8633454118	"meanmale"	"male"
1.0717140822	"meanmale"	"male"
1.0011381594	"meanmale"	"male"
0.274009712	"meanmale"	"male"
-0.0313019832	"meanmale"	"male"
