LogCPM	sex	bias
0.203456486	meanmale	female
1.80386971	meanmale	female
-0.071900605	meanmale	female
3.419123462	meanmale	female
3.374813254	meanmale	female
5.59938956	meanmale	female
4.018026365	meanmale	female
5.840849213	meanmale	female
2.872961895	meanmale	female
3.784434904	meanmale	female
2.685160038	meanmale	female
-1.771398243	meanmale	female
5.838326057	meanmale	female
-3.566257571	meanmale	female
4.288520562	meanmale	female
3.008306514	meanmale	female
4.008877151	meanmale	female
3.734033099	meanmale	female
2.440045341	meanmale	female
0.091671829	meanmale	female
4.171931014	meanmale	female
5.56044819	meanmale	female
-0.193312212	meanmale	female
-1.048714249	meanmale	female
2.070261235	meanmale	female
2.696853959	meanmale	female
1.499165847	meanmale	female
3.617141041	meanmale	female
2.499916451	meanmale	female
-3.566257571	meanmale	female
-1.86656362	meanmale	female
3.26043201	meanmale	female
0.989228824	meanmale	female
4.930763724	meanmale	female
1.786322044	meanmale	female
-2.035568965	meanmale	female
0.298558297	meanmale	female
-2.354629865	meanmale	female
4.091888073	meanmale	female
0.661976679	meanmale	female
3.27035661	meanmale	female
2.777622306	meanmale	female
3.725101382	meanmale	female
2.479824113	meanmale	female
1.902273632	meanmale	female
3.562415015	meanmale	female
2.591569851	meanmale	female
4.016062683	meanmale	female
4.973861671	meanmale	female
4.484054273	meanmale	female
6.452853412	meanmale	female
0.545558703	meanmale	female
1.554146653	meanmale	female
3.213306502	meanmale	female
1.466864349	meanmale	female
-0.138797038	meanmale	female
2.888435599	meanmale	female
2.491373707	meanmale	female
3.533408617	meanmale	female
2.136364623	meanmale	female
3.389763119	meanmale	female
2.110487975	meanmale	female
2.361130387	meanmale	female
3.314639353	meanmale	female
3.843633998	meanmale	female
3.811831023	meanmale	female
4.647112085	meanmale	female
2.68933106	meanmale	female
3.027100884	meanmale	female
4.381000879	meanmale	female
1.244992499	meanmale	female
3.141451571	meanmale	female
-2.873524795	meanmale	female
3.162435497	meanmale	female
1.181650229	meanmale	female
1.045524439	meanmale	female
1.573691156	meanmale	female
4.379272891	meanmale	female
1.494079097	meanmale	female
-3.391126189	meanmale	female
4.706327474	meanmale	female
2.450874015	meanmale	female
3.760071048	meanmale	female
4.905510191	meanmale	female
0.372187389	meanmale	female
4.775279971	meanmale	female
2.69215576	meanmale	female
4.483413782	meanmale	female
-0.380309632	meanmale	female
3.709258322	meanmale	female
-1.30027848	meanmale	female
3.526736503	meanmale	female
0.194722768	meanmale	female
0.41255608	meanmale	female
2.460687474	meanmale	female
0.650202702	meanmale	female
-1.084515242	meanmale	female
-2.238964538	meanmale	female
-3.00487714	meanmale	female
-0.800567629	meanmale	female
-1.584426637	meanmale	female
-3.400726423	meanmale	female
0.132749095	meanmale	female
0.354013888	meanmale	female
1.905364153	meanmale	female
0.7302637	meanmale	female
2.717052938	meanmale	female
1.900513175	meanmale	female
1.915464914	meanmale	female
0.468138205	meanmale	female
3.811708438	meanmale	female
4.310808124	meanmale	female
5.685117054	meanmale	female
1.568538468	meanmale	female
-1.545908124	meanmale	female
4.393646617	meanmale	female
2.224185999	meanmale	female
3.171794022	meanmale	female
2.119317217	meanmale	female
3.398311169	meanmale	female
4.890795355	meanmale	female
-0.564552954	meanmale	female
4.382870625	meanmale	female
4.158429165	meanmale	female
-0.537703629	meanmale	female
3.477102183	meanmale	female
3.277786402	meanmale	female
-3.225595042	meanmale	female
-2.291680065	meanmale	female
4.049204998	meanmale	female
4.69703686	meanmale	female
4.699159573	meanmale	female
4.715897545	meanmale	female
2.870771442	meanmale	female
1.998461688	meanmale	female
3.494415506	meanmale	female
2.860943561	meanmale	female
4.218913809	meanmale	female
-0.223261431	meanmale	female
1.594611982	meanmale	female
1.881734868	meanmale	female
-0.139455997	meanmale	female
4.312432776	meanmale	female
0.278644089	meanmale	female
-3.566257571	meanmale	female
3.824178441	meanmale	female
2.067940943	meanmale	female
5.341867925	meanmale	female
-0.012047487	meanmale	female
0.295317123	meanmale	female
2.725266599	meanmale	female
-0.201497773	meanmale	female
2.377517976	meanmale	female
3.202143078	meanmale	female
3.39876181	meanmale	female
3.281162989	meanmale	female
4.859202098	meanmale	female
1.967978592	meanmale	female
3.634617818	meanmale	female
4.28097722	meanmale	female
1.368587402	meanmale	female
4.37038405	meanmale	female
-0.253202977	meanmale	female
3.342187115	meanmale	female
0.533188891	meanmale	female
3.192385938	meanmale	female
7.750531036	meanmale	female
1.007200148	meanmale	female
2.947777864	meanmale	female
-0.102985315	meanmale	female
4.371056195	meanmale	female
3.234297342	meanmale	female
4.363891659	meanmale	female
-1.095062753	meanmale	female
4.388382499	meanmale	female
1.368443202	meanmale	female
4.127159131	meanmale	female
6.611465633	meanmale	female
2.32011153	meanmale	female
1.927078526	meanmale	female
4.236515022	meanmale	female
1.210393288	meanmale	female
2.644846467	meanmale	female
3.162493309	meanmale	female
4.233746414	meanmale	female
1.121602984	meanmale	female
3.628805355	meanmale	female
-2.839876991	meanmale	female
6.564734179	meanmale	female
1.439621497	meanmale	female
3.43220273	meanmale	female
3.70041662	meanmale	female
1.953198131	meanmale	female
1.559950958	meanmale	female
2.676556795	meanmale	female
4.280648743	meanmale	female
3.327078248	meanmale	female
-1.796840957	meanmale	female
3.538950632	meanmale	female
3.489938176	meanmale	female
1.34065438	meanmale	female
2.859332722	meanmale	female
1.910559501	meanmale	female
5.126825599	meanmale	female
1.542793837	meanmale	female
0.927440771	meanmale	female
1.106433059	meanmale	female
2.487842538	meanmale	female
2.715160834	meanmale	female
0.14369426	meanmale	female
0.679876098	meanmale	female
4.146595667	meanmale	female
-2.247621157	meanmale	female
-3.566257571	meanmale	female
0.151870395	meanmale	female
4.449360266	meanmale	female
2.596846321	meanmale	female
-1.851942547	meanmale	female
2.60789065	meanmale	female
2.198836415	meanmale	female
4.839953463	meanmale	female
5.106742262	meanmale	female
3.139527545	meanmale	female
1.056915657	meanmale	female
3.409509558	meanmale	female
0.222980077	meanmale	female
-0.674229055	meanmale	female
1.539752788	meanmale	female
3.025103563	meanmale	female
1.281399835	meanmale	female
-0.023287409	meanmale	female
0.188174056	meanmale	female
0.266079332	meanmale	female
6.053311316	meanmale	female
-0.138579663	meanmale	female
2.5938605	meanmale	female
4.85778148	meanmale	female
2.137951584	meanmale	female
4.301587614	meanmale	female
2.69030081	meanmale	female
-0.617297686	meanmale	female
3.733617058	meanmale	female
1.257558074	meanmale	female
3.800987357	meanmale	female
0.671473281	meanmale	female
5.417877344	meanmale	female
3.290295969	meanmale	female
3.499113934	meanmale	female
5.398027456	meanmale	female
1.116162902	meanmale	female
3.8919527	meanmale	female
1.375383629	meanmale	female
2.612913393	meanmale	female
2.882830127	meanmale	female
-0.944237302	meanmale	female
4.241509981	meanmale	female
1.665060643	meanmale	female
2.297334817	meanmale	female
1.21355586	meanmale	female
2.091193644	meanmale	female
0.958327303	meanmale	female
2.33007278	meanmale	female
2.738724844	meanmale	female
3.142178318	meanmale	female
2.853322073	meanmale	female
2.877765384	meanmale	female
-3.566257571	meanmale	female
5.849275061	meanmale	female
-1.079376657	meanmale	female
3.380995431	meanmale	female
1.405103463	meanmale	female
3.654323995	meanmale	female
3.059863026	meanmale	female
3.144295769	meanmale	female
0.779506884	meanmale	female
1.758728656	meanmale	female
2.488574182	meanmale	female
1.107809041	meanmale	female
1.953956168	meanmale	female
2.518293678	meanmale	female
1.471051426	meanmale	female
0.258778148	meanmale	female
0.906582159	meanmale	female
2.287797774	meanmale	female
-0.251656746	meanmale	female
4.570469546	meanmale	female
3.65129219	meanmale	female
3.716094889	meanmale	female
0.315026494	meanmale	female
3.73314636	meanmale	female
-0.010469984	meanmale	female
-3.391126189	meanmale	female
1.556175342	meanmale	female
-1.025689754	meanmale	female
-1.004153431	meanmale	female
0.991455004	meanmale	female
3.08196682	meanmale	female
1.316974967	meanmale	female
3.336537268	meanmale	female
-2.127864673	meanmale	female
2.383314523	meanmale	female
-2.128241721	meanmale	female
-0.642780218	meanmale	female
4.425636635	meanmale	female
2.511661415	meanmale	female
5.43122232	meanmale	female
-1.042411803	meanmale	female
5.014562178	meanmale	female
1.008017029	meanmale	female
1.320617573	meanmale	female
2.043190334	meanmale	female
4.903489588	meanmale	female
5.887209026	meanmale	female
1.869726028	meanmale	female
4.576126872	meanmale	female
-1.47498957	meanmale	female
-1.051234755	meanmale	female
-2.84603235	meanmale	female
3.426017867	meanmale	female
1.262524252	meanmale	female
3.332637427	meanmale	female
0.244572376	meanmale	female
3.612380092	meanmale	female
5.015040993	meanmale	female
-2.277115135	meanmale	female
-0.000259025	meanmale	female
-0.229868774	meanmale	female
-1.544546133	meanmale	female
1.13661102	meanmale	female
3.766852025	meanmale	female
2.71579027	meanmale	female
-2.108139113	meanmale	female
2.693873008	meanmale	female
3.853043768	meanmale	female
0.425836496	meanmale	female
3.863861308	meanmale	female
1.914671239	meanmale	female
1.999888832	meanmale	female
5.11683555	meanmale	female
2.669169007	meanmale	female
-0.294495078	meanmale	female
1.299427276	meanmale	female
1.962072012	meanmale	female
2.08748857	meanmale	female
2.397220874	meanmale	female
4.233914868	meanmale	female
-0.817641225	meanmale	female
2.333839365	meanmale	female
-3.566257571	meanmale	female
4.470289817	meanmale	female
1.286157586	meanmale	female
2.054370045	meanmale	female
0.876874548	meanmale	female
-2.418006622	meanmale	female
4.409917522	meanmale	female
-3.400726423	meanmale	female
2.596564325	meanmale	female
3.332927227	meanmale	female
3.415126379	meanmale	female
4.362936579	meanmale	female
5.115211634	meanmale	female
1.208974124	meanmale	female
-1.534671002	meanmale	female
3.527898293	meanmale	female
2.997503005	meanmale	female
2.014229076	meanmale	female
2.906553678	meanmale	female
0.086845919	meanmale	female
0.215763556	meanmale	female
0.385103856	meanmale	female
1.138364591	meanmale	female
2.377916754	meanmale	female
2.890048209	meanmale	female
-0.494793079	meanmale	female
4.007177419	meanmale	female
2.682080763	meanmale	female
2.095929363	meanmale	female
3.849921104	meanmale	female
2.212403022	meanmale	female
5.792587097	meanmale	female
4.553422709	meanmale	female
6.033128654	meanmale	female
0.321976206	meanmale	female
3.917708503	meanmale	female
5.642891571	meanmale	female
-0.430658225	meanmale	female
-1.321401875	meanmale	female
2.739894908	meanmale	female
-1.360333042	meanmale	female
2.215199439	meanmale	female
2.775528374	meanmale	female
-0.226808835	meanmale	female
4.597692741	meanmale	female
1.388681442	meanmale	female
3.398096747	meanmale	female
-0.372691288	meanmale	female
1.487684453	meanmale	female
5.3812424	meanmale	female
-0.014731385	meanmale	female
2.720616899	meanmale	female
2.26719275	meanmale	female
4.633823304	meanmale	female
4.179356054	meanmale	female
5.181130488	meanmale	female
3.509069229	meanmale	female
2.640485773	meanmale	female
2.661140785	meanmale	female
0.455848342	meanmale	female
3.561998561	meanmale	female
0.648526614	meanmale	female
2.72810765	meanmale	female
1.381238283	meanmale	female
4.651643553	meanmale	female
4.320325399	meanmale	female
3.879675343	meanmale	female
5.349058568	meanmale	female
1.588138889	meanmale	female
7.134597355	meanmale	female
2.823799478	meanmale	female
2.264630009	meanmale	female
4.524122024	meanmale	female
-3.015008372	meanmale	female
2.154630598	meanmale	female
7.093847342	meanmale	female
3.179481054	meanmale	female
0.90909696	meanmale	female
1.441223998	meanmale	female
0.649082667	meanmale	female
3.93683973	meanmale	female
4.641070461	meanmale	female
-2.611483429	meanmale	female
-1.048073629	meanmale	female
-1.244453558	meanmale	female
3.731428181	meanmale	female
1.082399296	meanmale	female
3.922785316	meanmale	female
4.487988914	meanmale	female
4.157034494	meanmale	female
3.146846727	meanmale	female
1.585543437	meanmale	female
3.465064495	meanmale	female
1.302769673	meanmale	female
-3.180008522	meanmale	female
4.914293487	meanmale	female
2.939312428	meanmale	female
0.505535202	meanmale	female
4.296310473	meanmale	female
4.529788808	meanmale	female
4.351528389	meanmale	female
4.044449784	meanmale	female
3.759613702	meanmale	female
5.338292702	meanmale	female
2.548055668	meanmale	female
4.185525807	meanmale	female
-1.581298512	meanmale	female
4.883584881	meanmale	female
0.74347792	meanmale	female
-0.31109906	meanmale	female
3.097777795	meanmale	female
-3.391126189	meanmale	female
2.532758164	meanmale	female
3.917761567	meanmale	female
2.396680146	meanmale	female
1.476193201	meanmale	female
0.500361069	meanmale	female
-0.623403027	meanmale	female
0.449918345	meanmale	female
-1.421489186	meanmale	female
1.104393786	meanmale	female
1.661883621	meanmale	female
3.339996974	meanmale	female
2.40327487	meanmale	female
1.538286295	meanmale	female
4.12455612	meanmale	female
1.903029527	meanmale	female
-2.839876991	meanmale	female
4.7799382	meanmale	female
0.382203489	meanmale	female
1.248073323	meanmale	female
0.652659559	meanmale	female
0.418445637	meanmale	female
3.065437266	meanmale	female
3.116436796	meanmale	female
3.721582471	meanmale	female
3.17166185	meanmale	female
-0.394333021	meanmale	female
-1.496151714	meanmale	female
4.001829093	meanmale	female
2.372503591	meanmale	female
-0.978922763	meanmale	female
-3.566257571	meanmale	female
4.430963643	meanmale	female
3.786310424	meanmale	female
0.399825376	meanmale	female
3.591343857	meanmale	female
-0.601571077	meanmale	female
3.083984251	meanmale	female
3.807467029	meanmale	female
0.012013778	meanmale	female
-0.33171477	meanmale	female
1.132710615	meanmale	female
3.206341068	meanmale	female
-1.784803494	meanmale	female
-0.053175781	meanmale	female
0.06208358	meanmale	female
-1.006982166	meanmale	female
0.120564032	meanmale	female
2.213220989	meanmale	female
0.58529461	meanmale	female
4.801766639	meanmale	female
5.396935786	meanmale	female
3.452988163	meanmale	female
1.661799357	meanmale	female
4.423367732	meanmale	female
0.409342446	meanmale	female
4.720903518	meanmale	female
4.222875328	meanmale	female
-0.75394309	meanmale	female
3.484461851	meanmale	female
-0.330369271	meanmale	female
-3.015008372	meanmale	female
-0.010422608	meanmale	female
2.488907526	meanmale	female
2.64816591	meanmale	female
2.513609318	meanmale	female
-0.013632769	meanmale	female
3.775438264	meanmale	female
-0.165552632	meanmale	female
-0.348926281	meanmale	female
4.908723148	meanmale	female
2.319080763	meanmale	female
-1.182495983	meanmale	female
3.17825123	meanmale	female
-3.566257571	meanmale	female
5.529095798	meanmale	female
4.451165186	meanmale	female
0.80348766	meanmale	female
-2.448302542	meanmale	female
3.674416033	meanmale	female
2.138629317	meanmale	female
0.529153456	meanmale	female
2.538693407	meanmale	female
1.795543856	meanmale	female
0.138569194	meanmale	female
4.726120143	meanmale	female
2.701872325	meanmale	female
0.424716952	meanmale	female
1.779739793	meanmale	female
1.393891872	meanmale	female
-0.065975518	meanmale	female
5.862588872	meanmale	female
-1.164337798	meanmale	female
4.937465533	meanmale	female
2.841195296	meanmale	female
2.882178672	meanmale	female
0.440343979	meanmale	female
4.598027976	meanmale	female
3.409171699	meanmale	female
4.429749734	meanmale	female
1.013512722	meanmale	female
0.787420256	meanmale	female
2.687264056	meanmale	female
3.857333303	meanmale	female
-3.566257571	meanmale	female
2.698192827	meanmale	female
1.759336865	meanmale	female
-0.127827057	meanmale	female
3.235430036	meanmale	female
3.306930577	meanmale	female
2.715954921	meanmale	female
4.997835748	meanmale	female
3.168157179	meanmale	female
2.79854988	meanmale	female
2.682899238	meanmale	female
-3.134475701	meanmale	female
2.980492878	meanmale	female
2.518348362	meanmale	female
-0.503352485	meanmale	female
2.450009552	meanmale	female
1.279280363	meanmale	female
4.069405034	meanmale	female
3.699045893	meanmale	female
3.18199191	meanmale	female
5.240243287	meanmale	female
3.465663474	meanmale	female
1.005048979	meanmale	female
2.642011261	meanmale	female
-1.252043131	meanmale	female
4.061888666	meanmale	female
1.119263476	meanmale	female
0.13831681	meanmale	female
4.645401997	meanmale	female
0.345484949	meanmale	female
-2.75587104	meanmale	female
2.796844389	meanmale	female
-2.441742925	meanmale	female
0.614656043	meanmale	female
4.878674353	meanmale	female
4.130345671	meanmale	female
-1.91604105	meanmale	female
1.696674939	meanmale	female
0.667919345	meanmale	female
4.67835167	meanmale	female
1.495805261	meanmale	female
-0.606569002	meanmale	female
0.966135404	meanmale	female
2.092848978	meanmale	female
2.917587315	meanmale	female
0.974564586	meanmale	female
4.38519534	meanmale	female
1.97718063	meanmale	female
5.948069113	meanmale	female
4.346295496	meanmale	female
2.46103697	meanmale	female
2.468788231	meanmale	female
2.451027043	meanmale	female
4.84026881	meanmale	female
3.268391249	meanmale	female
1.983343383	meanmale	female
-3.225595042	meanmale	female
-1.366713975	meanmale	female
3.612480963	meanmale	female
1.18498271	meanmale	female
1.414350594	meanmale	female
2.047652424	meanmale	female
2.383705327	meanmale	female
3.986290161	meanmale	female
0.531305716	meanmale	female
4.088753546	meanmale	female
-0.340211206	meanmale	female
1.635400535	meanmale	female
3.834930721	meanmale	female
1.321596579	meanmale	female
3.981111955	meanmale	female
2.733442045	meanmale	female
5.296954759	meanmale	female
3.539556424	meanmale	female
1.061384746	meanmale	female
-0.796705147	meanmale	female
-0.037976365	meanmale	female
-0.116264718	meanmale	female
0.371528621	meanmale	female
-0.894588648	meanmale	female
2.434805544	meanmale	female
-0.649976346	meanmale	female
2.584810219	meanmale	female
3.780075822	meanmale	female
7.420390512	meanmale	female
2.89482477	meanmale	female
1.558707526	meanmale	female
3.640186296	meanmale	female
-0.037628632	meanmale	female
-0.115462087	meanmale	female
0.43231016	meanmale	female
-1.162178517	meanmale	female
0.532249376	meanmale	female
3.124894573	meanmale	female
0.936157817	meanmale	female
2.666155496	meanmale	female
2.155934785	meanmale	female
2.654890107	meanmale	female
3.267810776	meanmale	female
3.37923629	meanmale	female
0.972308306	meanmale	female
2.798504248	meanmale	female
0.122577722	meanmale	female
3.841492044	meanmale	female
5.456442139	meanmale	female
2.202889358	meanmale	female
0.258030527	meanmale	female
0.986191549	meanmale	female
1.354206994	meanmale	female
3.290921056	meanmale	female
3.824028977	meanmale	female
2.39067274	meanmale	female
1.567788888	meanmale	female
1.440018983	meanmale	female
3.2680417	meanmale	female
2.994732558	meanmale	female
1.369421077	meanmale	female
3.646633559	meanmale	female
-0.246049274	meanmale	female
-1.263433064	meanmale	female
3.353931153	meanmale	female
-0.754703254	meanmale	female
4.99276826	meanmale	female
-0.309785992	meanmale	female
-0.596760982	meanmale	female
3.263426742	meanmale	female
2.373290292	meanmale	female
4.219659496	meanmale	female
5.144683103	meanmale	female
3.684215547	meanmale	female
2.072322462	meanmale	female
1.232554374	meanmale	female
1.064519557	meanmale	female
4.827095997	meanmale	female
5.659532744	meanmale	female
-0.655563458	meanmale	female
0.458215923	meanmale	female
4.33203129	meanmale	female
-0.921189201	meanmale	female
3.472159169	meanmale	female
3.531955899	meanmale	female
2.657204833	meanmale	female
0.051439038	meanmale	female
3.527838189	meanmale	female
0.947842932	meanmale	female
-0.906864254	meanmale	female
4.713989173	meanmale	female
4.722752436	meanmale	female
0.9682366	meanmale	female
1.462713883	meanmale	female
1.419643369	meanmale	female
4.576313853	meanmale	female
5.712455474	meanmale	female
1.426285747	meanmale	female
6.422651387	meanmale	female
-3.566257571	meanmale	female
0.869005389	meanmale	female
3.491238158	meanmale	female
5.339738824	meanmale	female
-1.709358511	meanmale	female
-0.392020813	meanmale	female
2.916181078	meanmale	female
4.490331198	meanmale	female
3.408861998	meanmale	female
4.812413773	meanmale	female
4.467933734	meanmale	female
3.444984205	meanmale	female
1.402886217	meanmale	female
0.857501991	meanmale	female
4.443355141	meanmale	female
-0.078868387	meanmale	female
2.547138966	meanmale	female
-0.451468424	meanmale	female
-2.296423831	meanmale	female
2.364161084	meanmale	female
1.388400363	meanmale	female
2.605586683	meanmale	female
1.49059357	meanmale	female
6.784635736	meanmale	female
-0.237317739	meanmale	female
1.328172039	meanmale	female
-0.807473257	meanmale	female
0.510159133	meanmale	female
2.978133693	meanmale	female
1.230379363	meanmale	female
3.336564613	meanmale	female
5.103059847	meanmale	female
-1.587618598	meanmale	female
2.816798602	meanmale	female
4.18781354	meanmale	female
-1.5497226	meanmale	female
-2.718963066	meanmale	female
1.98306778	meanmale	female
2.627218493	meanmale	female
5.498036975	meanmale	female
3.449873185	meanmale	female
3.325712802	meanmale	female
3.393815601	meanmale	female
1.764229086	meanmale	female
2.276088646	meanmale	female
2.358820546	meanmale	female
-0.077188436	meanmale	female
1.856421904	meanmale	female
0.754789078	meanmale	female
1.069295496	meanmale	female
2.377549502	meanmale	female
1.218252851	meanmale	female
3.451915169	meanmale	female
1.268164365	meanmale	female
2.91432683	meanmale	female
2.983103721	meanmale	female
2.350968161	meanmale	female
3.016840837	meanmale	female
2.971727428	meanmale	female
5.290214427	meanmale	female
5.586372344	meanmale	female
3.501512439	meanmale	female
0.246403623	meanmale	female
3.038324374	meanmale	female
2.447688893	meanmale	female
0.83109925	meanmale	female
2.48086613	meanmale	female
3.250088367	meanmale	female
3.205996276	meanmale	female
3.379650733	meanmale	female
2.60247517	meanmale	female
4.396113357	meanmale	female
1.802561366	meanmale	female
2.715077558	meanmale	female
0.671838248	meanmale	female
4.799160201	meanmale	female
-2.316950197	meanmale	female
2.309205396	meanmale	female
1.076214293	meanmale	female
2.632568885	meanmale	female
1.057497851	meanmale	female
4.450848024	meanmale	female
1.655207867	meanmale	female
4.951564137	meanmale	female
3.284659984	meanmale	female
4.760705045	meanmale	female
2.217354988	meanmale	female
-0.511110661	meanmale	female
4.358201014	meanmale	female
2.235228766	meanmale	female
-2.04906659	meanmale	female
-2.002655081	meanmale	female
2.715757709	meanmale	female
-3.566257571	meanmale	female
-3.27781422	meanmale	female
3.552729217	meanmale	female
0.5245633	meanmale	female
1.626851156	meanmale	female
6.471496212	meanmale	female
4.833548237	meanmale	female
2.775066652	meanmale	female
-3.007406417	meanmale	female
1.049759336	meanmale	female
1.060630104	meanmale	female
-3.566257571	meanmale	female
0.648900257	meanmale	female
0.682601071	meanmale	female
7.783750635	meanmale	female
-0.089942918	meanmale	female
3.43835744	meanmale	female
5.531638424	meanmale	female
-1.273368323	meanmale	female
0.242412715	meanmale	female
-0.329490772	meanmale	female
-1.825130287	meanmale	female
1.866052674	meanmale	female
2.4881624	meanmale	female
1.186707738	meanmale	female
2.251224773	meanmale	female
-2.91471643	meanmale	female
4.417539162	meanmale	female
4.624316636	meanmale	female
-1.249523667	meanmale	female
3.456814639	meanmale	female
3.445067222	meanmale	female
3.226311299	meanmale	female
-1.047730599	meanmale	female
-0.696576585	meanmale	female
-0.803664855	meanmale	female
1.965108988	meanmale	female
3.735829207	meanmale	female
2.230708727	meanmale	female
4.064950015	meanmale	female
-0.238501223	meanmale	female
4.274693996	meanmale	female
1.274793757	meanmale	female
3.531937508	meanmale	female
3.234327395	meanmale	female
1.201998932	meanmale	female
-0.83423924	meanmale	female
5.957737474	meanmale	female
-2.81569842	meanmale	female
3.930253153	meanmale	female
-1.626670532	meanmale	female
2.958503433	meanmale	female
-3.391126189	meanmale	female
-2.613969674	meanmale	female
1.626598855	meanmale	female
-1.044312873	meanmale	female
1.882496491	meanmale	female
4.211978405	meanmale	female
2.533353956	meanmale	female
4.138706995	meanmale	female
0.235074323	meanmale	female
4.234493145	meanmale	female
-0.196519517	meanmale	female
5.100379135	meanmale	female
3.948809725	meanmale	female
-0.939081216	meanmale	female
1.478376968	meanmale	female
-0.06437487	meanmale	female
1.237249329	meanmale	female
0.449514469	meanmale	female
1.526799182	meanmale	female
3.001583564	meanmale	female
4.511992873	meanmale	female
0.825969962	meanmale	female
-0.259048212	meanmale	female
3.850317575	meanmale	female
3.019716573	meanmale	female
1.710109607	meanmale	female
3.525137779	meanmale	female
2.157885968	meanmale	female
5.910254337	meanmale	female
2.590633497	meanmale	female
3.976832786	meanmale	female
-1.557692242	meanmale	female
-1.521559919	meanmale	female
4.142795381	meanmale	female
4.754988729	meanmale	female
3.399125085	meanmale	female
3.486185921	meanmale	female
6.030179489	meanmale	female
4.586614047	meanmale	female
