gid	female	log2meanXX	cutoff
TRINITY_DN125119_c3_g4_i1	meanfemale	6.361931384	FC7
TRINITY_DN133440_c0_g2_i2	meanfemale	4.995994825	FC7
TRINITY_DN117327_c0_g1_i1	meanfemale	1.77680233	FC7
TRINITY_DN124438_c0_g1_i1	meanfemale	5.037365883	FC7
TRINITY_DN132704_c0_g2_i5	meanfemale	5.592823722	FC7
TRINITY_DN132180_c5_g1_i6	meanfemale	3.640952736	FC7
TRINITY_DN109253_c0_g1_i1	meanfemale	3.433870551	FC7
TRINITY_DN116607_c0_g1_i1	meanfemale	3.592303464	FC7
TRINITY_DN113308_c0_g1_i2	meanfemale	3.602314704	FC7
TRINITY_DN130878_c0_g1_i3	meanfemale	4.706989484	FC7
TRINITY_DN110644_c0_g3_i1	meanfemale	4.842699246	FC7
TRINITY_DN125119_c3_g6_i1	meanfemale	6.7444792	FC7
TRINITY_DN121709_c1_g3_i3	meanfemale	4.11288924	FC7
TRINITY_DN130542_c0_g1_i9	meanfemale	4.226975573	FC7
TRINITY_DN121709_c1_g1_i1	meanfemale	4.560147261	FC7
TRINITY_DN109596_c0_g1_i1	meanfemale	5.864513351	FC7
TRINITY_DN122919_c1_g4_i1	meanfemale	2.580891466	FC7
TRINITY_DN130516_c2_g3_i1	meanfemale	3.053387187	FC7
TRINITY_DN128589_c4_g2_i2	meanfemale	4.929890405	FC7
TRINITY_DN121169_c0_g1_i1	meanfemale	0.504608168	FC7
TRINITY_DN119370_c0_g2_i1	meanfemale	4.535660339	FC7
TRINITY_DN119011_c0_g1_i1	meanfemale	7.578506388	FC7
TRINITY_DN127070_c0_g1_i3	meanfemale	5.584465539	FC7
TRINITY_DN123821_c0_g1_i1	meanfemale	5.28466259	FC7
TRINITY_DN124147_c1_g3_i2	meanfemale	4.668932782	FC7
TRINITY_DN129730_c0_g1_i2	meanfemale	4.186542105	FC7
TRINITY_DN133404_c0_g2_i3	meanfemale	4.364737855	FC7
TRINITY_DN113760_c0_g3_i2	meanfemale	3.459604371	FC7
TRINITY_DN135835_c0_g1_i3	meanfemale	6.943986828	FC7
TRINITY_DN129466_c1_g2_i3	meanfemale	5.518017922	FC7
TRINITY_DN121030_c0_g1_i1	meanfemale	4.844365555	FC7
TRINITY_DN109099_c0_g2_i2	meanfemale	1.892028171	FC7
TRINITY_DN124234_c1_g1_i2	meanfemale	3.302179818	FC7
TRINITY_DN115294_c0_g1_i4	meanfemale	2.927842236	FC7
TRINITY_DN123809_c0_g1_i2	meanfemale	4.095105126	FC7
TRINITY_DN120412_c0_g1_i2	meanfemale	7.145956977	FC7
TRINITY_DN114033_c0_g1_i2	meanfemale	1.260893142	FC7
TRINITY_DN121522_c0_g1_i3	meanfemale	2.351109704	FC7
TRINITY_DN123349_c1_g3_i1	meanfemale	6.588000262	FC7
TRINITY_DN131183_c0_g1_i4	meanfemale	4.904210148	FC7
TRINITY_DN119751_c0_g1_i3	meanfemale	5.380800574	FC7
TRINITY_DN115331_c0_g1_i2	meanfemale	3.403159399	FC7
TRINITY_DN108709_c0_g1_i2	meanfemale	6.998269655	FC7
TRINITY_DN135230_c0_g1_i5	meanfemale	6.795336294	FC7
TRINITY_DN131450_c1_g5_i5	meanfemale	4.840445583	FC7
TRINITY_DN115129_c0_g1_i3	meanfemale	4.591633206	FC7
TRINITY_DN135160_c6_g2_i1	meanfemale	2.611673886	FC5
TRINITY_DN131183_c0_g2_i1	meanfemale	5.203570758	FC5
TRINITY_DN135160_c6_g1_i3	meanfemale	2.899875612	FC5
TRINITY_DN123296_c1_g1_i2	meanfemale	4.397768403	FC5
TRINITY_DN127164_c6_g1_i1	meanfemale	3.271726716	FC5
TRINITY_DN102628_c0_g1_i1	meanfemale	2.916346347	FC5
TRINITY_DN127330_c0_g1_i1	meanfemale	2.521726659	FC5
TRINITY_DN121788_c0_g1_i1	meanfemale	6.267490865	FC5
TRINITY_DN114033_c0_g3_i2	meanfemale	3.15567106	FC5
TRINITY_DN129939_c4_g4_i3	meanfemale	4.465360876	FC5
TRINITY_DN127559_c7_g3_i1	meanfemale	3.239942865	FC5
TRINITY_DN79303_c0_g1_i1	meanfemale	2.890392936	FC5
TRINITY_DN95890_c0_g1_i1	meanfemale	7.955120475	FC5
TRINITY_DN98334_c0_g1_i1	meanfemale	3.611809294	FC5
TRINITY_DN117446_c0_g1_i2	meanfemale	7.08513519	FC5
TRINITY_DN124523_c1_g1_i1	meanfemale	6.366402723	FC5
TRINITY_DN120912_c0_g1_i3	meanfemale	4.046532373	FC5
TRINITY_DN115389_c0_g1_i1	meanfemale	7.28574855	FC5
TRINITY_DN126089_c1_g1_i2	meanfemale	3.887068793	FC5
TRINITY_DN126124_c0_g1_i1	meanfemale	3.605394424	FC5
TRINITY_DN131473_c0_g2_i4	meanfemale	5.724405485	FC5
TRINITY_DN93558_c0_g2_i1	meanfemale	7.883729876	FC5
TRINITY_DN117992_c0_g8_i1	meanfemale	1.06148474	FC5
TRINITY_DN96806_c0_g2_i1	meanfemale	2.409094242	FC5
TRINITY_DN117257_c0_g2_i1	meanfemale	4.269826104	FC5
TRINITY_DN103838_c0_g1_i1	meanfemale	7.115220321	FC5
TRINITY_DN114530_c0_g7_i1	meanfemale	2.970851837	FC5
TRINITY_DN105525_c0_g1_i1	meanfemale	3.085639083	FC5
TRINITY_DN26036_c0_g2_i1	meanfemale	1.94770166	FC5
TRINITY_DN111232_c1_g1_i1	meanfemale	4.362966765	FC5
TRINITY_DN98838_c0_g1_i2	meanfemale	6.135575028	FC5
TRINITY_DN124339_c4_g3_i4	meanfemale	4.654505902	FC5
TRINITY_DN128648_c7_g2_i1	meanfemale	6.467121819	FC5
TRINITY_DN130577_c0_g1_i1	meanfemale	5.510363045	FC5
TRINITY_DN114609_c0_g1_i1	meanfemale	3.364933818	FC5
TRINITY_DN110915_c0_g2_i1	meanfemale	2.92507177	FC5
TRINITY_DN109050_c0_g1_i1	meanfemale	2.983911745	FC5
TRINITY_DN125025_c0_g1_i2	meanfemale	6.066634195	FC5
TRINITY_DN128784_c3_g1_i2	meanfemale	4.153281312	FC5
TRINITY_DN111232_c0_g2_i1	meanfemale	4.575423257	FC5
TRINITY_DN120569_c0_g1_i1	meanfemale	3.735546914	FC5
TRINITY_DN121733_c0_g1_i3	meanfemale	4.101361008	FC5
TRINITY_DN166349_c0_g1_i1	meanfemale	3.121532742	FC5
TRINITY_DN115683_c0_g1_i2	meanfemale	4.527713459	FC5
TRINITY_DN114530_c0_g6_i4	meanfemale	3.803569549	FC5
TRINITY_DN135947_c1_g1_i1	meanfemale	6.021578447	FC5
TRINITY_DN130933_c7_g1_i2	meanfemale	7.085227278	FC5
TRINITY_DN124165_c0_g1_i7	meanfemale	4.632336332	FC5
TRINITY_DN130296_c2_g1_i3	meanfemale	1.884559516	FC5
TRINITY_DN124832_c12_g1_i1	meanfemale	2.567452027	FC5
TRINITY_DN126410_c3_g1_i3	meanfemale	9.398001653	FC5
TRINITY_DN111236_c0_g1_i1	meanfemale	6.733755785	FC5
TRINITY_DN116137_c0_g2_i2	meanfemale	4.898622745	FC5
TRINITY_DN122300_c0_g1_i3	meanfemale	7.195136448	FC5
TRINITY_DN116421_c0_g2_i1	meanfemale	2.745261809	FC5
TRINITY_DN118665_c1_g1_i1	meanfemale	4.258343275	FC5
TRINITY_DN111724_c0_g1_i1	meanfemale	6.169601855	FC5
TRINITY_DN110734_c0_g1_i1	meanfemale	1.712645922	FC5
TRINITY_DN120631_c0_g2_i2	meanfemale	3.203797628	FC5
TRINITY_DN125828_c2_g2_i3	meanfemale	5.171819228	FC5
TRINITY_DN131390_c2_g1_i1	meanfemale	6.79392062	FC5
TRINITY_DN118256_c0_g1_i1	meanfemale	2.418378826	FC5
TRINITY_DN125333_c0_g1_i1	meanfemale	7.709373479	FC5
TRINITY_DN99798_c0_g2_i1	meanfemale	2.589683771	FC5
TRINITY_DN131370_c0_g1_i1	meanfemale	5.055525641	FC5
TRINITY_DN106873_c0_g1_i2	meanfemale	6.229268814	FC5
TRINITY_DN120535_c1_g1_i5	meanfemale	5.356374899	FC5
TRINITY_DN136529_c1_g1_i7	meanfemale	11.73832884	FC5
TRINITY_DN130816_c3_g1_i1	meanfemale	5.225558104	FC5
TRINITY_DN114443_c0_g1_i1	meanfemale	2.420992022	FC5
TRINITY_DN99366_c0_g2_i1	meanfemale	6.079229965	FC5
TRINITY_DN117800_c0_g1_i1	meanfemale	2.636588415	FC5
TRINITY_DN124411_c0_g2_i4	meanfemale	8.6311701	FC5
TRINITY_DN110644_c0_g2_i1	meanfemale	2.800645785	FC5
TRINITY_DN126177_c8_g1_i1	meanfemale	3.276385622	FC5
TRINITY_DN115095_c0_g1_i1	meanfemale	5.603009858	FC5
TRINITY_DN99366_c0_g1_i1	meanfemale	6.021322506	FC5
TRINITY_DN114530_c0_g5_i1	meanfemale	3.007952129	FC5
TRINITY_DN110644_c0_g1_i1	meanfemale	2.000093105	FC5
TRINITY_DN128331_c2_g1_i1	meanfemale	4.373571012	FC5
TRINITY_DN126794_c4_g2_i1	meanfemale	1.007373075	FC5
TRINITY_DN124907_c0_g1_i1	meanfemale	1.879480996	FC5
TRINITY_DN135727_c2_g2_i1	meanfemale	1.454734863	FC5
TRINITY_DN122194_c3_g1_i2	meanfemale	5.681103678	FC5
TRINITY_DN107978_c0_g1_i1	meanfemale	4.166112639	FC5
TRINITY_DN121110_c0_g1_i2	meanfemale	3.010604957	FC5
TRINITY_DN123456_c0_g4_i1	meanfemale	7.765796022	FC5
TRINITY_DN123257_c0_g1_i1	meanfemale	1.290073192	FC5
TRINITY_DN17174_c0_g1_i1	meanfemale	3.125991938	FC5
TRINITY_DN123809_c0_g2_i2	meanfemale	3.458391091	FC5
TRINITY_DN133080_c7_g9_i1	meanfemale	4.139359452	FC5
TRINITY_DN128595_c0_g6_i1	meanfemale	7.482683692	FC5
TRINITY_DN126388_c0_g1_i1	meanfemale	3.867254984	FC5
TRINITY_DN129633_c3_g2_i1	meanfemale	1.929616289	FC5
TRINITY_DN130955_c0_g1_i1	meanfemale	5.374714468	FC5
TRINITY_DN121134_c1_g1_i6	meanfemale	4.841178496	FC5
TRINITY_DN131147_c0_g2_i1	meanfemale	4.957362674	FC5
TRINITY_DN129848_c0_g1_i1	meanfemale	2.528052977	FC5
TRINITY_DN111594_c0_g1_i2	meanfemale	5.652881087	FC5
TRINITY_DN128186_c0_g1_i4	meanfemale	6.641397492	FC5
TRINITY_DN99798_c0_g3_i1	meanfemale	2.472988211	FC5
TRINITY_DN130516_c2_g2_i1	meanfemale	3.043270306	FC5
TRINITY_DN96008_c0_g1_i1	meanfemale	4.95833315	FC5
TRINITY_DN109883_c0_g1_i1	meanfemale	2.67367771	FC5
TRINITY_DN124061_c0_g1_i3	meanfemale	1.62438249	FC5
TRINITY_DN117838_c2_g1_i2	meanfemale	2.797826384	FC5
TRINITY_DN125652_c0_g2_i2	meanfemale	4.029257333	FC5
TRINITY_DN109669_c1_g2_i1	meanfemale	7.566754315	FC5
TRINITY_DN136529_c1_g2_i1	meanfemale	9.104605853	FC5
TRINITY_DN124951_c0_g3_i3	meanfemale	3.741619251	FC5
TRINITY_DN135655_c1_g1_i1	meanfemale	7.071976924	FC5
TRINITY_DN115691_c0_g3_i4	meanfemale	1.813536714	FC5
TRINITY_DN130965_c2_g1_i4	meanfemale	4.969300068	FC5
TRINITY_DN134122_c5_g6_i1	meanfemale	3.75758577	FC5
TRINITY_DN124339_c4_g2_i1	meanfemale	4.076368368	FC5
TRINITY_DN113183_c0_g1_i2	meanfemale	11.18091781	FC5
TRINITY_DN126312_c0_g1_i4	meanfemale	6.381067988	FC5
TRINITY_DN113614_c0_g1_i2	meanfemale	4.100038867	FC5
TRINITY_DN124521_c0_g1_i1	meanfemale	6.344672017	FC5
TRINITY_DN124680_c0_g2_i3	meanfemale	4.456972273	FC5
TRINITY_DN109791_c0_g2_i1	meanfemale	2.554777386	FC5
TRINITY_DN120254_c0_g1_i1	meanfemale	3.929793988	FC5
TRINITY_DN120930_c0_g1_i2	meanfemale	3.673582191	FC5
TRINITY_DN136054_c1_g2_i1	meanfemale	2.64704851	FC5
TRINITY_DN102581_c0_g1_i2	meanfemale	1.442092528	FC5
TRINITY_DN127513_c0_g1_i1	meanfemale	3.712701087	FC5
TRINITY_DN136055_c0_g1_i2	meanfemale	5.230716126	FC5
TRINITY_DN118445_c0_g1_i3	meanfemale	2.950893932	FC5
TRINITY_DN116815_c0_g2_i2	meanfemale	3.204658374	FC5
TRINITY_DN97559_c0_g1_i1	meanfemale	8.778800436	FC5
TRINITY_DN131157_c0_g1_i1	meanfemale	3.264538244	FC5
TRINITY_DN123710_c0_g1_i1	meanfemale	3.232640333	FC5
TRINITY_DN133568_c1_g1_i1	meanfemale	2.50975521	FC5
TRINITY_DN118674_c0_g1_i2	meanfemale	5.144839819	FC5
TRINITY_DN127178_c0_g3_i8	meanfemale	7.947318652	FC5
TRINITY_DN127864_c2_g4_i4	meanfemale	3.846427478	FC5
TRINITY_DN133338_c1_g3_i1	meanfemale	1.931798168	FC5
TRINITY_DN120335_c0_g1_i2	meanfemale	5.7751982	FC5
TRINITY_DN135189_c4_g1_i1	meanfemale	5.636204387	FC5
TRINITY_DN103565_c0_g4_i1	meanfemale	0.473559243	FC5
TRINITY_DN105601_c0_g1_i1	meanfemale	6.336499191	FC5
TRINITY_DN128861_c3_g1_i1	meanfemale	3.005996901	FC3
TRINITY_DN111588_c1_g2_i1	meanfemale	2.600155602	FC3
TRINITY_DN47771_c0_g1_i1	meanfemale	1.85305989	FC3
TRINITY_DN112243_c0_g1_i1	meanfemale	3.331213336	FC3
TRINITY_DN117798_c2_g1_i1	meanfemale	2.066192948	FC3
TRINITY_DN98315_c0_g1_i3	meanfemale	3.649539898	FC3
TRINITY_DN122919_c1_g3_i3	meanfemale	3.501167378	FC3
TRINITY_DN127094_c2_g4_i3	meanfemale	2.156676008	FC3
TRINITY_DN111329_c0_g1_i2	meanfemale	2.95862381	FC3
TRINITY_DN98982_c0_g1_i2	meanfemale	4.743002003	FC3
TRINITY_DN108668_c0_g1_i1	meanfemale	2.417041462	FC3
TRINITY_DN128272_c5_g1_i4	meanfemale	4.415335901	FC3
TRINITY_DN126545_c0_g3_i5	meanfemale	7.577855026	FC3
TRINITY_DN126786_c0_g1_i1	meanfemale	4.407075181	FC3
TRINITY_DN124336_c0_g2_i1	meanfemale	1.217859431	FC3
TRINITY_DN118157_c1_g1_i1	meanfemale	7.922210923	FC3
TRINITY_DN181076_c0_g1_i1	meanfemale	4.570296395	FC3
TRINITY_DN135334_c1_g1_i2	meanfemale	3.322526186	FC3
TRINITY_DN131258_c0_g1_i1	meanfemale	3.25595842	FC3
TRINITY_DN127929_c1_g1_i2	meanfemale	7.192631138	FC3
TRINITY_DN126594_c0_g1_i4	meanfemale	5.495122586	FC3
TRINITY_DN119209_c1_g2_i1	meanfemale	6.129765022	FC3
TRINITY_DN136189_c1_g1_i5	meanfemale	5.222589477	FC3
TRINITY_DN126507_c0_g1_i2	meanfemale	1.860057695	FC3
TRINITY_DN82182_c0_g1_i1	meanfemale	4.209232884	FC3
TRINITY_DN100904_c0_g1_i1	meanfemale	3.029508495	FC3
TRINITY_DN125454_c3_g1_i1	meanfemale	4.916551027	FC3
TRINITY_DN122373_c0_g2_i1	meanfemale	1.777634689	FC3
TRINITY_DN126578_c1_g1_i7	meanfemale	6.273050567	FC3
TRINITY_DN127990_c0_g1_i1	meanfemale	1.143859988	FC3
TRINITY_DN105578_c0_g1_i1	meanfemale	1.691814504	FC3
TRINITY_DN128381_c1_g2_i2	meanfemale	2.603369679	FC3
TRINITY_DN113362_c0_g2_i1	meanfemale	2.77238099	FC3
TRINITY_DN120873_c2_g2_i1	meanfemale	2.682495366	FC3
TRINITY_DN129285_c0_g1_i3	meanfemale	2.700487794	FC3
TRINITY_DN125143_c3_g4_i3	meanfemale	1.705570651	FC3
TRINITY_DN79505_c0_g1_i1	meanfemale	3.993654902	FC3
TRINITY_DN117339_c0_g2_i1	meanfemale	2.951467983	FC3
TRINITY_DN119517_c0_g1_i1	meanfemale	4.67229774	FC3
TRINITY_DN117624_c0_g1_i1	meanfemale	1.912993373	FC3
TRINITY_DN121732_c0_g1_i1	meanfemale	1.472676251	FC3
TRINITY_DN134780_c2_g1_i3	meanfemale	5.192137543	FC3
TRINITY_DN127557_c3_g1_i1	meanfemale	2.135663931	FC3
TRINITY_DN126672_c0_g1_i2	meanfemale	0.619562491	FC3
TRINITY_DN126311_c2_g1_i1	meanfemale	2.484769675	FC3
TRINITY_DN123382_c0_g1_i1	meanfemale	6.872741716	FC3
TRINITY_DN127143_c0_g2_i1	meanfemale	1.493329539	FC3
TRINITY_DN129243_c2_g1_i1	meanfemale	3.612720958	FC3
TRINITY_DN132659_c0_g1_i2	meanfemale	6.028530958	FC3
TRINITY_DN113820_c0_g1_i1	meanfemale	5.49106026	FC3
TRINITY_DN136526_c4_g4_i1	meanfemale	5.830507407	FC3
