"A10FB"	"group1"	"meanXX"	"group2"
"TRINITY_DN130569_c1_g1_i1"	3.36706050447493	"meanmale"	0.266169772266498	"meanfemale"
"TRINITY_DN131144_c0_g4_i3"	0.783035001258237	"meanmale"	-1.64838593510616	"meanfemale"
"TRINITY_DN131144_c0_g8_i1"	1.60394527226946	"meanmale"	-0.220476379803714	"meanfemale"
"TRINITY_DN131154_c3_g9_i2"	4.20219949905335	"meanmale"	3.17684471703097	"meanfemale"
"TRINITY_DN131220_c7_g1_i1"	4.76176477937377	"meanmale"	3.61332511612742	"meanfemale"
"TRINITY_DN131753_c0_g4_i1"	2.03052354125073	"meanmale"	-1.40113551801448	"meanfemale"
"TRINITY_DN131925_c1_g2_i3"	2.36078967866225	"meanmale"	0.420336762622473	"meanfemale"
"TRINITY_DN132104_c0_g2_i3"	1.44559431496457	"meanmale"	-0.905059535563987	"meanfemale"
"TRINITY_DN132123_c0_g1_i2"	3.19858551747163	"meanmale"	2.1641103231688	"meanfemale"
"TRINITY_DN132560_c1_g7_i1"	1.53134060426162	"meanmale"	-2.48658491566957	"meanfemale"
"TRINITY_DN132642_c5_g2_i1"	2.70234221540015	"meanmale"	-13.2877123795494	"meanfemale"
"TRINITY_DN132765_c1_g1_i7"	1.72503521469747	"meanmale"	-1.63632401806589	"meanfemale"
"TRINITY_DN133064_c1_g2_i1"	1.66252823887547	"meanmale"	-13.2877123795494	"meanfemale"
"TRINITY_DN133322_c1_g4_i1"	0.547881786041219	"meanmale"	-1.79149277354596	"meanfemale"
"TRINITY_DN133534_c1_g5_i1"	1.23913889156496	"meanmale"	-1.26260327341085	"meanfemale"
"TRINITY_DN133976_c2_g2_i1"	2.37446766491187	"meanmale"	0.85022521047521	"meanfemale"
"TRINITY_DN134062_c1_g1_i3"	2.31423376328382	"meanmale"	-1.69312511892307	"meanfemale"
"TRINITY_DN134235_c0_g1_i1"	3.92845518207235	"meanmale"	1.37094103785276	"meanfemale"
"TRINITY_DN134429_c5_g1_i1"	5.95004350789619	"meanmale"	4.65701690832098	"meanfemale"
"TRINITY_DN134524_c3_g3_i1"	2.49372830362819	"meanmale"	-1.45951991463637	"meanfemale"
"TRINITY_DN135618_c2_g1_i1"	4.84713952256774	"meanmale"	3.73277680423821	"meanfemale"
"TRINITY_DN135864_c0_g11_i1"	4.20460825423112	"meanmale"	-4.28561702357896	"meanfemale"
"TRINITY_DN135896_c2_g3_i1"	10.5172001749559	"meanmale"	5.925550935365	"meanfemale"
"TRINITY_DN136241_c3_g1_i3"	2.3800163613344	"meanmale"	0.952649200225023	"meanfemale"
"TRINITY_DN136506_c0_g1_i1"	1.65681191021937	"meanmale"	-1.13406317945948	"meanfemale"
"TRINITY_DN173093_c0_g1_i1"	3.64861631287609	"meanmale"	-0.185527508373955	"meanfemale"
"TRINITY_DN20122_c0_g1_i1"	0.616851579751422	"meanmale"	-6.10848231194353	"meanfemale"
"TRINITY_DN209985_c0_g1_i1"	2.50782922286484	"meanmale"	-0.340141609127154	"meanfemale"
"TRINITY_DN36259_c0_g1_i1"	3.90518473321429	"meanmale"	2.68477229768645	"meanfemale"
"TRINITY_DN38445_c0_g1_i1"	3.08273223991661	"meanmale"	-1.45454831574113	"meanfemale"
"TRINITY_DN86341_c0_g2_i1"	2.04511614472498	"meanmale"	-13.2877123795494	"meanfemale"
"TRINITY_DN91309_c0_g1_i2"	0.175433707960085	"meanmale"	-2.07614366031726	"meanfemale"
"TRINITY_DN93756_c0_g1_i1"	2.08772713343663	"meanmale"	-13.2877123795494	"meanfemale"
