gid	log2RPKM	sex	bias
TRINITY_DN101630_c0_g3_i1	0.922214044	meanmale	unbias
TRINITY_DN101728_c0_g2_i1	1.888752071	meanmale	unbias
TRINITY_DN101738_c0_g2_i1	2.187640995	meanmale	unbias
TRINITY_DN101739_c1_g1_i2	2.79035849	meanmale	unbias
TRINITY_DN101751_c0_g1_i1	3.242329624	meanmale	unbias
TRINITY_DN101758_c0_g1_i1	6.990087435	meanmale	unbias
TRINITY_DN101767_c0_g1_i3	2.333362079	meanmale	unbias
TRINITY_DN101791_c0_g1_i1	0.597196774	meanmale	unbias
TRINITY_DN101798_c0_g1_i1	1.408466565	meanmale	unbias
TRINITY_DN101809_c0_g1_i2	3.901983853	meanmale	unbias
TRINITY_DN101821_c0_g1_i1	6.697301271	meanmale	unbias
TRINITY_DN101833_c0_g1_i1	4.825292261	meanmale	unbias
TRINITY_DN101835_c0_g3_i1	0.799781608	meanmale	unbias
TRINITY_DN101867_c0_g1_i1	1.641034833	meanmale	unbias
TRINITY_DN101869_c0_g1_i1	1.593499507	meanmale	unbias
TRINITY_DN101870_c0_g1_i1	2.823024946	meanmale	unbias
TRINITY_DN101871_c0_g1_i1	4.231887845	meanmale	unbias
TRINITY_DN101895_c0_g1_i1	1.080720942	meanmale	unbias
TRINITY_DN101897_c0_g1_i1	2.301193586	meanmale	unbias
TRINITY_DN101903_c0_g1_i1	1.946268706	meanmale	unbias
TRINITY_DN101903_c0_g2_i2	1.818387552	meanmale	unbias
TRINITY_DN101924_c0_g1_i2	2.330471227	meanmale	unbias
TRINITY_DN101930_c0_g2_i1	0.509745527	meanmale	unbias
TRINITY_DN101930_c0_g4_i3	1.256193961	meanmale	unbias
TRINITY_DN101945_c0_g2_i1	0.022545722	meanmale	unbias
TRINITY_DN101950_c0_g1_i1	4.469548308	meanmale	unbias
TRINITY_DN101953_c0_g1_i3	1.615598931	meanmale	unbias
TRINITY_DN101967_c0_g1_i4	6.428062685	meanmale	unbias
TRINITY_DN102000_c0_g1_i1	2.701446476	meanmale	unbias
TRINITY_DN10201_c0_g1_i1	0.094430522	meanmale	unbias
TRINITY_DN102016_c0_g1_i1	4.226754611	meanmale	unbias
TRINITY_DN102026_c0_g1_i2	1.678939385	meanmale	unbias
TRINITY_DN102032_c0_g1_i1	3.635925669	meanmale	unbias
TRINITY_DN102065_c0_g1_i1	5.180744923	meanmale	unbias
TRINITY_DN102067_c0_g2_i1	3.768197853	meanmale	unbias
TRINITY_DN102078_c0_g1_i1	4.20033363	meanmale	unbias
TRINITY_DN102078_c0_g2_i1	2.990330528	meanmale	unbias
TRINITY_DN102085_c0_g1_i1	4.307250849	meanmale	unbias
TRINITY_DN102094_c0_g1_i1	5.563806325	meanmale	unbias
TRINITY_DN102094_c0_g2_i1	3.292831633	meanmale	unbias
TRINITY_DN102094_c0_g3_i1	5.682054611	meanmale	unbias
TRINITY_DN102104_c0_g1_i1	1.926230286	meanmale	unbias
TRINITY_DN102108_c0_g1_i1	2.873637374	meanmale	unbias
TRINITY_DN102158_c0_g1_i1	6.001687907	meanmale	unbias
TRINITY_DN102159_c0_g1_i2	3.169377751	meanmale	unbias
TRINITY_DN102162_c0_g1_i1	5.338718433	meanmale	unbias
TRINITY_DN102167_c0_g1_i2	4.62971463	meanmale	unbias
TRINITY_DN102192_c0_g1_i1	3.667389892	meanmale	unbias
TRINITY_DN102193_c0_g2_i1	3.917521673	meanmale	unbias
TRINITY_DN102198_c0_g1_i3	1.702351119	meanmale	unbias
TRINITY_DN102201_c0_g1_i1	2.597817266	meanmale	unbias
TRINITY_DN102218_c0_g1_i1	1.080370589	meanmale	unbias
TRINITY_DN102252_c0_g2_i1	2.34535039	meanmale	unbias
TRINITY_DN102253_c0_g2_i3	0.848923804	meanmale	unbias
TRINITY_DN102260_c0_g1_i2	2.092268973	meanmale	unbias
TRINITY_DN102272_c0_g1_i1	3.723353639	meanmale	unbias
TRINITY_DN102276_c0_g1_i1	-0.054677668	meanmale	unbias
TRINITY_DN102279_c0_g1_i1	4.19335983	meanmale	unbias
TRINITY_DN102279_c0_g2_i1	3.003454742	meanmale	unbias
TRINITY_DN102296_c0_g1_i2	1.052826362	meanmale	unbias
TRINITY_DN102302_c0_g2_i1	1.100423563	meanmale	unbias
TRINITY_DN102314_c0_g1_i1	1.605182995	meanmale	unbias
TRINITY_DN102362_c0_g1_i1	7.280927208	meanmale	unbias
TRINITY_DN102365_c0_g1_i1	4.394501546	meanmale	unbias
TRINITY_DN102367_c0_g1_i2	0.374308846	meanmale	unbias
TRINITY_DN102370_c0_g1_i1	0.50988389	meanmale	unbias
TRINITY_DN102398_c0_g1_i1	0.734126493	meanmale	unbias
TRINITY_DN102400_c0_g1_i1	5.65545228	meanmale	unbias
TRINITY_DN102407_c0_g1_i1	1.844736661	meanmale	unbias
TRINITY_DN102415_c0_g1_i1	0.588493278	meanmale	unbias
TRINITY_DN102425_c0_g1_i1	2.863119984	meanmale	unbias
TRINITY_DN102429_c0_g1_i2	3.8326235	meanmale	unbias
TRINITY_DN102444_c0_g1_i1	4.580837847	meanmale	unbias
TRINITY_DN102449_c0_g1_i1	2.156633928	meanmale	unbias
TRINITY_DN102455_c0_g1_i1	3.477935105	meanmale	unbias
TRINITY_DN102459_c0_g1_i1	2.014770267	meanmale	unbias
TRINITY_DN102469_c0_g1_i1	-0.239808507	meanmale	unbias
TRINITY_DN10248_c0_g1_i1	3.509489841	meanmale	unbias
TRINITY_DN102489_c0_g3_i1	0.494280313	meanmale	unbias
TRINITY_DN102490_c0_g1_i1	0.675030107	meanmale	unbias
TRINITY_DN102493_c0_g1_i1	4.6493864	meanmale	unbias
TRINITY_DN102496_c0_g1_i1	6.177247931	meanmale	unbias
TRINITY_DN102500_c0_g1_i1	0.731510966	meanmale	unbias
TRINITY_DN102529_c0_g1_i1	0.770948278	meanmale	unbias
TRINITY_DN102531_c0_g1_i1	2.409719482	meanmale	unbias
TRINITY_DN102539_c0_g1_i1	3.612821393	meanmale	unbias
TRINITY_DN102559_c0_g2_i1	1.268784342	meanmale	unbias
TRINITY_DN102573_c0_g1_i1	0.985291249	meanmale	unbias
TRINITY_DN102574_c0_g1_i1	0.771951699	meanmale	unbias
TRINITY_DN102578_c0_g1_i1	1.503737721	meanmale	unbias
TRINITY_DN102584_c0_g1_i1	1.02794771	meanmale	unbias
TRINITY_DN102595_c0_g1_i2	0.724105616	meanmale	unbias
TRINITY_DN102597_c0_g1_i1	1.813329719	meanmale	unbias
TRINITY_DN102616_c0_g1_i1	2.682293586	meanmale	unbias
TRINITY_DN102643_c0_g1_i1	1.993102873	meanmale	unbias
TRINITY_DN102646_c0_g1_i1	3.962989008	meanmale	unbias
TRINITY_DN102667_c0_g1_i1	6.943582766	meanmale	unbias
TRINITY_DN102702_c0_g1_i1	6.126451823	meanmale	unbias
TRINITY_DN102735_c0_g1_i1	0.094197823	meanmale	unbias
TRINITY_DN102752_c0_g1_i1	2.253660232	meanmale	unbias
TRINITY_DN102760_c0_g1_i1	2.114198232	meanmale	unbias
TRINITY_DN102859_c0_g1_i1	1.291381255	meanmale	unbias
TRINITY_DN102861_c0_g2_i1	0.912686323	meanmale	unbias
TRINITY_DN102865_c0_g1_i2	4.487464538	meanmale	unbias
TRINITY_DN102901_c0_g1_i2	1.045725531	meanmale	unbias
TRINITY_DN102903_c0_g1_i1	2.265123676	meanmale	unbias
TRINITY_DN102912_c0_g1_i1	1.902370558	meanmale	unbias
TRINITY_DN102914_c0_g2_i1	3.175780373	meanmale	unbias
TRINITY_DN102921_c0_g1_i1	0.994120245	meanmale	unbias
TRINITY_DN102923_c0_g1_i1	3.421554738	meanmale	unbias
TRINITY_DN102938_c0_g1_i1	2.648839995	meanmale	unbias
TRINITY_DN102965_c0_g1_i1	3.847410071	meanmale	unbias
TRINITY_DN102983_c0_g2_i1	1.595179925	meanmale	unbias
TRINITY_DN102989_c0_g1_i1	0.997128485	meanmale	unbias
TRINITY_DN102995_c0_g1_i1	2.119190313	meanmale	unbias
TRINITY_DN103001_c0_g1_i1	1.430748426	meanmale	unbias
TRINITY_DN103001_c0_g2_i1	1.702128961	meanmale	unbias
TRINITY_DN103024_c0_g1_i2	3.670085493	meanmale	unbias
TRINITY_DN103049_c0_g4_i1	-0.310203406	meanmale	unbias
TRINITY_DN103059_c0_g1_i1	7.740903196	meanmale	unbias
TRINITY_DN103065_c0_g1_i1	3.020435816	meanmale	unbias
TRINITY_DN103073_c0_g1_i1	0.972428531	meanmale	unbias
TRINITY_DN103107_c0_g1_i1	5.87332014	meanmale	unbias
TRINITY_DN103117_c1_g1_i1	1.357540966	meanmale	unbias
TRINITY_DN103120_c0_g1_i2	2.019063828	meanmale	unbias
TRINITY_DN103145_c0_g1_i1	0.849434614	meanmale	unbias
TRINITY_DN103150_c0_g1_i1	-0.189388949	meanmale	unbias
TRINITY_DN103157_c0_g1_i2	2.719437121	meanmale	unbias
TRINITY_DN103159_c1_g1_i1	2.690785505	meanmale	unbias
TRINITY_DN103181_c0_g2_i1	3.195886111	meanmale	unbias
TRINITY_DN103192_c0_g1_i1	3.690826611	meanmale	unbias
TRINITY_DN103196_c0_g1_i2	5.149946735	meanmale	unbias
TRINITY_DN103199_c0_g1_i1	2.626831292	meanmale	unbias
TRINITY_DN103204_c0_g1_i1	1.677694739	meanmale	unbias
TRINITY_DN103204_c0_g2_i1	2.541206298	meanmale	unbias
TRINITY_DN103209_c0_g3_i2	6.611793272	meanmale	unbias
TRINITY_DN103214_c0_g1_i1	4.150470876	meanmale	unbias
TRINITY_DN103217_c0_g2_i1	0.981467893	meanmale	unbias
TRINITY_DN103227_c0_g1_i1	4.237396474	meanmale	unbias
TRINITY_DN103236_c0_g2_i1	3.01806205	meanmale	unbias
TRINITY_DN103242_c0_g1_i1	2.035461063	meanmale	unbias
TRINITY_DN103267_c0_g1_i1	3.148423782	meanmale	unbias
TRINITY_DN103274_c0_g1_i1	0.523257185	meanmale	unbias
TRINITY_DN103284_c0_g1_i2	1.375716815	meanmale	unbias
TRINITY_DN103303_c0_g1_i2	3.16664187	meanmale	unbias
TRINITY_DN103324_c0_g1_i1	2.913157502	meanmale	unbias
TRINITY_DN103326_c0_g2_i1	0.888107905	meanmale	unbias
TRINITY_DN103334_c0_g1_i1	3.401414686	meanmale	unbias
TRINITY_DN103381_c0_g1_i1	4.186003448	meanmale	unbias
TRINITY_DN103422_c0_g2_i1	1.224155137	meanmale	unbias
TRINITY_DN103424_c0_g1_i1	1.945799983	meanmale	unbias
TRINITY_DN103426_c0_g2_i1	0.782299801	meanmale	unbias
TRINITY_DN103432_c0_g1_i1	0.591242968	meanmale	unbias
TRINITY_DN103461_c0_g2_i2	1.378232571	meanmale	unbias
TRINITY_DN103479_c0_g1_i1	0.836112088	meanmale	unbias
TRINITY_DN103496_c0_g1_i1	1.131900645	meanmale	unbias
TRINITY_DN103500_c0_g1_i1	4.69982062	meanmale	unbias
TRINITY_DN103501_c0_g1_i1	3.216379337	meanmale	unbias
TRINITY_DN103502_c0_g1_i1	-0.402658629	meanmale	unbias
TRINITY_DN103509_c0_g1_i1	0.609555318	meanmale	unbias
TRINITY_DN103511_c0_g1_i2	3.401425938	meanmale	unbias
TRINITY_DN103526_c0_g1_i1	2.259882998	meanmale	unbias
TRINITY_DN103537_c0_g1_i1	2.116321784	meanmale	unbias
TRINITY_DN103537_c0_g2_i1	1.215108589	meanmale	unbias
TRINITY_DN103541_c0_g2_i1	2.540905087	meanmale	unbias
TRINITY_DN103544_c0_g1_i2	1.295247116	meanmale	unbias
TRINITY_DN103545_c0_g1_i1	3.207921819	meanmale	unbias
TRINITY_DN103549_c0_g1_i1	5.242777502	meanmale	unbias
TRINITY_DN103555_c0_g1_i1	2.030382158	meanmale	unbias
TRINITY_DN103557_c0_g2_i2	3.17093758	meanmale	unbias
TRINITY_DN103557_c0_g3_i1	1.926184058	meanmale	unbias
TRINITY_DN103558_c0_g1_i1	3.62037689	meanmale	unbias
TRINITY_DN103565_c0_g1_i1	2.322486061	meanmale	unbias
TRINITY_DN103567_c0_g1_i1	5.220781477	meanmale	unbias
TRINITY_DN103571_c0_g2_i2	1.472845191	meanmale	unbias
TRINITY_DN103598_c0_g1_i1	4.527675864	meanmale	unbias
TRINITY_DN103614_c0_g2_i2	7.094245716	meanmale	unbias
TRINITY_DN103615_c0_g1_i1	3.384818563	meanmale	unbias
TRINITY_DN103618_c0_g1_i1	3.020099395	meanmale	unbias
TRINITY_DN103621_c0_g1_i2	1.32492849	meanmale	unbias
TRINITY_DN103622_c0_g3_i3	3.691207362	meanmale	unbias
TRINITY_DN103624_c0_g1_i1	1.5429549	meanmale	unbias
TRINITY_DN103630_c0_g1_i1	6.80326112	meanmale	unbias
TRINITY_DN103631_c0_g1_i1	0.935346788	meanmale	unbias
TRINITY_DN103637_c0_g1_i1	-0.019656547	meanmale	unbias
TRINITY_DN103638_c0_g1_i1	1.826642134	meanmale	unbias
TRINITY_DN103653_c0_g1_i1	4.409053954	meanmale	unbias
TRINITY_DN103657_c0_g2_i2	3.856960666	meanmale	unbias
TRINITY_DN103658_c0_g1_i1	6.631713004	meanmale	unbias
TRINITY_DN103662_c0_g1_i1	0.573705693	meanmale	unbias
TRINITY_DN103664_c1_g1_i1	3.569441982	meanmale	unbias
TRINITY_DN103666_c0_g1_i1	2.717944428	meanmale	unbias
TRINITY_DN103677_c1_g1_i1	3.086034247	meanmale	unbias
TRINITY_DN103679_c0_g1_i1	0.901863073	meanmale	unbias
TRINITY_DN103688_c0_g1_i1	2.483760521	meanmale	unbias
TRINITY_DN103698_c0_g1_i1	1.706195336	meanmale	unbias
TRINITY_DN103706_c0_g3_i1	-0.16550089	meanmale	unbias
TRINITY_DN103714_c0_g1_i2	4.839859187	meanmale	unbias
TRINITY_DN103714_c0_g2_i1	3.239885184	meanmale	unbias
TRINITY_DN103720_c0_g1_i2	3.109533509	meanmale	unbias
TRINITY_DN103727_c0_g1_i1	2.776806151	meanmale	unbias
TRINITY_DN103730_c0_g1_i1	1.193576727	meanmale	unbias
TRINITY_DN103730_c0_g3_i1	1.640903499	meanmale	unbias
TRINITY_DN103730_c0_g4_i1	1.101846	meanmale	unbias
TRINITY_DN103733_c0_g2_i1	6.077112744	meanmale	unbias
TRINITY_DN103744_c0_g1_i2	7.335864324	meanmale	unbias
TRINITY_DN103766_c0_g1_i1	0.03796867	meanmale	unbias
TRINITY_DN103769_c0_g1_i1	5.004577985	meanmale	unbias
TRINITY_DN103775_c0_g2_i1	2.613089874	meanmale	unbias
TRINITY_DN103778_c0_g3_i1	0.328442374	meanmale	unbias
TRINITY_DN103783_c0_g1_i1	1.794831874	meanmale	unbias
TRINITY_DN103787_c0_g1_i1	1.83716059	meanmale	unbias
TRINITY_DN103789_c0_g2_i1	1.731418501	meanmale	unbias
TRINITY_DN103795_c0_g1_i3	3.914005515	meanmale	unbias
TRINITY_DN103797_c0_g1_i1	3.669074943	meanmale	unbias
TRINITY_DN103802_c0_g1_i1	3.672022071	meanmale	unbias
TRINITY_DN103812_c0_g1_i2	3.3439418	meanmale	unbias
TRINITY_DN103813_c0_g1_i1	1.810657653	meanmale	unbias
TRINITY_DN103830_c0_g1_i1	3.564385557	meanmale	unbias
TRINITY_DN103832_c0_g1_i1	1.846633708	meanmale	unbias
TRINITY_DN103833_c0_g1_i1	5.769495226	meanmale	unbias
TRINITY_DN103834_c0_g1_i1	0.303402077	meanmale	unbias
TRINITY_DN103834_c0_g11_i1	4.640621545	meanmale	unbias
TRINITY_DN103834_c0_g12_i1	2.431962217	meanmale	unbias
TRINITY_DN103834_c0_g13_i1	4.361345027	meanmale	unbias
TRINITY_DN103834_c0_g2_i1	1.071627813	meanmale	unbias
TRINITY_DN103834_c0_g3_i1	2.997851046	meanmale	unbias
TRINITY_DN103834_c0_g4_i1	2.057363733	meanmale	unbias
TRINITY_DN103834_c0_g6_i1	3.60247826	meanmale	unbias
TRINITY_DN103834_c0_g7_i1	4.684489226	meanmale	unbias
TRINITY_DN103834_c0_g8_i1	2.120618749	meanmale	unbias
TRINITY_DN103834_c0_g9_i1	5.718586796	meanmale	unbias
TRINITY_DN103838_c0_g1_i1	-0.377531464	meanmale	unbias
TRINITY_DN103851_c0_g1_i1	3.956969825	meanmale	unbias
TRINITY_DN103874_c0_g1_i1	1.410515093	meanmale	unbias
TRINITY_DN103882_c0_g1_i1	3.782074617	meanmale	unbias
TRINITY_DN103890_c0_g1_i2	6.968446906	meanmale	unbias
TRINITY_DN103891_c0_g1_i1	5.258712864	meanmale	unbias
TRINITY_DN103897_c0_g2_i1	-0.403956868	meanmale	unbias
TRINITY_DN103897_c0_g3_i1	0.191723068	meanmale	unbias
TRINITY_DN103898_c0_g1_i1	7.511348496	meanmale	unbias
TRINITY_DN103905_c0_g1_i1	0.601937844	meanmale	unbias
TRINITY_DN103912_c0_g1_i1	6.211101586	meanmale	unbias
TRINITY_DN103916_c0_g1_i1	0.071174806	meanmale	unbias
TRINITY_DN103926_c0_g1_i1	4.147338927	meanmale	unbias
TRINITY_DN103928_c0_g1_i1	3.246887108	meanmale	unbias
TRINITY_DN103941_c0_g1_i1	2.451690868	meanmale	unbias
TRINITY_DN103964_c0_g1_i1	1.691226019	meanmale	unbias
TRINITY_DN103974_c0_g2_i1	2.110647878	meanmale	unbias
TRINITY_DN103986_c0_g1_i1	0.63848686	meanmale	unbias
TRINITY_DN103989_c0_g1_i1	4.38736321	meanmale	unbias
TRINITY_DN103991_c0_g1_i2	2.094130405	meanmale	unbias
TRINITY_DN104004_c0_g1_i1	4.455074942	meanmale	unbias
TRINITY_DN104012_c0_g1_i1	5.328865	meanmale	unbias
TRINITY_DN104015_c0_g1_i1	2.090119513	meanmale	unbias
TRINITY_DN104020_c2_g1_i1	1.113331049	meanmale	unbias
TRINITY_DN104027_c0_g1_i1	0.303897702	meanmale	unbias
TRINITY_DN104055_c0_g1_i1	2.45112151	meanmale	unbias
TRINITY_DN104076_c0_g1_i1	1.504390803	meanmale	unbias
TRINITY_DN104090_c1_g2_i1	3.597582242	meanmale	unbias
TRINITY_DN104096_c0_g1_i1	1.305489351	meanmale	unbias
TRINITY_DN104119_c0_g1_i2	1.281309858	meanmale	unbias
TRINITY_DN104122_c0_g1_i2	1.918610426	meanmale	unbias
TRINITY_DN104136_c0_g1_i1	-0.589587545	meanmale	unbias
TRINITY_DN104155_c0_g1_i1	3.473138764	meanmale	unbias
TRINITY_DN104156_c0_g1_i3	4.652444129	meanmale	unbias
TRINITY_DN104173_c0_g1_i1	3.349623609	meanmale	unbias
TRINITY_DN104183_c0_g1_i2	1.301256017	meanmale	unbias
TRINITY_DN104195_c0_g1_i2	0.777276672	meanmale	unbias
TRINITY_DN104201_c0_g1_i1	0.507593095	meanmale	unbias
TRINITY_DN104207_c0_g1_i1	1.746929801	meanmale	unbias
TRINITY_DN104233_c0_g1_i1	2.527567853	meanmale	unbias
TRINITY_DN104240_c0_g1_i1	4.835285378	meanmale	unbias
TRINITY_DN104242_c0_g1_i1	1.560919867	meanmale	unbias
TRINITY_DN104252_c0_g2_i1	2.286022856	meanmale	unbias
TRINITY_DN104252_c0_g4_i1	1.36863507	meanmale	unbias
TRINITY_DN104253_c0_g1_i1	2.230766848	meanmale	unbias
TRINITY_DN104265_c1_g1_i1	1.926672891	meanmale	unbias
TRINITY_DN104278_c0_g1_i1	1.427829432	meanmale	unbias
TRINITY_DN104287_c0_g1_i1	0.022535702	meanmale	unbias
TRINITY_DN104287_c1_g1_i1	3.627821508	meanmale	unbias
TRINITY_DN104289_c0_g1_i1	2.329037977	meanmale	unbias
TRINITY_DN104301_c0_g1_i1	1.106323639	meanmale	unbias
TRINITY_DN104321_c0_g1_i1	2.403392857	meanmale	unbias
TRINITY_DN104331_c0_g1_i1	4.635489841	meanmale	unbias
TRINITY_DN104334_c0_g1_i1	0.586506994	meanmale	unbias
TRINITY_DN104337_c0_g1_i1	6.000342222	meanmale	unbias
TRINITY_DN104339_c0_g1_i2	3.160696642	meanmale	unbias
TRINITY_DN104353_c0_g1_i3	3.048833971	meanmale	unbias
TRINITY_DN104354_c0_g1_i5	3.368216707	meanmale	unbias
TRINITY_DN104356_c0_g1_i3	3.168850376	meanmale	unbias
TRINITY_DN104357_c0_g1_i2	2.25020055	meanmale	unbias
TRINITY_DN104365_c0_g2_i1	1.342440615	meanmale	unbias
TRINITY_DN104365_c0_g3_i1	1.974211	meanmale	unbias
TRINITY_DN104383_c0_g4_i1	0.468899836	meanmale	unbias
TRINITY_DN104389_c0_g2_i1	1.700551051	meanmale	unbias
TRINITY_DN104390_c0_g1_i1	1.389187376	meanmale	unbias
TRINITY_DN104402_c0_g1_i1	1.163944062	meanmale	unbias
