GO category	GO	Term	Annotated	Significant	Expected	topGO (Fisher)	classic (Fisher)
CC	GO:0005578	proteinaceous extracellular matrix	170	79	46.09	6.6e-05	4.0e-08
CC	GO:0000786	nucleosome	16	12	4.34	9.0e-05	9.0e-05
CC	GO:0005615	extracellular space	1266	406	343.27	0.00056	1.5e-05
CC	GO:0005925	focal adhesion	241	88	65.35	0.00077	0.00077
CC	GO:0005667	transcription factor complex	153	54	41.48	0.00107	0.01541
CC	GO:0005887	integral component of plasma membrane	479	162	129.88	0.00123	0.00053
CC	GO:0031012	extracellular matrix	236	109	63.99	0.00139	1.7e-10
CC	GO:0014069	postsynaptic density	136	53	36.88	0.00163	0.00163
CC	GO:0070062	extracellular exosome	991	308	268.7	0.00184	0.00184
CC	GO:0045211	postsynaptic membrane	149	57	40.4	0.00185	0.00185
CC	GO:0031045	dense core granule	7	6	1.9	0.00213	0.00213
CC	GO:0070852	cell body fiber	9	7	2.44	0.00225	0.00225
CC	GO:0022625	cytosolic large ribosomal subunit	16	10	4.34	0.00317	0.00317
CC	GO:0005604	basement membrane	26	17	7.05	0.00388	5.0e-05
CC	GO:0030141	secretory granule	207	70	56.13	0.00443	0.01876
CC	GO:0043025	neuronal cell body	258	93	69.95	0.00468	0.00089
CC	GO:0016459	myosin complex	45	19	12.2	0.00542	0.02014
CC	GO:0005886	plasma membrane	2484	770	673.52	0.00602	2.4e-07
CC	GO:0043256	laminin complex	8	6	2.17	0.00655	0.00655
CC	GO:0043083	synaptic cleft	6	5	1.63	0.00679	0.00679
CC	GO:0008305	integrin complex	20	11	5.42	0.00764	0.00764
CC	GO:0005938	cell cortex	89	37	24.13	0.00972	0.00214
CC	GO:0060076	excitatory synapse	18	10	4.88	0.00997	0.00997
MF	GO:0003735	structural constituent of ribosome	136	70	38.13	5.6e-09	5.6e-09
MF	GO:0005509	calcium ion binding	448	170	125.62	2.2e-06	2.2e-06
MF	GO:0005201	extracellular matrix structural constitu...	39	25	10.94	2.8e-06	2.8e-06
MF	GO:0004888	transmembrane signaling receptor activit...	417	144	116.93	4.6e-05	0.00183
MF	GO:0004550	nucleoside diphosphate kinase activity	20	14	5.61	0.00012	0.00012
MF	GO:0005198	structural molecule activity	422	183	118.33	0.00012	4.4e-12
MF	GO:0004716	signal transducer, downstream of recepto...	6	6	1.68	0.00048	0.00048
MF	GO:0005178	integrin binding	65	31	18.23	0.00057	0.00057
MF	GO:0016709	oxidoreductase activity, acting on paire...	21	12	5.89	0.00083	0.00478
MF	GO:0004714	transmembrane receptor protein tyrosine ...	50	25	14.02	0.00147	0.00080
MF	GO:0003779	actin binding	327	125	91.69	0.00158	3.3e-05
MF	GO:0019955	cytokine binding	42	20	11.78	0.00175	0.00535
MF	GO:0030507	spectrin binding	20	12	5.61	0.00275	0.00275
MF	GO:0004181	metallocarboxypeptidase activity	18	11	5.05	0.00339	0.00339
MF	GO:0005179	hormone activity	38	20	10.66	0.00459	0.00117
MF	GO:0004402	histone acetyltransferase activity	30	13	8.41	0.00481	0.05207
MF	GO:0003950	NAD+ ADP-ribosyltransferase activity	42	20	11.78	0.00535	0.00535
MF	GO:0070840	dynein complex binding	19	11	5.33	0.00602	0.00602
MF	GO:0001540	amyloid-beta binding	19	11	5.33	0.00602	0.00602
MF	GO:0030898	actin-dependent ATPase activity	12	8	3.36	0.00603	0.00603
MF	GO:0008373	sialyltransferase activity	17	9	4.77	0.00604	0.02624
MF	GO:0090079	translation regulator activity, nucleic ...	13	7	3.65	0.00617	0.04427
MF	GO:0003682	chromatin binding	300	107	84.12	0.00629	0.00211
MF	GO:0001047	core promoter binding	92	35	25.8	0.00681	0.02350
MF	GO:0019901	protein kinase binding	342	119	95.9	0.00692	0.00328
MF	GO:0001105	RNA polymerase II transcription coactiva...	17	10	4.77	0.00757	0.00757
MF	GO:0051015	actin filament binding	119	46	33.37	0.00759	0.00759
MF	GO:0051010	microtubule plus-end binding	8	6	2.24	0.00785	0.00785
MF	GO:0005080	protein kinase C binding	22	12	6.17	0.00787	0.00787
MF	GO:0003680	AT DNA binding	6	5	1.68	0.00795	0.00795
MF	GO:0097110	scaffold protein binding	30	15	8.41	0.00877	0.00877
MF	GO:0008201	heparin binding	75	31	21.03	0.00886	0.00886
